=== BIT-TAPE INVENTOR ===
generations=10000 seed=0xB17BE17BE17BE17B pop_size=64 tournament=5 elite=2 mut_rate=0.70 xover_rate=0.50
gen 0 init: best_composite=-283.7431 avalanche=0.78 balance=29.92 chisq=1371.50 period=1024 used=161
gen 940/10000: best_composite=-101.1133 av=16.93 bal=31.92 chisq=251.00 per=1024 used=290 mean_comp=-104.71
gen 950/10000: best_composite=-97.3828 av=17.29 bal=32.05 chisq=251.00 per=1024 used=294 mean_comp=-101.19
gen 960/10000: best_composite=-93.0106 av=17.74 bal=31.95 chisq=267.00 per=1024 used=295 mean_comp=-95.88
gen 970/10000: best_composite=-89.7684 av=18.08 bal=31.91 chisq=267.00 per=1024 used=295 mean_comp=-94.52
gen 980/10000: best_composite=-88.0888 av=18.21 bal=32.01 chisq=267.00 per=1024 used=296 mean_comp=-92.87
gen 990/10000: best_composite=-86.9169 av=18.36 bal=31.91 chisq=267.00 per=1024 used=298 mean_comp=-89.87
gen 1000/10000: best_composite=-81.0217 av=19.12 bal=31.60 chisq=281.00 per=1024 used=300 mean_comp=-87.83
gen 1010/10000: best_composite=-74.9475 av=19.53 bal=32.00 chisq=281.00 per=1024 used=302 mean_comp=-79.24
gen 1020/10000: best_composite=-73.2969 av=19.81 bal=31.77 chisq=280.00 per=1024 used=305 mean_comp=-78.91
gen 1030/10000: best_composite=-68.8502 av=20.30 bal=32.30 chisq=286.50 per=1024 used=308 mean_comp=-74.20
gen 1040/10000: best_composite=-64.3945 av=20.56 bal=31.99 chisq=221.50 per=1024 used=310 mean_comp=-70.65
gen 1050/10000: best_composite=-64.3945 av=20.56 bal=31.99 chisq=221.50 per=1024 used=310 mean_comp=-69.93
gen 1060/10000: best_composite=-60.7129 av=20.94 bal=31.98 chisq=251.00 per=1024 used=313 mean_comp=-64.53
gen 1070/10000: best_composite=-58.0371 av=21.20 bal=31.98 chisq=251.00 per=1024 used=313 mean_comp=-62.10
gen 1080/10000: best_composite=-56.1816 av=21.51 bal=31.74 chisq=253.50 per=1024 used=314 mean_comp=-62.96
gen 1090/10000: best_composite=-54.0332 av=21.62 bal=31.95 chisq=253.50 per=1024 used=318 mean_comp=-58.61
gen 1100/10000: best_composite=-50.0684 av=22.00 bal=31.98 chisq=253.50 per=1024 used=318 mean_comp=-56.20
gen 1110/10000: best_composite=-45.7910 av=22.44 bal=32.04 chisq=253.50 per=1024 used=320 mean_comp=-52.94
gen 1120/10000: best_composite=-42.7637 av=22.77 bal=31.90 chisq=204.50 per=1024 used=320 mean_comp=-45.06
gen 1130/10000: best_composite=-37.8223 av=23.26 bal=31.92 chisq=197.00 per=1024 used=326 mean_comp=-44.57
gen 1140/10000: best_composite=-36.0645 av=23.41 bal=31.96 chisq=247.50 per=1024 used=326 mean_comp=-40.46
gen 1150/10000: best_composite=-32.4316 av=23.80 bal=32.08 chisq=250.50 per=1024 used=327 mean_comp=-37.26
gen 1160/10000: best_composite=-30.5371 av=23.96 bal=31.97 chisq=250.50 per=1024 used=330 mean_comp=-36.99
gen 1170/10000: best_composite=-23.0957 av=24.73 bal=32.07 chisq=250.50 per=1024 used=329 mean_comp=-30.82
gen 1180/10000: best_composite=-22.8906 av=24.73 bal=32.03 chisq=250.50 per=1024 used=329 mean_comp=-30.21
gen 1190/10000: best_composite=-22.5893 av=24.76 bal=32.02 chisq=261.00 per=1024 used=332 mean_comp=-29.65
gen 1200/10000: best_composite=-18.7402 av=25.24 bal=32.22 chisq=236.50 per=1024 used=335 mean_comp=-24.16
gen 1210/10000: best_composite=-16.2891 av=25.39 bal=31.97 chisq=254.50 per=1024 used=334 mean_comp=-22.72
gen 1220/10000: best_composite=-15.7281 av=25.43 bal=32.01 chisq=257.50 per=1024 used=335 mean_comp=-21.27
gen 1230/10000: best_composite=-15.2441 av=25.57 bal=31.80 chisq=240.50 per=1024 used=340 mean_comp=-21.40
gen 1240/10000: best_composite=-12.2168 av=25.85 bal=31.85 chisq=240.50 per=1024 used=341 mean_comp=-17.53
gen 1250/10000: best_composite=-10.7324 av=25.93 bal=31.98 chisq=240.50 per=1024 used=337 mean_comp=-14.28
gen 1260/10000: best_composite=-9.6094 av=26.11 bal=32.14 chisq=240.50 per=1024 used=337 mean_comp=-16.51
gen 1270/10000: best_composite=-1.4746 av=27.00 bal=31.71 chisq=236.00 per=1024 used=342 mean_comp=-12.51
gen 1280/10000: best_composite=-0.3027 av=26.98 bal=32.02 chisq=245.00 per=1024 used=340 mean_comp=-5.26
gen 1290/10000: best_composite=0.8398 av=27.10 bal=32.03 chisq=248.00 per=1024 used=343 mean_comp=-5.98
gen 1300/10000: best_composite=0.9961 av=27.10 bal=32.00 chisq=248.00 per=1024 used=344 mean_comp=-0.52
gen 1310/10000: best_composite=2.9102 av=27.29 bal=32.00 chisq=248.00 per=1024 used=345 mean_comp=-3.13
gen 1320/10000: best_composite=6.4063 av=27.66 bal=31.95 chisq=244.50 per=1024 used=348 mean_comp=0.34
gen 1330/10000: best_composite=12.5072 av=28.26 bal=32.00 chisq=266.00 per=1024 used=349 mean_comp=1.34
gen 1340/10000: best_composite=12.5463 av=28.29 bal=31.95 chisq=266.00 per=1024 used=348 mean_comp=5.12
gen 1350/10000: best_composite=15.9473 av=28.64 bal=31.91 chisq=230.00 per=1024 used=350 mean_comp=9.33
gen 1360/10000: best_composite=17.6465 av=28.78 bal=32.03 chisq=230.00 per=1024 used=352 mean_comp=7.32
gen 1370/10000: best_composite=18.1641 av=28.84 bal=31.95 chisq=230.00 per=1024 used=353 mean_comp=12.03
gen 1380/10000: best_composite=19.9609 av=29.00 bal=32.00 chisq=230.00 per=1024 used=351 mean_comp=17.26
gen 1390/10000: best_composite=20.0781 av=29.02 bal=32.02 chisq=230.00 per=1024 used=352 mean_comp=16.41
gen 1400/10000: best_composite=20.0781 av=29.02 bal=32.02 chisq=230.00 per=1024 used=352 mean_comp=16.33
gen 1410/10000: best_composite=20.6641 av=29.07 bal=32.00 chisq=230.00 per=1024 used=351 mean_comp=12.32
gen 1420/10000: best_composite=21.0742 av=29.12 bal=32.03 chisq=240.00 per=1024 used=352 mean_comp=16.79
gen 1430/10000: best_composite=21.8164 av=29.19 bal=31.99 chisq=240.00 per=1024 used=353 mean_comp=14.18
gen 1440/10000: best_composite=23.1055 av=29.33 bal=32.03 chisq=253.50 per=1024 used=354 mean_comp=19.46
gen 1450/10000: best_composite=23.4375 av=29.35 bal=31.99 chisq=253.50 per=1024 used=355 mean_comp=18.16
gen 1460/10000: best_composite=23.4375 av=29.35 bal=31.99 chisq=253.50 per=1024 used=355 mean_comp=19.56
gen 1470/10000: best_composite=23.4375 av=29.35 bal=31.99 chisq=253.50 per=1024 used=355 mean_comp=15.05
gen 1480/10000: best_composite=24.4141 av=29.50 bal=31.88 chisq=253.50 per=1024 used=357 mean_comp=20.67
gen 1490/10000: best_composite=27.4414 av=29.83 bal=31.82 chisq=253.50 per=1024 used=359 mean_comp=18.01
gen 1500/10000: best_composite=31.2305 av=30.15 bal=31.95 chisq=250.50 per=1024 used=358 mean_comp=25.38
gen 1510/10000: best_composite=33.2422 av=30.36 bal=31.92 chisq=235.00 per=1024 used=359 mean_comp=28.30
gen 1520/10000: best_composite=35.1172 av=30.53 bal=31.96 chisq=235.00 per=1024 used=361 mean_comp=29.34
gen 1530/10000: best_composite=36.0352 av=30.61 bal=32.02 chisq=243.00 per=1024 used=361 mean_comp=33.58
gen 1540/10000: best_composite=44.1211 av=31.42 bal=31.98 chisq=244.00 per=1024 used=364 mean_comp=38.73
gen 1550/10000: best_composite=45.7280 av=31.60 bal=32.01 chisq=274.00 per=1024 used=367 mean_comp=39.53
gen 1560/10000: best_composite=45.7670 av=31.60 bal=32.00 chisq=274.00 per=1024 used=367 mean_comp=40.97
gen 1570/10000: best_composite=45.7670 av=31.60 bal=32.00 chisq=274.00 per=1024 used=367 mean_comp=38.84
gen 1580/10000: best_composite=47.2827 av=31.78 bal=32.05 chisq=286.50 per=1024 used=369 mean_comp=38.55
gen 1590/10000: best_composite=48.9648 av=31.91 bal=32.02 chisq=248.50 per=1024 used=370 mean_comp=41.90
gen 1600/10000: best_composite=49.9805 av=32.00 bal=32.00 chisq=248.50 per=1024 used=370 mean_comp=42.37
gen 1610/10000: best_composite=49.9805 av=32.00 bal=32.00 chisq=248.50 per=1024 used=370 mean_comp=43.59
gen 1620/10000: best_composite=49.9805 av=32.00 bal=32.00 chisq=248.50 per=1024 used=370 mean_comp=46.38
gen 1630/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=41.67
gen 1640/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.55
gen 1650/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=41.44
gen 1660/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.31
gen 1670/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=45.10
gen 1680/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=39.39
gen 1690/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.63
gen 1700/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.19
gen 1710/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=42.22
gen 1720/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.30
gen 1730/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.64
gen 1740/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.19
gen 1750/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=41.36
gen 1760/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=44.25
gen 1770/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.48
gen 1780/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=43.54
gen 1790/10000: best_composite=49.9902 av=32.00 bal=32.00 chisq=248.50 per=1024 used=372 mean_comp=45.16
