phase,seed,arm,battery,idx,target,solved,cov,label,checked_delta,novel_delta,remix_blocked_delta,nlib,basis_at_target,revision_fired_at,classification
classify,0xF0235A11CE0FF1CE,off,D,8,"D09 count3%5",1,1.0000,menu,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,8,"D09 count3%5",1,1.0000,menu,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,9,"D10 count3%6",1,1.0000,menu,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,9,"D10 count3%6",1,1.0000,menu,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,10,"D11 subset-parity{0-3}",0,0.5029,base,0,0,3,0,3,n/a,DECISIVE
classify,0xF0235A11CE0FF1CE,on,D,10,"D11 subset-parity{0-3}",1,1.0000,forge,0,0,0,0,4,n/a,DECISIVE
ablation,0xF0235A11CE0FF1CE,off,B,0,"B1 random monomial deg2",1,1.0000,rq1_escalation,4,0,4,11,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,1,"B2 random monomial deg3",1,1.0000,rq1_escalation,3,0,3,11,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,2,"B3 sum(g) % 7",1,1.0000,unified escalation,1,1,0,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,3,"B4 sign%mod 11",1,0.9034,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,4,"B5 Walsh χ{S=0x11}",1,1.0000,rq1_escalation,3,0,3,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,5,"B6 Walsh χ{S=0xA4}",1,1.0000,rq1_escalation,2,0,2,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,6,"B7 Walsh χ{S=0x0A}",1,1.0000,rq1_escalation,3,0,3,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,7,"B8 parity-of-count",1,1.0000,rq1_escalation,2,0,2,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,8,"B9 oriented v1>v0",1,1.0000,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,9,"B10 parity AND sum%5",1,0.9097,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,B,10,"B11 inversion parity",1,1.0000,rq1_escalation,0,0,0,12,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,D,11,"D01 sum%2",0,0.4697,base,1,0,1,11,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,D,12,"D07 count3%3",0,0.6554,base,1,0,1,11,3,frozen,
ablation,0xF0235A11CE0FF1CE,off,D,13,"D11 subset-parity{0-3}",0,0.5006,base,3,0,3,11,3,frozen,
ablation,0xF0235A11CE0FF1CE,on,B,0,"B1 random monomial deg2",1,1.0000,rq1_escalation,4,0,4,11,3,pre,
ablation,0xF0235A11CE0FF1CE,on,B,1,"B2 random monomial deg3",1,1.0000,rq1_escalation,3,0,3,11,3,post,
ablation,0xF0235A11CE0FF1CE,on,B,2,"B3 sum(g) % 7",1,1.0000,unified escalation,1,1,0,12,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,3,"B4 sign%mod 11",1,0.9034,frozen/grown monomials,0,0,0,12,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,4,"B5 Walsh χ{S=0x11}",1,1.0000,unified escalation,1,1,0,13,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,5,"B6 Walsh χ{S=0xA4}",1,1.0000,unified escalation,1,1,0,14,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,6,"B7 Walsh χ{S=0x0A}",1,1.0000,unified escalation,1,1,0,15,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,7,"B8 parity-of-count",1,1.0000,unified escalation,1,1,0,16,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,8,"B9 oriented v1>v0",1,1.0000,frozen/grown monomials,0,0,0,16,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,9,"B10 parity AND sum%5",1,1.0000,unified escalation,1,1,0,17,4,post,
ablation,0xF0235A11CE0FF1CE,on,B,10,"B11 inversion parity",1,1.0000,rq1_escalation,0,0,0,17,4,post,
ablation,0xF0235A11CE0FF1CE,on,D,11,"D01 sum%2",1,1.0000,world,1,1,0,12,4,post,
ablation,0xF0235A11CE0FF1CE,on,D,12,"D07 count3%3",1,1.0000,menu,1,1,0,12,4,post,
ablation,0xF0235A11CE0FF1CE,on,D,13,"D11 subset-parity{0-3}",1,1.0000,forge,1,1,0,12,4,post,
ablation,0x00C1B10D20260706,off,B,0,"B1 random monomial deg2",1,1.0000,rq1_escalation,4,0,4,11,3,frozen,
ablation,0x00C1B10D20260706,off,B,1,"B2 random monomial deg3",1,1.0000,rq1_escalation,3,0,3,11,3,frozen,
ablation,0x00C1B10D20260706,off,B,2,"B3 sum(g) % 7",1,1.0000,unified escalation,1,1,0,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,3,"B4 sign%mod 11",1,0.9051,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,4,"B5 Walsh χ{S=0x11}",1,1.0000,rq1_escalation,3,0,3,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,5,"B6 Walsh χ{S=0xA4}",1,1.0000,rq1_escalation,2,0,2,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,6,"B7 Walsh χ{S=0x0A}",1,1.0000,rq1_escalation,3,0,3,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,7,"B8 parity-of-count",1,1.0000,rq1_escalation,2,0,2,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,8,"B9 oriented v1>v0",1,1.0000,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,9,"B10 parity AND sum%5",0,0.8977,saturated,0,0,0,12,3,frozen,
ablation,0x00C1B10D20260706,off,B,10,"B11 inversion parity",1,1.0000,rq1_escalation,0,0,0,12,3,frozen,
ablation,0x00C1B10D20260706,off,D,11,"D01 sum%2",0,0.5274,base,1,0,1,11,3,frozen,
ablation,0x00C1B10D20260706,off,D,12,"D07 count3%3",1,1.0000,menu,1,1,0,12,3,frozen,
ablation,0x00C1B10D20260706,off,D,13,"D11 subset-parity{0-3}",0,0.5006,base,3,0,3,11,3,frozen,
ablation,0x00C1B10D20260706,on,B,0,"B1 random monomial deg2",1,1.0000,rq1_escalation,4,0,4,11,3,pre,
ablation,0x00C1B10D20260706,on,B,1,"B2 random monomial deg3",1,1.0000,rq1_escalation,3,0,3,11,3,post,
ablation,0x00C1B10D20260706,on,B,2,"B3 sum(g) % 7",1,1.0000,unified escalation,1,1,0,12,4,post,
ablation,0x00C1B10D20260706,on,B,3,"B4 sign%mod 11",1,0.9051,frozen/grown monomials,0,0,0,12,4,post,
ablation,0x00C1B10D20260706,on,B,4,"B5 Walsh χ{S=0x11}",1,1.0000,unified escalation,1,1,0,13,4,post,
ablation,0x00C1B10D20260706,on,B,5,"B6 Walsh χ{S=0xA4}",1,1.0000,unified escalation,1,1,0,14,4,post,
ablation,0x00C1B10D20260706,on,B,6,"B7 Walsh χ{S=0x0A}",1,1.0000,unified escalation,1,1,0,15,4,post,
ablation,0x00C1B10D20260706,on,B,7,"B8 parity-of-count",1,1.0000,unified escalation,1,1,0,16,4,post,
ablation,0x00C1B10D20260706,on,B,8,"B9 oriented v1>v0",1,1.0000,frozen/grown monomials,0,0,0,16,4,post,
ablation,0x00C1B10D20260706,on,B,9,"B10 parity AND sum%5",1,1.0000,unified escalation,1,1,0,17,4,post,
ablation,0x00C1B10D20260706,on,B,10,"B11 inversion parity",1,1.0000,rq1_escalation,0,0,0,17,4,post,
ablation,0x00C1B10D20260706,on,D,11,"D01 sum%2",1,1.0000,world,1,1,0,12,4,post,
ablation,0x00C1B10D20260706,on,D,12,"D07 count3%3",1,1.0000,menu,1,1,0,12,4,post,
ablation,0x00C1B10D20260706,on,D,13,"D11 subset-parity{0-3}",1,0.9994,forge,1,1,0,12,4,post,
ablation,0x00C2B10D20260707,off,B,0,"B1 random monomial deg2",1,1.0000,rq1_escalation,4,0,4,11,3,frozen,
ablation,0x00C2B10D20260707,off,B,1,"B2 random monomial deg3",1,1.0000,rq1_escalation,3,0,3,11,3,frozen,
ablation,0x00C2B10D20260707,off,B,2,"B3 sum(g) % 7",1,1.0000,unified escalation,1,1,0,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,3,"B4 sign%mod 11",1,0.9063,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,4,"B5 Walsh χ{S=0x11}",1,1.0000,rq1_escalation,3,0,3,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,5,"B6 Walsh χ{S=0xA4}",1,1.0000,rq1_escalation,2,0,2,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,6,"B7 Walsh χ{S=0x0A}",1,1.0000,rq1_escalation,3,0,3,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,7,"B8 parity-of-count",1,1.0000,rq1_escalation,2,0,2,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,8,"B9 oriented v1>v0",1,1.0000,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,9,"B10 parity AND sum%5",1,0.9097,frozen/grown monomials,0,0,0,12,3,frozen,
ablation,0x00C2B10D20260707,off,B,10,"B11 inversion parity",1,1.0000,rq1_escalation,0,0,0,12,3,frozen,
ablation,0x00C2B10D20260707,off,D,11,"D01 sum%2",0,0.4966,base,1,0,1,11,3,frozen,
ablation,0x00C2B10D20260707,off,D,12,"D07 count3%3",0,0.6634,base,1,0,1,11,3,frozen,
ablation,0x00C2B10D20260707,off,D,13,"D11 subset-parity{0-3}",0,0.4903,base,3,0,3,11,3,frozen,
ablation,0x00C2B10D20260707,on,B,0,"B1 random monomial deg2",1,1.0000,rq1_escalation,4,0,4,11,3,pre,
ablation,0x00C2B10D20260707,on,B,1,"B2 random monomial deg3",1,1.0000,rq1_escalation,3,0,3,11,3,post,
ablation,0x00C2B10D20260707,on,B,2,"B3 sum(g) % 7",1,1.0000,unified escalation,1,1,0,12,4,post,
ablation,0x00C2B10D20260707,on,B,3,"B4 sign%mod 11",1,0.9063,frozen/grown monomials,0,0,0,12,4,post,
ablation,0x00C2B10D20260707,on,B,4,"B5 Walsh χ{S=0x11}",1,1.0000,unified escalation,1,1,0,13,4,post,
ablation,0x00C2B10D20260707,on,B,5,"B6 Walsh χ{S=0xA4}",1,1.0000,unified escalation,1,1,0,14,4,post,
ablation,0x00C2B10D20260707,on,B,6,"B7 Walsh χ{S=0x0A}",1,1.0000,unified escalation,1,1,0,15,4,post,
ablation,0x00C2B10D20260707,on,B,7,"B8 parity-of-count",1,1.0000,unified escalation,1,1,0,16,4,post,
ablation,0x00C2B10D20260707,on,B,8,"B9 oriented v1>v0",1,1.0000,frozen/grown monomials,0,0,0,16,4,post,
ablation,0x00C2B10D20260707,on,B,9,"B10 parity AND sum%5",1,0.9086,frozen/grown monomials,0,0,0,16,4,post,
ablation,0x00C2B10D20260707,on,B,10,"B11 inversion parity",1,1.0000,rq1_escalation,0,0,0,16,4,post,
ablation,0x00C2B10D20260707,on,D,11,"D01 sum%2",1,1.0000,world,1,1,0,12,4,post,
ablation,0x00C2B10D20260707,on,D,12,"D07 count3%3",1,1.0000,menu,1,1,0,12,4,post,
ablation,0x00C2B10D20260707,on,D,13,"D11 subset-parity{0-3}",1,1.0000,forge,1,1,0,12,4,post,
