N,method,evals,best_E,best_F
44,memetic_twopoint_burst,5745849,138,7.014493
44,memetic_twopoint_burst,5756413,138,7.014493
44,memetic_twopoint_burst,5761695,138,7.014493
44,memetic_twopoint_burst,5777541,490,1.975510
44,memetic_twopoint_burst,5777629,342,2.830409
44,memetic_twopoint_burst,5777717,306,3.163399
44,memetic_twopoint_burst,5777805,302,3.205298
44,memetic_twopoint_burst,5777893,282,3.432624
44,memetic_twopoint_burst,5778861,278,3.482014
44,memetic_twopoint_burst,5778949,274,3.532847
44,memetic_twopoint_burst,5779125,270,3.585185
44,memetic_twopoint_burst,5779213,234,4.136752
44,memetic_twopoint_burst,5780182,706,1.371105
44,memetic_twopoint_burst,5780270,542,1.785978
44,memetic_twopoint_burst,5780358,450,2.151111
44,memetic_twopoint_burst,5780446,330,2.933333
44,memetic_twopoint_burst,5780534,318,3.044025
44,memetic_twopoint_burst,5780622,290,3.337931
44,memetic_twopoint_burst,5780798,282,3.432624
44,memetic_twopoint_burst,5781062,270,3.585185
44,memetic_twopoint_burst,5781238,246,3.934959
44,memetic_twopoint_burst,5781766,238,4.067227
44,memetic_twopoint_burst,5782646,234,4.136752
44,memetic_twopoint_burst,5785464,138,7.014493
44,memetic_twopoint_burst,5790746,138,7.014493
44,memetic_twopoint_burst,5838284,138,7.014493
44,memetic_twopoint_burst,5883181,138,7.014493
44,memetic_twopoint_burst,5885822,138,7.014493
44,memetic_twopoint_burst,5888463,138,7.014493
44,memetic_twopoint_burst,5938642,138,7.014493
44,memetic_twopoint_burst,5941283,138,7.014493
44,memetic_twopoint_burst,5946565,138,7.014493
44,memetic_twopoint_burst,5954488,138,7.014493
44,memetic_twopoint_burst,5967693,138,7.014493
44,memetic_twopoint_burst,5983539,454,2.132159
44,memetic_twopoint_burst,5983627,310,3.122581
44,memetic_twopoint_burst,5983715,298,3.248322
44,memetic_twopoint_burst,5983891,282,3.432624
44,memetic_twopoint_burst,5983979,262,3.694656
44,memetic_twopoint_burst,5984507,254,3.811024
44,memetic_twopoint_burst,5984595,242,4.000000
44,memetic_twopoint_burst,5984859,222,4.360360
44,memetic_twopoint_burst,6002026,498,1.943775
44,memetic_twopoint_burst,6002114,414,2.338164
44,memetic_twopoint_burst,6002202,322,3.006211
44,memetic_twopoint_burst,6002290,214,4.523364
44,memetic_twopoint_burst,6007308,138,7.014493
44,memetic_twopoint_burst,6015231,138,7.014493
44,memetic_twopoint_burst,6025795,138,7.014493
44,memetic_twopoint_burst,6036359,138,7.014493
44,memetic_twopoint_burst,6046923,138,7.014493
44,memetic_twopoint_burst,6052205,138,7.014493
44,memetic_twopoint_burst,6062769,138,7.014493
44,memetic_twopoint_burst,6065410,138,7.014493
44,memetic_twopoint_burst,6105025,138,7.014493
44,memetic_twopoint_burst,6112948,138,7.014493
44,memetic_twopoint_burst,6115589,138,7.014493
44,memetic_twopoint_burst,6128794,138,7.014493
44,memetic_twopoint_burst,6139358,138,7.014493
44,memetic_twopoint_burst,6157845,138,7.014493
44,memetic_twopoint_burst,6168409,138,7.014493
44,memetic_twopoint_burst,6178973,138,7.014493
44,memetic_twopoint_burst,6181614,138,7.014493
44,memetic_twopoint_burst,6192178,722,1.340720
44,memetic_twopoint_burst,6192266,426,2.272300
44,memetic_twopoint_burst,6192354,326,2.969325
44,memetic_twopoint_burst,6192442,306,3.163399
44,memetic_twopoint_burst,6192530,302,3.205298
44,memetic_twopoint_burst,6193498,258,3.751938
44,memetic_twopoint_burst,6193674,234,4.136752
44,memetic_twopoint_burst,6194378,230,4.208696
44,memetic_twopoint_burst,6213306,566,1.710247
44,memetic_twopoint_burst,6213394,410,2.360976
44,memetic_twopoint_burst,6213482,374,2.588235
44,memetic_twopoint_burst,6213570,306,3.163399
44,memetic_twopoint_burst,6213658,294,3.292517
44,memetic_twopoint_burst,6213746,250,3.872000
44,memetic_twopoint_burst,6214714,222,4.360360
44,memetic_twopoint_burst,6223870,138,7.014493
44,memetic_twopoint_burst,6229152,138,7.014493
44,memetic_twopoint_burst,6234434,138,7.014493
44,memetic_twopoint_burst,6271408,138,7.014493
44,memetic_twopoint_burst,6274049,138,7.014493
44,memetic_twopoint_burst,6292536,138,7.014493
44,memetic_twopoint_burst,6300459,138,7.014493
44,memetic_twopoint_burst,6305741,138,7.014493
44,memetic_twopoint_burst,6334792,138,7.014493
44,memetic_twopoint_burst,6342715,138,7.014493
44,memetic_twopoint_burst,6350638,138,7.014493
44,memetic_twopoint_burst,6353279,138,7.014493
44,memetic_twopoint_burst,6361202,138,7.014493
44,memetic_twopoint_burst,6366484,138,7.014493
44,memetic_twopoint_burst,6369125,138,7.014493
44,memetic_twopoint_burst,6390253,138,7.014493
44,memetic_twopoint_burst,6421945,590,1.640678
44,memetic_twopoint_burst,6422033,442,2.190045
44,memetic_twopoint_burst,6422121,346,2.797688
44,memetic_twopoint_burst,6422209,294,3.292517
44,memetic_twopoint_burst,6422473,274,3.532847
44,memetic_twopoint_burst,6422561,246,3.934959
44,memetic_twopoint_burst,6424586,466,2.077253
44,memetic_twopoint_burst,6424674,346,2.797688
44,memetic_twopoint_burst,6424762,318,3.044025
44,memetic_twopoint_burst,6424938,270,3.585185
44,memetic_twopoint_burst,6425026,242,4.000000
44,memetic_twopoint_burst,6425994,238,4.067227
44,memetic_twopoint_burst,6426082,218,4.440367
44,memetic_twopoint_burst,6445714,138,7.014493
44,memetic_twopoint_burst,6450996,138,7.014493
44,memetic_twopoint_burst,6482688,138,7.014493
44,memetic_twopoint_burst,6485329,138,7.014493
44,memetic_twopoint_burst,6490611,138,7.014493
44,memetic_twopoint_burst,6511739,138,7.014493
44,memetic_twopoint_burst,6514380,138,7.014493
44,memetic_twopoint_burst,6517021,138,7.014493
44,memetic_twopoint_burst,6527585,138,7.014493
44,memetic_twopoint_burst,6530226,138,7.014493
44,memetic_twopoint_burst,6538149,138,7.014493
44,memetic_twopoint_burst,6543431,138,7.014493
44,memetic_twopoint_burst,6546072,138,7.014493
44,memetic_twopoint_burst,6551354,138,7.014493
44,memetic_twopoint_burst,6561918,138,7.014493
44,memetic_twopoint_burst,6567200,138,7.014493
44,memetic_twopoint_burst,6606815,138,7.014493
44,memetic_twopoint_burst,6609456,138,7.014493
44,memetic_twopoint_burst,6633225,662,1.462236
44,memetic_twopoint_burst,6633313,458,2.113537
44,memetic_twopoint_burst,6633401,366,2.644809
44,memetic_twopoint_burst,6633489,322,3.006211
44,memetic_twopoint_burst,6633577,290,3.337931
44,memetic_twopoint_burst,6633665,262,3.694656
44,memetic_twopoint_burst,6633929,250,3.872000
44,memetic_twopoint_burst,6634017,230,4.208696
44,memetic_twopoint_burst,6635866,566,1.710247
44,memetic_twopoint_burst,6635954,442,2.190045
44,memetic_twopoint_burst,6636042,314,3.082803
44,memetic_twopoint_burst,6636218,310,3.122581
44,memetic_twopoint_burst,6636306,290,3.337931
44,memetic_twopoint_burst,6636394,278,3.482014
44,memetic_twopoint_burst,6636482,250,3.872000
44,memetic_twopoint_burst,6636570,222,4.360360
44,memetic_twopoint_burst,6667558,138,7.014493
44,memetic_twopoint_burst,6686045,138,7.014493
44,memetic_twopoint_burst,6704532,138,7.014493
44,memetic_twopoint_burst,6715096,138,7.014493
44,memetic_twopoint_burst,6723019,138,7.014493
44,memetic_twopoint_burst,6725660,138,7.014493
44,memetic_twopoint_burst,6733583,138,7.014493
44,memetic_twopoint_burst,6741506,138,7.014493
44,memetic_twopoint_burst,6746788,138,7.014493
44,memetic_twopoint_burst,6749429,138,7.014493
44,memetic_twopoint_burst,6765275,138,7.014493
44,memetic_twopoint_burst,6778480,138,7.014493
44,memetic_twopoint_burst,6783762,138,7.014493
44,memetic_twopoint_burst,6802249,138,7.014493
44,memetic_twopoint_burst,6815454,138,7.014493
44,memetic_twopoint_burst,6818095,138,7.014493
44,memetic_twopoint_burst,6831300,138,7.014493
44,memetic_twopoint_burst,6833941,626,1.546326
44,memetic_twopoint_burst,6834029,454,2.132159
44,memetic_twopoint_burst,6834117,426,2.272300
44,memetic_twopoint_burst,6834205,342,2.830409
44,memetic_twopoint_burst,6834293,298,3.248322
44,memetic_twopoint_burst,6834381,230,4.208696
44,memetic_twopoint_burst,6834557,206,4.699029
44,memetic_twopoint_burst,6844505,582,1.663230
44,memetic_twopoint_burst,6844593,454,2.132159
44,memetic_twopoint_burst,6844681,394,2.456853
44,memetic_twopoint_burst,6844769,286,3.384615
44,memetic_twopoint_burst,6844857,258,3.751938
44,memetic_twopoint_burst,6845561,254,3.811024
44,memetic_twopoint_burst,6847057,250,3.872000
44,memetic_twopoint_burst,6852428,138,7.014493
44,memetic_twopoint_burst,6870915,138,7.014493
44,memetic_twopoint_burst,6873556,138,7.014493
44,memetic_twopoint_burst,6881479,138,7.014493
44,memetic_twopoint_burst,6884120,138,7.014493
44,memetic_twopoint_burst,6886761,138,7.014493
44,memetic_twopoint_burst,6889402,138,7.014493
44,memetic_twopoint_burst,6899966,138,7.014493
44,memetic_twopoint_burst,6910530,138,7.014493
44,memetic_twopoint_burst,6934299,138,7.014493
44,memetic_twopoint_burst,6942222,138,7.014493
44,memetic_twopoint_burst,6944863,138,7.014493
44,memetic_twopoint_burst,6971273,138,7.014493
44,memetic_twopoint_burst,6973914,138,7.014493
44,memetic_twopoint_burst,6989760,138,7.014493
44,memetic_twopoint_burst,6992401,138,7.014493
44,memetic_twopoint_burst,6997683,138,7.014493
44,memetic_twopoint_burst,7013529,138,7.014493
44,memetic_twopoint_burst,7018811,138,7.014493
44,memetic_twopoint_burst,7021452,138,7.014493
44,memetic_twopoint_burst,7042580,382,2.534031
44,memetic_twopoint_burst,7042668,346,2.797688
44,memetic_twopoint_burst,7042756,318,3.044025
44,memetic_twopoint_burst,7042844,290,3.337931
44,memetic_twopoint_burst,7042932,254,3.811024
44,memetic_twopoint_burst,7043460,250,3.872000
44,memetic_twopoint_burst,7043548,238,4.067227
44,memetic_twopoint_burst,7044340,230,4.208696
44,memetic_twopoint_burst,7053144,690,1.402899
44,memetic_twopoint_burst,7053232,378,2.560847
44,memetic_twopoint_burst,7053320,334,2.898204
44,memetic_twopoint_burst,7053408,274,3.532847
44,memetic_twopoint_burst,7053496,262,3.694656
44,memetic_twopoint_burst,7053584,258,3.751938
44,memetic_twopoint_burst,7053672,238,4.067227
44,memetic_twopoint_burst,7053936,222,4.360360
44,memetic_twopoint_burst,7076913,138,7.014493
44,memetic_twopoint_burst,7082195,470,2.059574
44,memetic_twopoint_burst,7082283,350,2.765714
44,memetic_twopoint_burst,7082371,306,3.163399
44,memetic_twopoint_burst,7082547,294,3.292517
44,memetic_twopoint_burst,7083075,290,3.337931
44,memetic_twopoint_burst,7083251,282,3.432624
44,memetic_twopoint_burst,7083339,270,3.585185
44,memetic_twopoint_burst,7083427,234,4.136752
44,memetic_twopoint_burst,7083515,222,4.360360
44,memetic_twopoint_burst,7084483,218,4.440367
44,memetic_twopoint_burst,7095400,138,7.014493
44,memetic_twopoint_burst,7100682,138,7.014493
44,memetic_twopoint_burst,7108605,138,7.014493
44,memetic_twopoint_burst,7119169,138,7.014493
44,memetic_twopoint_burst,7124451,138,7.014493
44,memetic_twopoint_burst,7137656,138,7.014493
44,memetic_twopoint_burst,7153502,138,7.014493
44,memetic_twopoint_burst,7161425,138,7.014493
44,memetic_twopoint_burst,7171989,138,7.014493
44,memetic_twopoint_burst,7177271,138,7.014493
44,memetic_twopoint_burst,7187835,138,7.014493
44,memetic_twopoint_burst,7190476,138,7.014493
44,memetic_twopoint_burst,7206322,138,7.014493
44,memetic_twopoint_burst,7208963,138,7.014493
44,memetic_twopoint_burst,7238014,138,7.014493
44,memetic_twopoint_burst,7251219,594,1.629630
44,memetic_twopoint_burst,7251307,414,2.338164
44,memetic_twopoint_burst,7251395,370,2.616216
44,memetic_twopoint_burst,7251483,286,3.384615
44,memetic_twopoint_burst,7251659,282,3.432624
44,memetic_twopoint_burst,7251923,278,3.482014
44,memetic_twopoint_burst,7252011,242,4.000000
44,memetic_twopoint_burst,7253331,218,4.440367
44,memetic_twopoint_burst,7261783,138,7.014493
44,memetic_twopoint_burst,7264424,850,1.138824
44,memetic_twopoint_burst,7264512,482,2.008299
44,memetic_twopoint_burst,7264600,358,2.703911
44,memetic_twopoint_burst,7264688,330,2.933333
44,memetic_twopoint_burst,7264776,302,3.205298
44,memetic_twopoint_burst,7264864,290,3.337931
44,memetic_twopoint_burst,7265216,266,3.639098
44,memetic_twopoint_burst,7265568,238,4.067227
44,memetic_twopoint_burst,7265656,218,4.440367
44,memetic_twopoint_burst,7265744,198,4.888889
44,memetic_twopoint_burst,7290834,138,7.014493
44,memetic_twopoint_burst,7317244,138,7.014493
44,memetic_twopoint_burst,7327808,138,7.014493
44,memetic_twopoint_burst,7335731,138,7.014493
44,memetic_twopoint_burst,7341013,138,7.014493
44,memetic_twopoint_burst,7354218,138,7.014493
44,memetic_twopoint_burst,7359500,138,7.014493
44,memetic_twopoint_burst,7380628,138,7.014493
44,memetic_twopoint_burst,7391192,138,7.014493
44,memetic_twopoint_burst,7401756,138,7.014493
44,memetic_twopoint_burst,7428166,138,7.014493
44,memetic_twopoint_burst,7438730,138,7.014493
44,memetic_twopoint_burst,7449294,138,7.014493
44,memetic_twopoint_burst,7465140,138,7.014493
44,memetic_twopoint_burst,7470422,490,1.975510
44,memetic_twopoint_burst,7470510,398,2.432161
44,memetic_twopoint_burst,7470598,346,2.797688
44,memetic_twopoint_burst,7470686,270,3.585185
44,memetic_twopoint_burst,7470774,178,5.438202
44,memetic_twopoint_burst,7478345,606,1.597360
44,memetic_twopoint_burst,7478433,458,2.113537
44,memetic_twopoint_burst,7478521,390,2.482051
44,memetic_twopoint_burst,7478609,346,2.797688
44,memetic_twopoint_burst,7478697,314,3.082803
44,memetic_twopoint_burst,7478785,294,3.292517
44,memetic_twopoint_burst,7478873,290,3.337931
44,memetic_twopoint_burst,7478961,282,3.432624
44,memetic_twopoint_burst,7479049,278,3.482014
44,memetic_twopoint_burst,7479137,226,4.283186
44,memetic_twopoint_burst,7496832,138,7.014493
44,memetic_twopoint_burst,7512678,138,7.014493
44,memetic_twopoint_burst,7528524,138,7.014493
44,memetic_twopoint_burst,7531165,138,7.014493
44,memetic_twopoint_burst,7541729,138,7.014493
44,memetic_twopoint_burst,7549652,138,7.014493
44,memetic_twopoint_burst,7557575,138,7.014493
44,memetic_twopoint_burst,7568139,138,7.014493
44,memetic_twopoint_burst,7573421,138,7.014493
44,memetic_twopoint_burst,7597190,138,7.014493
44,memetic_twopoint_burst,7610395,138,7.014493
44,memetic_twopoint_burst,7628882,138,7.014493
44,memetic_twopoint_burst,7660574,138,7.014493
44,memetic_twopoint_burst,7679061,474,2.042194
44,memetic_twopoint_burst,7679149,354,2.734463
44,memetic_twopoint_burst,7679237,338,2.863905
44,memetic_twopoint_burst,7679325,286,3.384615
44,memetic_twopoint_burst,7679413,282,3.432624
44,memetic_twopoint_burst,7679589,222,4.360360
44,memetic_twopoint_burst,7681085,202,4.792079
44,memetic_twopoint_burst,7692266,634,1.526814
44,memetic_twopoint_burst,7692354,430,2.251163
44,memetic_twopoint_burst,7692442,354,2.734463
44,memetic_twopoint_burst,7692530,342,2.830409
44,memetic_twopoint_burst,7692618,322,3.006211
44,memetic_twopoint_burst,7692706,318,3.044025
44,memetic_twopoint_burst,7692794,266,3.639098
44,memetic_twopoint_burst,7692882,238,4.067227
44,memetic_twopoint_burst,7693234,226,4.283186
44,memetic_twopoint_burst,7693410,218,4.440367
44,memetic_twopoint_burst,7693498,214,4.523364
44,memetic_twopoint_burst,7705471,138,7.014493
44,memetic_twopoint_burst,7708112,138,7.014493
44,memetic_twopoint_burst,7723958,138,7.014493
44,memetic_twopoint_burst,7729240,138,7.014493
44,memetic_twopoint_burst,7737163,138,7.014493
44,memetic_twopoint_burst,7758291,138,7.014493
44,memetic_twopoint_burst,7792624,138,7.014493
44,memetic_twopoint_burst,7816393,138,7.014493
44,memetic_twopoint_burst,7837521,138,7.014493
44,memetic_twopoint_burst,7840162,138,7.014493
44,memetic_twopoint_burst,7858649,138,7.014493
44,memetic_twopoint_burst,7861290,138,7.014493
44,memetic_twopoint_burst,7863931,138,7.014493
44,memetic_twopoint_burst,7869213,138,7.014493
44,memetic_twopoint_burst,7885059,446,2.170404
44,memetic_twopoint_burst,7885147,306,3.163399
44,memetic_twopoint_burst,7885235,278,3.482014
44,memetic_twopoint_burst,7885323,242,4.000000
44,memetic_twopoint_burst,7885499,218,4.440367
44,memetic_twopoint_burst,7886731,202,4.792079
44,memetic_twopoint_burst,7898264,438,2.210046
44,memetic_twopoint_burst,7898352,354,2.734463
44,memetic_twopoint_burst,7898440,326,2.969325
44,memetic_twopoint_burst,7898528,298,3.248322
44,memetic_twopoint_burst,7898616,294,3.292517
44,memetic_twopoint_burst,7898704,282,3.432624
44,memetic_twopoint_burst,7898880,274,3.532847
44,memetic_twopoint_burst,7899232,262,3.694656
44,memetic_twopoint_burst,7899320,218,4.440367
44,memetic_twopoint_burst,7900376,194,4.989691
44,memetic_twopoint_burst,7943161,138,7.014493
44,memetic_twopoint_burst,7945802,138,7.014493
44,memetic_twopoint_burst,7972212,138,7.014493
44,memetic_twopoint_burst,7977494,138,7.014493
44,memetic_twopoint_burst,7982776,138,7.014493
44,memetic_twopoint_burst,7998622,138,7.014493
44,memetic_twopoint_burst,8014468,138,7.014493
44,memetic_twopoint_burst,8030314,138,7.014493
44,memetic_twopoint_burst,8035596,138,7.014493
44,memetic_twopoint_burst,8054083,138,7.014493
44,memetic_twopoint_burst,8072570,138,7.014493
44,memetic_twopoint_burst,8080493,138,7.014493
44,memetic_twopoint_burst,8083134,138,7.014493
44,memetic_twopoint_burst,8085775,138,7.014493
44,memetic_twopoint_burst,8098980,378,2.560847
44,memetic_twopoint_burst,8099068,338,2.863905
44,memetic_twopoint_burst,8099156,286,3.384615
44,memetic_twopoint_burst,8099244,266,3.639098
44,memetic_twopoint_burst,8099332,254,3.811024
44,memetic_twopoint_burst,8099508,230,4.208696
44,memetic_twopoint_burst,8101092,214,4.523364
44,memetic_twopoint_burst,8101621,586,1.651877
44,memetic_twopoint_burst,8101709,394,2.456853
44,memetic_twopoint_burst,8101797,338,2.863905
44,memetic_twopoint_burst,8101885,294,3.292517
44,memetic_twopoint_burst,8101973,282,3.432624
44,memetic_twopoint_burst,8102149,258,3.751938
44,memetic_twopoint_burst,8102325,234,4.136752
44,memetic_twopoint_burst,8138595,138,7.014493
44,memetic_twopoint_burst,8149159,138,7.014493
44,memetic_twopoint_burst,8154441,138,7.014493
44,memetic_twopoint_burst,8157082,138,7.014493
44,memetic_twopoint_burst,8167646,138,7.014493
44,memetic_twopoint_burst,8175569,138,7.014493
44,memetic_twopoint_burst,8178210,138,7.014493
44,memetic_twopoint_burst,8180851,138,7.014493
44,memetic_twopoint_burst,8194056,138,7.014493
44,memetic_twopoint_burst,8201979,138,7.014493
44,memetic_twopoint_burst,8212543,138,7.014493
44,memetic_twopoint_burst,8215184,138,7.014493
44,memetic_twopoint_burst,8225748,138,7.014493
44,memetic_twopoint_burst,8228389,138,7.014493
44,memetic_twopoint_burst,8231030,138,7.014493
44,memetic_twopoint_burst,8244235,138,7.014493
44,memetic_twopoint_burst,8252158,138,7.014493
44,memetic_twopoint_burst,8254799,138,7.014493
44,memetic_twopoint_burst,8262722,138,7.014493
44,memetic_twopoint_burst,8270645,138,7.014493
44,memetic_twopoint_burst,8310260,574,1.686411
44,memetic_twopoint_burst,8310348,350,2.765714
44,memetic_twopoint_burst,8310436,338,2.863905
44,memetic_twopoint_burst,8310524,262,3.694656
44,memetic_twopoint_burst,8310612,258,3.751938
44,memetic_twopoint_burst,8310700,230,4.208696
44,memetic_twopoint_burst,8310788,202,4.792079
44,memetic_twopoint_burst,8312901,138,7.014493
44,memetic_twopoint_burst,8320824,138,7.014493
44,memetic_twopoint_burst,8323465,578,1.674740
44,memetic_twopoint_burst,8323553,442,2.190045
44,memetic_twopoint_burst,8323641,386,2.507772
44,memetic_twopoint_burst,8323729,294,3.292517
44,memetic_twopoint_burst,8323817,290,3.337931
44,memetic_twopoint_burst,8323905,238,4.067227
44,memetic_twopoint_burst,8325313,214,4.523364
44,memetic_twopoint_burst,8331388,138,7.014493
44,memetic_twopoint,13889548,138,7.014493
44,memetic_twopoint_burst,13889637,290,3.337931
44,memetic_twopoint_burst,13889725,190,5.094737
44,memetic_twopoint_burst,13889813,138,7.014493
44,memetic_twopoint_burst,13892278,298,3.248322
44,memetic_twopoint_burst,13892366,246,3.934959
44,memetic_twopoint_burst,13892454,138,7.014493
44,memetic_twopoint_burst,13894919,274,3.532847
44,memetic_twopoint_burst,13895007,214,4.523364
44,memetic_twopoint_burst,13895095,138,7.014493
44,memetic_twopoint_burst,13897560,378,2.560847
44,memetic_twopoint_burst,13897648,270,3.585185
44,memetic_twopoint_burst,13897736,138,7.014493
44,memetic_twopoint_burst,13900201,230,4.208696
44,memetic_twopoint_burst,13900289,138,7.014493
44,memetic_twopoint_burst,13902842,426,2.272300
44,memetic_twopoint_burst,13902930,346,2.797688
44,memetic_twopoint_burst,13903018,318,3.044025
44,memetic_twopoint_burst,13903106,290,3.337931
44,memetic_twopoint_burst,13903282,274,3.532847
44,memetic_twopoint_burst,13903370,258,3.751938
44,memetic_twopoint_burst,13903458,238,4.067227
44,memetic_twopoint_burst,13905483,630,1.536508
44,memetic_twopoint_burst,13905571,446,2.170404
44,memetic_twopoint_burst,13905659,354,2.734463
44,memetic_twopoint_burst,13905747,330,2.933333
44,memetic_twopoint_burst,13905835,302,3.205298
44,memetic_twopoint_burst,13905923,294,3.292517
44,memetic_twopoint_burst,13906011,282,3.432624
44,memetic_twopoint_burst,13906275,278,3.482014
44,memetic_twopoint_burst,13906451,262,3.694656
44,memetic_twopoint_burst,13906891,238,4.067227
44,memetic_twopoint_burst,13906979,226,4.283186
44,memetic_twopoint_burst,13908124,382,2.534031
44,memetic_twopoint_burst,13908212,334,2.898204
44,memetic_twopoint_burst,13908300,282,3.432624
44,memetic_twopoint_burst,13908388,262,3.694656
44,memetic_twopoint_burst,13908476,258,3.751938
44,memetic_twopoint_burst,13909444,214,4.523364
44,memetic_twopoint_burst,13910765,722,1.340720
