phase,arm,seed,round,target,best_gate,best_agree_distinct,n_archive,n_clean,n_checked,n_irred,d4_rejects,promoted,promoted_len,stone_event,f_reach,e_reach,new_f,new_e,ms
forge,forge_curr,0xA70F,6,wall_family,0.5179,0.5179,61,56,56,54,0,1,20,none,6,4,0,0,10834
forge,forge_curr,0xA70F,7,wall_family,0.7009,0.4330,78,66,66,63,0,1,25,none,6,4,0,0,12953
forge,forge_curr,0xA70F,8,wall_family,0.7366,0.4866,36,32,32,31,0,1,24,none,6,4,0,0,12461
forge,forge_curr,0xA70F,9,wall_family,0.7411,0.4955,55,49,49,48,0,1,25,none,6,4,0,0,15948
forge,forge_curr,0xA70F,10,wall_family,0.4420,0.4330,41,33,33,29,0,1,26,none,6,4,0,0,15969
forge,forge_curr,0x5EED2,0,baseline,0,0,0,0,0,0,0,0,0,none,0,3,0,0,0
forge,forge_curr,0x5EED2,1,S1_membership,0.9196,0.4420,35,25,25,24,0,0,0,none,0,3,0,0,5024
forge,forge_curr,0x5EED2,2,S1_membership,0.9286,0.6563,70,52,52,52,0,0,0,none,0,3,0,0,5469
forge,forge_curr,0x5EED2,3,S1_membership,1.0000,0.6563,126,104,80,79,0,1,20,stone_solved,0,3,0,0,6023
forge,forge_curr,0x5EED2,4,S2_noveltyflag,1.0000,0.6563,39,28,28,28,0,1,21,stone_solved,6,4,6,1,5062
forge,forge_curr,0x5EED2,5,wall_family,0.6473,0.6027,85,70,70,70,0,1,21,compose_advance,6,4,0,0,8514
forge,forge_curr,0x5EED2,6,wall_family,0.4643,0.5670,43,38,38,34,0,1,27,none,6,4,0,0,8376
forge,forge_curr,0x5EED2,7,wall_family,0.4286,0.4196,35,31,31,29,0,1,22,none,6,4,0,0,8625
forge,forge_curr,0x5EED2,8,wall_family,0.4196,0.6920,49,42,42,37,0,1,23,none,6,4,0,0,10237
forge,forge_curr,0x5EED2,9,wall_family,0.5313,0.4821,133,116,80,77,0,1,22,none,6,4,0,0,15670
forge,forge_curr,0x5EED2,10,wall_family,0.4598,0.5759,142,125,80,77,0,1,22,none,6,4,0,0,18406
forge,forge_mech,0xA70F,0,baseline,0,0,0,0,0,0,0,0,0,none,0,3,0,0,0
forge,forge_mech,0xA70F,1,mech_M,0.5984,0.4509,35,32,32,27,0,1,21,none,0,3,0,0,9220
forge,forge_mech,0xA70F,2,mech_M,0.7083,0.5313,38,35,35,31,0,1,9,none,0,3,0,0,9509
forge,forge_mech,0xA70F,3,mech_M,0.1780,0.7277,31,23,23,19,0,1,14,none,0,3,0,0,8754
forge,forge_mech,0xA70F,4,mech_M,1.0000,0.5089,59,50,50,48,0,1,22,none,0,4,0,1,10724
forge,forge_mech,0xA70F,5,mech_M,0.3038,0.6563,29,26,26,19,0,1,8,none,0,4,0,0,10495
forge,forge_mech,0xA70F,6,mech_M,0.4688,0.6563,67,61,61,60,0,1,12,none,0,4,0,0,12388
forge,forge_mech,0xA70F,7,mech_M,0.4253,0.6563,71,64,64,60,0,1,16,none,0,5,0,1,14578
forge,forge_mech,0xA70F,8,mech_M,0.3774,0.5759,50,44,44,36,0,1,9,none,0,5,0,0,14271
forge,forge_mech,0xA70F,9,mech_M,0.4028,0.4375,35,33,33,31,0,1,10,none,0,5,0,0,15259
forge,forge_mech,0xA70F,10,mech_M,0.2550,0.6563,48,43,43,35,0,1,9,none,0,5,0,0,17817
forge,forge_mech,0x5EED2,0,baseline,0,0,0,0,0,0,0,0,0,none,0,3,0,0,0
forge,forge_mech,0x5EED2,1,mech_M,0.7205,0.6607,48,45,45,39,0,1,27,none,0,4,0,1,9056
forge,forge_mech,0x5EED2,2,mech_M,0.4253,0.6607,36,33,33,28,0,1,17,none,0,4,0,0,9470
forge,forge_mech,0x5EED2,3,mech_M,1.0000,0.5714,49,45,45,44,0,1,23,none,0,4,0,0,9812
forge,forge_mech,0x5EED2,4,mech_M,0.3704,0.5446,54,49,49,44,0,1,9,none,0,4,0,0,9272
forge,forge_mech,0x5EED2,5,mech_M,0.3542,0.4688,43,41,41,39,0,1,21,none,0,4,0,0,10802
forge,forge_mech,0x5EED2,6,mech_M,0.2798,0.5938,40,36,36,29,0,1,6,none,0,5,0,1,10221
forge,forge_mech,0x5EED2,7,mech_M,0.5764,0.4196,29,26,26,25,0,1,6,none,0,5,0,0,12072
forge,forge_mech,0x5EED2,8,mech_M,0.3611,0.5179,81,76,76,76,0,1,16,none,0,5,0,0,17546
forge,forge_mech,0x5EED2,9,mech_M,0.3611,0.5357,43,33,33,27,0,1,11,none,0,5,0,0,14364
forge,forge_mech,0x5EED2,10,mech_M,0.3212,0.5446,28,24,24,17,0,1,7,none,0,5,0,0,14227
