row,seed,arm,target,true_family,family_used,mechanism,solved,evals,test_acc,router_top1
target,0xF0235A11CE0FF1CE,hand,"RN5 run(>=2)%3==0",run,run,hand,1,31,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RK1 star(1)%3==0",rank,rank,hand,1,49,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RK2 star(5)%4==0",rank,rank,hand,1,49,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RK3 star(7)%3==1",rank,rank,hand,1,49,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RK4 star(2)%3==0",rank,rank,hand,1,49,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RK5 star(6)%4==1",rank,rank,hand,1,49,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"DS1 nd(evens)==2",distinct,distinct,hand,1,217,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"DS2 nd(odds)==3",distinct,distinct,hand,1,217,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"DS3 nd(mid4)==2",distinct,distinct,hand,1,217,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"DS4 nd(all8)==3",distinct,distinct,hand,1,217,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"DS5 nd(first6)>=4",distinct,distinct,hand,1,217,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"MIXMOD1 sum%3==c3%3",mixr,mixr,hand,1,37,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"MIXMOD2 sum%4==c2%4",mixr,mixr,hand,0,37,0.7663,base
frontier,0xF0235A11CE0FF1CE,hand,"RATIO1 c4*c1%3==0",ratio,ratio,hand,1,37,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"RUN1 maxRunGE3>=3",run,run,hand,0,31,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"ORDER2 star(0)%2",gf2,gf2,hand,1,45,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"ORDER2_MOD3 star(0)%3==0",rank,rank,hand,1,49,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"RANK2_MOD3 star(3)%3==0",rank,rank,hand,1,49,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"WALL_EASY nd(all8)>=4",distinct,distinct,hand,1,217,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"WALL_MED nd(lo4)==nd(hi4)",distinct,distinct,hand,1,217,1.0000,base
frontier,0xF0235A11CE0FF1CE,hand,"WALL_HARD nd(lo4)=2&hi4=2",distinct,distinct,hand,1,217,0.9789,base
arm_totals,0xF0235A11CE0FF1CE,hand,,,,,12738,0.0000,,
arm_summary,0xF0235A11CE0FF1CE,hand,B=10/11;C=11/11;D=11/11;extra=19/30;frontier=8/10;evals=12738,,,,,,,,
target,0xF0235A11CE0FF1CE,autonomous,"B1 random monomial deg2",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B2 random monomial deg3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B3 sum(g) % 7",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B4 sign%mod 11",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B5 Walsh χ{S=0x11}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B6 Walsh χ{S=0xA4}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B7 Walsh χ{S=0x0A}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B8 parity-of-count",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B9 oriented v1>v0",gf2,base,none,0,927,0.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"B10 parity AND sum%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"B11 inversion parity",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C01 XOR 0x0F",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C02 parity XOR 0x33",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C03 XOR 0x55",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C04 XOR 0xAA",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C05 XOR 0x3C",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C06 XOR 0x66",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C07 XOR 0x99",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C08 parity count",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"C09 inv parity",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C10 parity XOR 0x0F",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"C11 XOR 0x37",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,autonomous,"D01 sum%2",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D02 sum%3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D03 sum%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D04 sum%7",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D05 sum%11",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D06 sum%13",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D07 count3%3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D08 count3%4",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D09 count3%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D10 count3%6",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"D11 subset-parity{0-3}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,autonomous,"TE1 count(>=1)%4==0",thresh,thresh,smartgen,1,512,1.0000,thresh
target,0xF0235A11CE0FF1CE,autonomous,"TE2 count(>=2)%3==0",thresh,thresh,known,1,25,1.0000,thresh
target,0xF0235A11CE0FF1CE,autonomous,"TE3 count(>=5)%2==0",thresh,thresh,known,1,25,1.0000,thresh
target,0xF0235A11CE0FF1CE,autonomous,"TE4 count(>=1)%3==1",thresh,thresh,known,1,25,1.0000,thresh
target,0xF0235A11CE0FF1CE,autonomous,"TE5 count(>=4)%5==0",thresh,thresh,known,1,25,1.0000,thresh
target,0xF0235A11CE0FF1CE,autonomous,"ME1 sum%2==c1%2",mixr,base,none,0,517,0.0000,mixr
target,0xF0235A11CE0FF1CE,autonomous,"ME2 c2%3==inv%3",mixr,base,none,0,1179,0.0000,mixr
target,0xF0235A11CE0FF1CE,autonomous,"ME3 sum%4==inv%4",mixr,base,none,0,1179,0.0000,mixr
target,0xF0235A11CE0FF1CE,autonomous,"ME4 c1%3==c5%3",mixr,base,none,0,1147,0.0000,mixr
target,0xF0235A11CE0FF1CE,autonomous,"ME5 sum%5==c4%5",mixr,base,none,0,1179,0.0000,mixr
target,0xF0235A11CE0FF1CE,autonomous,"RE1 c2*c5%4==0",ratio,base,none,0,793,0.0000,ratio
target,0xF0235A11CE0FF1CE,autonomous,"RE2 c1*c4%5==0",ratio,thresh,known,1,25,0.9143,ratio
target,0xF0235A11CE0FF1CE,autonomous,"RE3 c3*c1%3==0",ratio,base,none,0,637,0.0000,ratio
target,0xF0235A11CE0FF1CE,autonomous,"RE4 c2*c4%3==0",ratio,base,none,0,601,0.0000,ratio
target,0xF0235A11CE0FF1CE,autonomous,"RE5 c1*c5%2==0",ratio,base,none,0,1147,0.0000,ratio
target,0xF0235A11CE0FF1CE,autonomous,"RN1 run(>=2)>=4",run,base,none,0,583,0.0000,run
target,0xF0235A11CE0FF1CE,autonomous,"RN2 run(>=4)>=2",run,base,none,0,547,0.0000,run
target,0xF0235A11CE0FF1CE,autonomous,"RN3 numLocalMax>=2",run,run,smartgen,1,543,1.0000,run
target,0xF0235A11CE0FF1CE,autonomous,"RN4 firstDescent<3",run,run,known,1,31,1.0000,run
target,0xF0235A11CE0FF1CE,autonomous,"RN5 run(>=2)%3==0",run,run,known,1,31,1.0000,run
target,0xF0235A11CE0FF1CE,autonomous,"RK1 star(1)%3==0",rank,base,none,0,835,0.0000,rank
target,0xF0235A11CE0FF1CE,autonomous,"RK2 star(5)%4==0",rank,rank,smartgen,1,592,1.0000,rank
target,0xF0235A11CE0FF1CE,autonomous,"RK3 star(7)%3==1",rank,rank,known,1,49,1.0000,rank
target,0xF0235A11CE0FF1CE,autonomous,"RK4 star(2)%3==0",rank,rank,known,1,49,1.0000,rank
target,0xF0235A11CE0FF1CE,autonomous,"RK5 star(6)%4==1",rank,rank,known,1,49,1.0000,rank
target,0xF0235A11CE0FF1CE,autonomous,"DS1 nd(evens)==2",distinct,distinct,smartgen,1,809,1.0000,distinct
target,0xF0235A11CE0FF1CE,autonomous,"DS2 nd(odds)==3",distinct,distinct,known,1,217,1.0000,distinct
target,0xF0235A11CE0FF1CE,autonomous,"DS3 nd(mid4)==2",distinct,distinct,known,1,217,1.0000,distinct
target,0xF0235A11CE0FF1CE,autonomous,"DS4 nd(all8)==3",distinct,distinct,known,1,217,1.0000,distinct
target,0xF0235A11CE0FF1CE,autonomous,"DS5 nd(first6)>=4",distinct,distinct,known,1,217,1.0000,distinct
frontier,0xF0235A11CE0FF1CE,autonomous,"MIXMOD1 sum%3==c3%3",mixr,mixr,smartgen,1,1080,1.0000,mixr
frontier,0xF0235A11CE0FF1CE,autonomous,"MIXMOD2 sum%4==c2%4",mixr,base,none,0,1179,0.0000,mixr
frontier,0xF0235A11CE0FF1CE,autonomous,"RATIO1 c4*c1%3==0",ratio,ratio,smartgen,1,907,1.0000,ratio
frontier,0xF0235A11CE0FF1CE,autonomous,"RUN1 maxRunGE3>=3",run,base,none,0,997,0.0000,run
frontier,0xF0235A11CE0FF1CE,autonomous,"ORDER2 star(0)%2",gf2,rank,known,1,363,1.0000,run
frontier,0xF0235A11CE0FF1CE,autonomous,"ORDER2_MOD3 star(0)%3==0",rank,rank,known,1,49,1.0000,rank
frontier,0xF0235A11CE0FF1CE,autonomous,"RANK2_MOD3 star(3)%3==0",rank,rank,known,1,49,1.0000,rank
frontier,0xF0235A11CE0FF1CE,autonomous,"WALL_EASY nd(all8)>=4",distinct,distinct,known,1,217,1.0000,distinct
frontier,0xF0235A11CE0FF1CE,autonomous,"WALL_MED nd(lo4)==nd(hi4)",distinct,distinct,known,1,217,1.0000,distinct
frontier,0xF0235A11CE0FF1CE,autonomous,"WALL_HARD nd(lo4)=2&hi4=2",distinct,base,known,1,442,0.9754,base
arm_totals,0xF0235A11CE0FF1CE,autonomous,,,,,30206,0.0000,,
arm_summary,0xF0235A11CE0FF1CE,autonomous,B=10/11;C=11/11;D=11/11;extra=18/30;frontier=8/10;evals=30206,,,,,,,,
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B1 random monomial deg2",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B2 random monomial deg3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B3 sum(g) % 7",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B4 sign%mod 11",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B5 Walsh χ{S=0x11}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B6 Walsh χ{S=0xA4}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B7 Walsh χ{S=0x0A}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B8 parity-of-count",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B9 oriented v1>v0",gf2,base,none,0,487,0.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B10 parity AND sum%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"B11 inversion parity",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C01 XOR 0x0F",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C02 parity XOR 0x33",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C03 XOR 0x55",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C04 XOR 0xAA",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C05 XOR 0x3C",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C06 XOR 0x66",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C07 XOR 0x99",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C08 parity count",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C09 inv parity",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C10 parity XOR 0x0F",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"C11 XOR 0x37",gf2,gf2,known,1,45,1.0000,gf2
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D01 sum%2",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D02 sum%3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D03 sum%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D04 sum%7",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D05 sum%11",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D06 sum%13",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D07 count3%3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D08 count3%4",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D09 count3%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D10 count3%6",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"D11 subset-parity{0-3}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"TE1 count(>=1)%4==0",thresh,base,none,0,487,0.0000,thresh
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"TE2 count(>=2)%3==0",thresh,base,none,0,487,0.0000,thresh
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"TE3 count(>=5)%2==0",thresh,base,none,0,487,0.0000,thresh
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"TE4 count(>=1)%3==1",thresh,base,none,0,487,0.0000,thresh
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"TE5 count(>=4)%5==0",thresh,base,none,0,487,0.0000,thresh
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"ME1 sum%2==c1%2",mixr,base,none,0,487,0.0000,mixr
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"ME2 c2%3==inv%3",mixr,base,none,0,487,0.0000,mixr
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"ME3 sum%4==inv%4",mixr,base,none,0,487,0.0000,mixr
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"ME4 c1%3==c5%3",mixr,base,none,0,487,0.0000,mixr
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"ME5 sum%5==c4%5",mixr,base,none,0,487,0.0000,mixr
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RE1 c2*c5%4==0",ratio,base,none,0,487,0.0000,ratio
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RE2 c1*c4%5==0",ratio,base,none,0,487,0.0000,ratio
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RE3 c3*c1%3==0",ratio,base,none,0,487,0.0000,ratio
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RE4 c2*c4%3==0",ratio,base,none,0,487,0.0000,ratio
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RE5 c1*c5%2==0",ratio,base,none,0,487,0.0000,ratio
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RN1 run(>=2)>=4",run,base,none,0,487,0.0000,run
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RN2 run(>=4)>=2",run,base,none,0,487,0.0000,run
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RN3 numLocalMax>=2",run,base,none,0,487,0.0000,run
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RN4 firstDescent<3",run,base,known,1,442,0.9023,run
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RN5 run(>=2)%3==0",run,base,none,0,487,0.0000,run
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RK1 star(1)%3==0",rank,base,none,0,487,0.0000,rank
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RK2 star(5)%4==0",rank,base,none,0,487,0.0000,rank
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RK3 star(7)%3==1",rank,base,none,0,487,0.0000,rank
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RK4 star(2)%3==0",rank,base,none,0,487,0.0000,rank
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"RK5 star(6)%4==1",rank,base,none,0,487,0.0000,rank
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"DS1 nd(evens)==2",distinct,base,none,0,487,0.0000,distinct
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"DS2 nd(odds)==3",distinct,base,none,0,487,0.0000,distinct
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"DS3 nd(mid4)==2",distinct,base,none,0,487,0.0000,distinct
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"DS4 nd(all8)==3",distinct,base,known,1,442,0.9400,distinct
target,0xF0235A11CE0FF1CE,auto_nosmartgen,"DS5 nd(first6)>=4",distinct,base,none,0,487,0.0000,distinct
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"MIXMOD1 sum%3==c3%3",mixr,base,none,0,487,0.0000,mixr
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"MIXMOD2 sum%4==c2%4",mixr,base,none,0,487,0.0000,mixr
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"RATIO1 c4*c1%3==0",ratio,base,none,0,487,0.0000,ratio
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"RUN1 maxRunGE3>=3",run,base,none,0,487,0.0000,run
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"ORDER2 star(0)%2",gf2,gf2,known,1,45,1.0000,run
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"ORDER2_MOD3 star(0)%3==0",rank,base,none,0,487,0.0000,rank
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"RANK2_MOD3 star(3)%3==0",rank,base,none,0,487,0.0000,rank
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"WALL_EASY nd(all8)>=4",distinct,base,known,1,442,0.9383,distinct
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"WALL_MED nd(lo4)==nd(hi4)",distinct,base,none,0,487,0.0000,distinct
frontier,0xF0235A11CE0FF1CE,auto_nosmartgen,"WALL_HARD nd(lo4)=2&hi4=2",distinct,base,known,1,442,0.9754,base
arm_totals,0xF0235A11CE0FF1CE,auto_nosmartgen,,,,,29122,0.0000,,
arm_summary,0xF0235A11CE0FF1CE,auto_nosmartgen,B=10/11;C=11/11;D=11/11;extra=2/30;frontier=3/10;evals=29122,,,,,,,,
target,0xF0235A11CE0FF1CE,auto_norouter,"B1 random monomial deg2",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B2 random monomial deg3",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B3 sum(g) % 7",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B4 sign%mod 11",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B5 Walsh χ{S=0x11}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B6 Walsh χ{S=0xA4}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B7 Walsh χ{S=0x0A}",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B8 parity-of-count",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B9 oriented v1>v0",gf2,base,none,0,927,0.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B10 parity AND sum%5",base,base,known,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"B11 inversion parity",gf2,gf2,known,1,487,1.0000,base
target,0xF0235A11CE0FF1CE,auto_norouter,"C01 XOR 0x0F",gf2,gf2,known,1,487,1.0000,base
