split,seed,arm,candidate_evaluations,grammar,mask,modulus,residue,validation_accuracy,detail
measurement,0xA300000000000001,proposed_directed,25,directed_partition,6,2,0,0.4627,RAW
measurement,0xA300000000000001,fixed_menu,26,threshold_count,2,3,,0.6260,RAW
measurement,0xA300000000000001,random_directed,26,directed_partition,6,3,0,0.5573,RAW
measurement,0xA300000000000001,proposed_directed,26,directed_partition,6,2,1,0.5373,RAW
measurement,0xA300000000000001,fixed_menu,27,threshold_count,3,3,,0.6267,RAW
measurement,0xA300000000000001,random_directed,27,directed_partition,110,3,1,0.5673,RAW
measurement,0xA300000000000001,proposed_directed,27,directed_partition,6,3,0,0.5573,RAW
measurement,0xA300000000000001,fixed_menu,28,threshold_count,4,3,,0.6373,RAW
measurement,0xA300000000000001,random_directed,28,directed_partition,19,2,1,0.5100,RAW
measurement,0xA300000000000001,proposed_directed,28,directed_partition,6,3,1,0.5727,RAW
measurement,0xA300000000000001,fixed_menu,29,threshold_count,5,3,,0.6013,RAW
measurement,0xA300000000000001,random_directed,29,directed_partition,158,2,1,0.5360,RAW
measurement,0xA300000000000001,proposed_directed,29,directed_partition,6,3,2,0.5787,RAW
measurement,0xA300000000000001,fixed_menu,30,threshold_count,1,2,,0.5707,RAW
measurement,0xA300000000000001,random_directed,30,directed_partition,53,2,1,0.5120,RAW
measurement,0xA300000000000001,proposed_directed,30,directed_partition,7,2,0,0.4893,RAW
measurement,0xA300000000000001,fixed_menu,31,threshold_count,2,2,,0.5100,RAW
measurement,0xA300000000000001,random_directed,31,directed_partition,106,2,1,0.5207,RAW
measurement,0xA300000000000001,proposed_directed,31,directed_partition,7,2,1,0.5107,RAW
measurement,0xA300000000000001,fixed_menu,32,threshold_count,3,2,,0.4673,RAW
measurement,0xA300000000000001,random_directed,32,directed_partition,60,3,0,0.5520,RAW
measurement,0xA300000000000001,proposed_directed,32,directed_partition,7,3,0,0.5587,RAW
measurement,0xA300000000000001,fixed_menu,33,threshold_count,4,2,,0.4480,RAW
measurement,0xA300000000000001,random_directed,33,directed_partition,60,2,1,0.5373,RAW
measurement,0xA300000000000001,proposed_directed,33,directed_partition,7,3,1,0.5687,RAW
measurement,0xA300000000000001,fixed_menu,34,threshold_count,5,2,,0.5433,RAW
measurement,0xA300000000000001,random_directed,34,directed_partition,172,2,0,0.4673,RAW
measurement,0xA300000000000001,proposed_directed,34,directed_partition,7,3,2,0.5813,RAW
measurement,0xA300000000000001,fixed_menu,35,threshold_count,1,3,,0.6240,RAW
measurement,0xA300000000000001,random_directed,35,directed_partition,51,2,0,0.4793,RAW
measurement,0xA300000000000001,proposed_directed,35,directed_partition,8,2,0,0.3700,RAW
measurement,0xA300000000000001,fixed_menu,36,threshold_count,2,3,,0.6260,RAW
measurement,0xA300000000000001,random_directed,36,directed_partition,73,3,2,0.5727,RAW
measurement,0xA300000000000001,proposed_directed,36,directed_partition,8,2,1,0.6300,RAW
measurement,0xA300000000000001,fixed_menu,37,threshold_count,3,3,,0.6267,RAW
measurement,0xA300000000000001,random_directed,37,directed_partition,165,3,0,0.5460,RAW
measurement,0xA300000000000001,proposed_directed,37,directed_partition,8,3,0,0.2433,RAW
measurement,0xA300000000000001,fixed_menu,38,threshold_count,4,3,,0.6373,RAW
measurement,0xA300000000000001,random_directed,38,directed_partition,116,3,0,0.5420,RAW
measurement,0xA300000000000001,proposed_directed,38,directed_partition,8,3,1,1.0000,RAW
measurement,0xA300000000000001,fixed_menu,39,threshold_count,5,3,,0.6013,RAW
measurement,0xA300000000000001,random_directed,39,directed_partition,4,3,0,0.5027,RAW
measurement,0xA300000000000001,proposed_directed,39,directed_partition,8,3,2,0.4653,RAW
measurement,0xA300000000000001,fixed_menu,40,threshold_count,1,2,,0.5707,RAW
measurement,0xA300000000000001,random_directed,40,directed_partition,246,3,2,0.5940,RAW
measurement,0xA300000000000001,proposed_directed,40,directed_partition,9,2,0,0.4373,RAW
measurement,0xA300000000000001,fixed_menu,41,threshold_count,2,2,,0.5100,RAW
measurement,0xA300000000000001,random_directed,41,directed_partition,50,3,2,0.5673,RAW
measurement,0xA300000000000001,proposed_directed,41,directed_partition,9,2,1,0.5627,RAW
measurement,0xA300000000000001,fixed_menu,42,threshold_count,3,2,,0.4673,RAW
measurement,0xA300000000000001,random_directed,42,directed_partition,33,2,1,0.5460,RAW
measurement,0xA300000000000001,proposed_directed,42,directed_partition,9,3,0,0.5767,RAW
measurement,0xA300000000000001,fixed_menu,43,threshold_count,4,2,,0.4480,RAW
measurement,0xA300000000000001,random_directed,43,directed_partition,55,2,1,0.4793,RAW
measurement,0xA300000000000001,proposed_directed,43,directed_partition,9,3,1,0.5107,RAW
measurement,0xA300000000000001,fixed_menu,44,threshold_count,5,2,,0.5433,RAW
measurement,0xA300000000000001,random_directed,44,directed_partition,164,3,1,0.5533,RAW
measurement,0xA300000000000001,proposed_directed,44,directed_partition,9,3,2,0.6213,RAW
measurement,0xA300000000000001,fixed_menu,45,threshold_count,1,3,,0.6240,RAW
measurement,0xA300000000000001,random_directed,45,directed_partition,19,3,2,0.5580,RAW
measurement,0xA300000000000001,proposed_directed,45,directed_partition,10,2,0,0.4340,RAW
measurement,0xA300000000000001,fixed_menu,46,threshold_count,2,3,,0.6260,RAW
measurement,0xA300000000000001,random_directed,46,directed_partition,177,2,0,0.4560,RAW
measurement,0xA300000000000001,proposed_directed,46,directed_partition,10,2,1,0.5660,RAW
measurement,0xA300000000000001,fixed_menu,47,threshold_count,3,3,,0.6267,RAW
measurement,0xA300000000000001,random_directed,47,directed_partition,15,2,0,0.4620,RAW
measurement,0xA300000000000001,proposed_directed,47,directed_partition,10,3,0,0.5873,RAW
measurement,0xA300000000000001,fixed_menu,48,threshold_count,4,3,,0.6373,RAW
measurement,0xA300000000000001,random_directed,48,directed_partition,57,2,1,0.5473,RAW
measurement,0xA300000000000001,proposed_directed,48,directed_partition,10,3,1,0.5100,RAW
measurement,0xA300000000000001,fixed_menu,49,threshold_count,5,3,,0.6013,RAW
measurement,0xA300000000000001,random_directed,49,directed_partition,233,3,1,0.5580,RAW
measurement,0xA300000000000001,proposed_directed,49,directed_partition,10,3,2,0.6113,RAW
measurement,0xA300000000000001,fixed_menu,50,threshold_count,1,2,,0.4293,RAW
measurement,0xA300000000000001,random_directed,50,directed_partition,209,2,0,0.4720,RAW
measurement,0xA300000000000001,proposed_directed,50,directed_partition,11,2,0,0.4680,RAW
measurement,0xA300000000000001,fixed_menu,51,threshold_count,2,2,,0.4900,RAW
measurement,0xA300000000000001,random_directed,51,directed_partition,65,3,1,0.5720,RAW
measurement,0xA300000000000001,proposed_directed,51,directed_partition,11,2,1,0.5320,RAW
measurement,0xA300000000000001,fixed_menu,52,threshold_count,3,2,,0.5327,RAW
measurement,0xA300000000000001,random_directed,52,directed_partition,228,3,0,0.5667,RAW
measurement,0xA300000000000001,proposed_directed,52,directed_partition,11,3,0,0.5593,RAW
measurement,0xA300000000000001,fixed_menu,53,threshold_count,4,2,,0.5520,RAW
measurement,0xA300000000000001,random_directed,53,directed_partition,235,2,1,0.5367,RAW
measurement,0xA300000000000001,proposed_directed,53,directed_partition,11,3,1,0.5800,RAW
measurement,0xA300000000000001,fixed_menu,54,threshold_count,5,2,,0.4567,RAW
measurement,0xA300000000000001,random_directed,54,directed_partition,157,3,2,0.5780,RAW
measurement,0xA300000000000001,proposed_directed,54,directed_partition,11,3,2,0.5693,RAW
measurement,0xA300000000000001,fixed_menu,55,threshold_count,1,3,,0.5300,RAW
measurement,0xA300000000000001,random_directed,55,directed_partition,158,2,1,0.5360,RAW
measurement,0xA300000000000001,proposed_directed,55,directed_partition,12,2,0,0.4373,RAW
measurement,0xA300000000000001,fixed_menu,56,threshold_count,2,3,,0.5547,RAW
measurement,0xA300000000000001,random_directed,56,directed_partition,234,2,1,0.5347,RAW
measurement,0xA300000000000001,proposed_directed,56,directed_partition,12,2,1,0.5627,RAW
measurement,0xA300000000000001,fixed_menu,57,threshold_count,3,3,,0.5700,RAW
measurement,0xA300000000000001,random_directed,57,directed_partition,92,2,0,0.4720,RAW
measurement,0xA300000000000001,proposed_directed,57,directed_partition,12,3,0,0.5893,RAW
measurement,0xA300000000000001,fixed_menu,58,threshold_count,4,3,,0.5653,RAW
measurement,0xA300000000000001,random_directed,58,directed_partition,116,2,0,0.4987,RAW
measurement,0xA300000000000001,proposed_directed,58,directed_partition,12,3,1,0.5080,RAW
measurement,0xA300000000000001,fixed_menu,59,threshold_count,5,3,,0.5440,RAW
measurement,0xA300000000000001,random_directed,59,directed_partition,146,3,1,0.5680,RAW
measurement,0xA300000000000001,proposed_directed,59,directed_partition,12,3,2,0.6113,RAW
measurement,0xA300000000000001,fixed_menu,60,threshold_count,1,2,,0.4293,RAW
measurement,0xA300000000000001,random_directed,60,directed_partition,33,3,2,0.5860,RAW
measurement,0xA300000000000001,proposed_directed,60,directed_partition,13,2,0,0.4667,RAW
measurement,0xA300000000000001,fixed_menu,61,threshold_count,2,2,,0.4900,RAW
measurement,0xA300000000000001,random_directed,61,directed_partition,21,3,2,0.5767,RAW
