phase,seed,target,family_or_arm,members_or_idx,detail,val_or_cov,tst,cert_or_solved,cov_after_or_probes,r2_or_certs
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",NEW mixr,396,"mixr(sum,inv,2x2,mod2)",1.0000,1.0000,1,1.0000,-0.0713
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",NEW ratio,381,"ratio(prod,hi4lo1,cos w=2.880)",0.5326,0.5086,0,0.4680,-0.0446
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",NEW run,330,"run(firstDescentPos,cos w=1.414)",0.5257,0.5063,0,0.4829,0.4694
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:count3,9,"spectral+modsynth(count)",0.5103,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:gridSum,41,"world_sum_mod",0.4943,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:signPattern,256,"walsh+world_sign_mod",0.5160,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:v1-v0,11,"clifford",0.5051,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:inversion,29,"cmp(all28)",1.0000,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:max_cell,6,"pipeline(max)",0.5171,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C09 inv parity",basis:sum01,11,"pipeline(sum01)",0.5034,,,,
base_rate,0xF0235A11CE0FF1CE,"C11 XOR 0x37",-,0,"-",0.5064,,,,
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST monomial(deg<=8),255,"phi(0x37)",0.5503,0.5446,0,0.5149,-0.0634
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST pair_relation,28,"pair(5,6)",0.5269,0.5326,0,0.5126,-0.0445
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST walsh(sign bits),255,"chi(0xDA)",0.5360,0.5046,0,0.5160,-0.1175
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST spectral cos(w*c3),800,"cos(w*c3),w=1.1428",0.5206,0.5069,0,0.5131,0.3025
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST clifford,64,"sin(0.442(v1-v0))",0.5217,0.5057,0,0.5097,0.9458
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST world_sum_mod,19,"sum%11==0",0.5137,0.5034,0,0.5074,-0.0855
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EXIST world_sign_mod,19,"sign%2==0",0.5109,0.5103,0,0.5177,0.7601
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",EARNED cmp(round c),1030,"cmp(all28,cos w=1.131)",0.5297,0.5143,0,0.5114,-0.0542
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",NEW thresh,264,"thresh(k=1,mod4)",0.5326,0.4943,0,0.5057,-0.0473
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",NEW mixr,396,"mixr(count3,inv,3x3,cos w=2.880)",0.5217,0.4891,0,0.5177,-0.0589
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",NEW ratio,381,"ratio(prod,hi4lo1,cos w=0.890)",0.5320,0.4977,0,0.5086,-0.0683
family_diag,0xF0235A11CE0FF1CE,"C11 XOR 0x37",NEW run,330,"run(maxRunGE2,cos w=2.409)",0.5257,0.5211,0,0.5029,-0.0206
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:count3,9,"spectral+modsynth(count)",0.4994,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:gridSum,41,"world_sum_mod",0.4914,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:signPattern,256,"walsh+world_sign_mod",0.5154,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:v1-v0,11,"clifford",0.4800,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:inversion,29,"cmp(all28)",0.5046,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:max_cell,6,"pipeline(max)",0.5091,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C11 XOR 0x37",basis:sum01,11,"pipeline(sum01)",0.4840,,,,
base_rate,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",-,0,"-",0.4236,,,,
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST monomial(deg<=8),255,"phi(0x01)",0.5977,0.5909,0,0.5823,1.0000
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST pair_relation,28,"pair(5,7)",0.5800,0.5657,0,0.5857,-0.1074
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST walsh(sign bits),255,"chi(0x01)",0.5869,0.5891,0,0.5834,0.7601
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST spectral cos(w*c3),800,"cos(w*c3),w=0.5733",0.5903,0.6051,0,0.5783,0.5820
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST clifford,64,"sin(0.049(v1-v0))",0.5983,0.5886,0,0.5909,0.9458
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST world_sum_mod,19,"sum%2==0",0.5771,0.5743,0,0.5794,-0.0408
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EXIST world_sign_mod,19,"sign%2==0",0.5869,0.5891,0,0.5834,0.7601
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",EARNED cmp(round c),1030,"cmp(all28,cos w=0.204)",0.6034,0.5863,0,0.5726,0.6403
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",NEW thresh,264,"thresh(k=5,mod4)",0.6160,0.5851,0,0.5789,0.1985
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",NEW mixr,396,"mixr(sum,count3,3x3,cos w=1.414)",0.5800,0.5840,0,0.5846,-0.0695
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",NEW ratio,381,"ratio(prod,hi4lo1,mod2)",0.6297,0.6154,0,0.6034,-0.0831
family_diag,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",NEW run,330,"run(firstDescentPos,mod6)",0.5920,0.5886,0,0.5817,0.3832
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:count3,9,"spectral+modsynth(count)",0.6103,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:gridSum,41,"world_sum_mod",0.5640,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:signPattern,256,"walsh+world_sign_mod",0.6377,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:v1-v0,11,"clifford",0.5691,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:inversion,29,"cmp(all28)",0.5949,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:max_cell,6,"pipeline(max)",0.5743,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"ORDER2 rank0 parity",basis:sum01,11,"pipeline(sum01)",0.5971,,,,
base_rate,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",-,0,"-",0.4233,,,,
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST monomial(deg<=8),255,"phi(0x20)",0.6783,0.6589,0,0.7926,1.0000
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST pair_relation,28,"pair(5,6)",0.6183,0.6131,0,0.8120,-0.0445
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST walsh(sign bits),255,"chi(0x20)",0.6783,0.6589,0,0.7949,0.7522
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST spectral cos(w*c3),800,"cos(w*c3),w=0.0039",0.8166,0.8097,0,0.8337,0.7300
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST clifford,64,"sin(0.049(v1-v0))",0.5914,0.5817,0,0.7960,0.9458
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST world_sum_mod,19,"sum%13==0",0.5966,0.5817,0,0.7960,-0.0383
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EXIST world_sign_mod,19,"sign%2==0",0.5914,0.5817,0,0.7949,0.7601
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",EARNED cmp(round c),1030,"cmp(cross16,cos w=0.456)",0.6200,0.6006,0,0.8057,-0.0310
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",NEW thresh,264,"thresh(k=4,ident)",0.7160,0.7149,0,0.8006,0.6646
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",NEW mixr,396,"mixr(count3,inv,3x3,ident)",0.5920,0.5834,0,0.8069,-0.0121
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",NEW ratio,381,"ratio(prod,hi3lo2,ident)",0.8011,0.8091,0,0.8269,0.8239
family_diag,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",NEW run,330,"run(maxRunGE3,ident)",1.0000,1.0000,0,1.0000,0.5063
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:count3,9,"spectral+modsynth(count)",0.8097,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:gridSum,41,"world_sum_mod",0.7789,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:signPattern,256,"walsh+world_sign_mod",1.0000,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:v1-v0,11,"clifford",0.5817,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:inversion,29,"cmp(all28)",0.5960,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:max_cell,6,"pipeline(max)",0.5817,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RUN1 run>=3 of >=3",basis:sum01,11,"pipeline(sum01)",0.6314,,,,
base_rate,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",-,0,"-",0.5076,,,,
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST monomial(deg<=8),255,"phi(0x63)",0.5589,0.5211,0,0.4720,-0.1492
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST pair_relation,28,"pair(1,7)",0.5389,0.5246,0,0.4851,-0.0930
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST walsh(sign bits),255,"chi(0x53)",0.5383,0.5131,0,0.4783,-0.1038
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST spectral cos(w*c3),800,"cos(w*c3),w=1.3980",0.5623,0.5509,0,0.4789,-0.0027
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST clifford,64,"sin(1.374(v1-v0))",0.5246,0.4971,0,0.4806,0.9458
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST world_sum_mod,19,"sum%13==0",0.5349,0.5360,0,0.4914,-0.0383
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EXIST world_sign_mod,19,"sign%4==0",0.5234,0.5171,0,0.4829,0.4450
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",EARNED cmp(round c),1030,"cmp(all28,cos w=0.785)",0.5326,0.5091,0,0.4880,-0.0306
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",NEW thresh,264,"thresh(k=4,mod3)",0.8200,0.8086,0,0.7343,-0.0738
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",NEW mixr,396,"mixr(count3,inv,3x3,cos w=0.681)",0.5349,0.5080,0,0.4823,-0.0636
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",NEW ratio,381,"ratio(prod,hi4lo1,mod3)",1.0000,1.0000,1,1.0000,-0.0917
family_diag,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",NEW run,330,"run(maxRunGE4,cos w=2.566)",0.5789,0.5983,0,0.5526,0.0063
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:count3,9,"spectral+modsynth(count)",0.5640,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:gridSum,41,"world_sum_mod",0.5686,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:signPattern,256,"walsh+world_sign_mod",0.5240,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:v1-v0,11,"clifford",0.5143,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:inversion,29,"cmp(all28)",0.5109,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:max_cell,6,"pipeline(max)",0.5337,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"RATIO1 prod%3==0",basis:sum01,11,"pipeline(sum01)",0.5143,,,,
base_rate,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",-,0,"-",0.3386,,,,
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST monomial(deg<=8),255,"phi(0x65)",0.6623,0.6549,0,0.5851,-0.0942
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST pair_relation,28,"pair(0,1)",0.6594,0.6566,0,0.5777,-0.0862
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST walsh(sign bits),255,"chi(0x01)",0.6594,0.6566,0,0.5777,0.7601
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST spectral cos(w*c3),800,"cos(w*c3),w=0.0039",0.6594,0.6566,0,0.5674,0.7300
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST clifford,64,"sin(0.049(v1-v0))",0.6594,0.6566,0,0.5737,0.9458
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST world_sum_mod,19,"sum%19==0",0.6663,0.6537,0,0.5989,-0.0485
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EXIST world_sign_mod,19,"sign%2==0",0.6594,0.6566,0,0.5777,0.7601
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",EARNED cmp(round c),1030,"cmp(all28,cos w=0.236)",0.6611,0.6560,0,0.5760,0.2518
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",NEW thresh,264,"thresh(k=5,ident)",0.6611,0.6554,0,0.5543,0.4170
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",NEW mixr,396,"mixr(sum,count3,3x3,mod4)",1.0000,1.0000,1,1.0000,-0.1099
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",NEW ratio,381,"ratio(diff,hi4lo1,cos w=3.665)",0.6611,0.6537,0,0.5611,0.3666
family_diag,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",NEW run,330,"run(maxRunGE4,ident)",0.6600,0.6571,0,0.5646,0.4213
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:count3,9,"spectral+modsynth(count)",0.6554,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:gridSum,41,"world_sum_mod",0.6714,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:signPattern,256,"walsh+world_sign_mod",0.6206,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:v1-v0,11,"clifford",0.6566,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:inversion,29,"cmp(all28)",0.6566,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:max_cell,6,"pipeline(max)",0.6554,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"MIXMOD1 sum3==count3(mod3)",basis:sum01,11,"pipeline(sum01)",0.6566,,,,
base_rate,0x00C1B10D20260706,"C01 XOR 0x0F",-,0,"-",0.5034,,,,
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST monomial(deg<=8),255,"phi(0x0F)",0.5543,0.5611,0,0.5057,-0.0703
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST pair_relation,28,"pair(2,3)",0.5297,0.4834,0,0.5069,-0.0493
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST walsh(sign bits),255,"chi(0xC5)",0.5280,0.4891,0,0.5086,-0.0534
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST spectral cos(w*c3),800,"cos(w*c3),w=0.5733",0.5183,0.5063,0,0.5131,0.6162
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST clifford,64,"sin(1.914(v1-v0))",0.5211,0.4851,0,0.5063,0.9404
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST world_sum_mod,19,"sum%9==0",0.5137,0.4954,0,0.5023,-0.0436
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EXIST world_sign_mod,19,"sign%8==0",0.5137,0.4863,0,0.5091,0.3559
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",EARNED cmp(round c),1030,"cmp(all28,cos w=1.649)",0.5331,0.5029,0,0.5023,-0.0908
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",NEW thresh,264,"thresh(k=4,mod5)",0.5223,0.4851,0,0.5023,0.0493
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",NEW mixr,396,"mixr(sum,inv,3x3,cos w=1.728)",0.5354,0.5069,0,0.5057,-0.0972
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",NEW ratio,381,"ratio(prod,hi4lo1,cos w=1.623)",0.5371,0.5177,0,0.5109,-0.0369
family_diag,0x00C1B10D20260706,"C01 XOR 0x0F",NEW run,330,"run(firstDescentPos,cos w=2.827)",0.5257,0.5126,0,0.5029,0.5708
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:count3,9,"spectral+modsynth(count)",0.4863,,,,
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:gridSum,41,"world_sum_mod",0.4943,,,,
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:signPattern,256,"walsh+world_sign_mod",0.5011,,,,
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:v1-v0,11,"clifford",0.4903,,,,
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:inversion,29,"cmp(all28)",0.5240,,,,
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:max_cell,6,"pipeline(max)",0.5006,,,,
basis_ceiling,0x00C1B10D20260706,"C01 XOR 0x0F",basis:sum01,11,"pipeline(sum01)",0.5200,,,,
base_rate,0x00C1B10D20260706,"C03 XOR 0x55",-,0,"-",0.5110,,,,
family_diag,0x00C1B10D20260706,"C03 XOR 0x55",EXIST monomial(deg<=8),255,"phi(0x55)",0.5623,0.5726,0,0.5034,-0.0487
family_diag,0x00C1B10D20260706,"C03 XOR 0x55",EXIST pair_relation,28,"pair(6,7)",0.5423,0.5046,0,0.5029,-0.0162
family_diag,0x00C1B10D20260706,"C03 XOR 0x55",EXIST walsh(sign bits),255,"chi(0xCC)",0.5366,0.5023,0,0.5114,-0.1153
