phase,label,seed,atom_idx,length,agree1,agree2,agree3,flag,extra
phase1,classify,0x9E3779B9800B7C03,91,12,0.334821,0.321429,0.366071,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_mum+a_sel
phase1,classify,0x9E3779B9800B7C03,92,12,0.361607,0.410714,0.459821,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_rotr+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,93,12,0.370536,0.415179,0.437500,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_sel
phase1,classify,0x9E3779B9800B7C03,94,12,0.495536,0.544643,0.593750,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_sel
phase1,classify,0x9E3779B9800B7C03,95,13,0.549107,0.549107,0.544643,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,96,13,0.571429,0.535714,0.500000,0,GENUINELY_NON_HUMAN;ops=a_and+a_sub+a_shl+a_popcnt+a_bswap+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,97,13,0.526786,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,98,13,0.526786,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,99,13,0.526786,0.526786,0.526786,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shr+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,100,13,0.669643,0.638393,0.593750,0,GENUINELY_NON_HUMAN;ops=a_and+a_mul+a_bswap+a_sel
phase1,classify,0x9E3779B9800B7C03,101,13,0.549107,0.549107,0.544643,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,102,13,0.290179,0.303571,0.325893,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shr+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,103,13,0.508929,0.540179,0.558036,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,104,13,0.334821,0.321429,0.366071,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_mum+a_sel
phase1,classify,0x9E3779B9800B7C03,105,13,0.361607,0.410714,0.459821,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_rotr+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,106,13,0.401786,0.415179,0.424107,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_eq+a_sel
