protocol,record_type,session_id,call_id,target_token,split,action,probe,probe_reply,proposed_tool,route_correct,charged_cost,budget_used,policy_inputs,private_formula,private_target_id,audit_label,test_label,duplicate_control,permutation_control,verdict
round_o_probe_catalog,action,O1-balance_then_agreement,4,O1-04,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,4,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,5,O1-21,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,5,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,6,O1-21,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,6,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,7,O1-02,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,7,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,8,O1-02,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,8,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,9,O1-15,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,9,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,10,O1-15,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,10,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,11,O1-08,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,11,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,12,O1-08,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,12,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,13,O1-23,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,13,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,14,O1-23,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,14,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,15,O1-06,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,15,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,16,O1-06,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,16,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,17,O1-12,query,route,balance,aggregate_low,bit_one,true,1,17,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,18,O1-12,query,probe,agreement,inconsistent,none,WITHHELD,1,18,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,19,O1-01,query,route,balance,aggregate_high,bit_zero,true,1,19,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,20,O1-01,query,probe,agreement,consistent,none,WITHHELD,1,20,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,21,O1-17,query,route,balance,aggregate_low,bit_one,true,1,21,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,22,O1-17,query,probe,agreement,inconsistent,none,WITHHELD,1,22,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,23,O1-10,query,route,balance,aggregate_high,bit_zero,true,1,23,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,24,O1-10,query,probe,agreement,consistent,none,WITHHELD,1,24,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,25,O1-05,query,route,balance,aggregate_low,bit_one,true,1,25,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,26,O1-05,query,probe,agreement,inconsistent,none,WITHHELD,1,26,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,27,O1-20,query,route,balance,aggregate_high,bit_zero,true,1,27,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,28,O1-20,query,probe,agreement,consistent,none,WITHHELD,1,28,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,29,O1-03,query,route,balance,aggregate_low,bit_one,true,1,29,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,30,O1-03,query,probe,agreement,inconsistent,none,WITHHELD,1,30,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,31,O1-22,query,route,balance,aggregate_high,bit_zero,true,1,31,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,32,O1-22,query,probe,agreement,consistent,none,WITHHELD,1,32,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,33,O1-09,train,route,balance,aggregate_low,bit_one,true,1,33,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,34,O1-09,train,probe,agreement,inconsistent,none,WITHHELD,1,34,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,35,O1-14,train,route,balance,aggregate_high,bit_zero,true,1,35,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,36,O1-14,train,probe,agreement,consistent,none,WITHHELD,1,36,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,37,O1-00,train,route,balance,aggregate_low,bit_one,true,1,37,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,38,O1-00,train,probe,agreement,inconsistent,none,WITHHELD,1,38,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,39,O1-18,train,route,balance,aggregate_high,bit_zero,true,1,39,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,40,O1-18,train,probe,agreement,consistent,none,WITHHELD,1,40,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,41,O1-07,train,route,balance,aggregate_low,bit_one,true,1,41,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
