N,method,evals,best_E,best_F
44,memetic_burst,145024039,206,4.699029
44,memetic_burst,145024128,806,1.200993
44,memetic_burst,145024216,438,2.210046
44,memetic_burst,145024304,394,2.456853
44,memetic_burst,145024392,302,3.205298
44,memetic_burst,145024480,298,3.248322
44,memetic_burst,145024568,286,3.384615
44,memetic_burst,145024656,258,3.751938
44,memetic_burst,145024744,238,4.067227
44,memetic_burst,145025008,218,4.440367
44,memetic_burst,145026592,214,4.523364
44,memetic_burst,145032051,538,1.799257
44,memetic_burst,145032139,374,2.588235
44,memetic_burst,145032227,274,3.532847
44,memetic_burst,145032403,266,3.639098
44,memetic_burst,145032491,262,3.694656
44,memetic_burst,145032667,246,3.934959
44,memetic_burst,145033019,222,4.360360
44,memetic_burst,145034075,218,4.440367
44,memetic_burst,145037333,214,4.523364
44,memetic_burst,145039885,198,4.888889
44,memetic_burst,145047897,206,4.699029
44,memetic_burst,145055820,122,7.934426
44,memetic_burst,145058461,122,7.934426
44,memetic_burst,145061102,122,7.934426
44,memetic_burst,145074307,386,2.507772
44,memetic_burst,145074395,342,2.830409
44,memetic_burst,145074483,314,3.082803
44,memetic_burst,145074571,286,3.384615
44,memetic_burst,145074659,258,3.751938
44,memetic_burst,145075627,254,3.811024
44,memetic_burst,145076948,122,7.934426
44,memetic_burst,145084871,122,7.934426
44,memetic_burst,145090153,122,7.934426
44,memetic_burst,145095435,122,7.934426
44,memetic_burst,145111281,122,7.934426
44,memetic_burst,145116563,122,7.934426
44,memetic_burst,145119204,122,7.934426
44,memetic_burst,145135050,122,7.934426
44,memetic_burst,145140332,122,7.934426
44,memetic_burst,145179947,122,7.934426
44,memetic_burst,145182588,122,7.934426
44,memetic_burst,145203716,122,7.934426
44,memetic_burst,145206357,122,7.934426
44,memetic_burst,145216921,122,7.934426
44,memetic_burst,145219562,426,2.272300
44,memetic_burst,145219650,378,2.560847
44,memetic_burst,145219738,334,2.898204
44,memetic_burst,145219914,294,3.292517
44,memetic_burst,145220002,258,3.751938
44,memetic_burst,145221938,254,3.811024
44,memetic_burst,145227485,1042,0.928983
44,memetic_burst,145227573,578,1.674740
44,memetic_burst,145227661,418,2.315789
44,memetic_burst,145227749,366,2.644809
44,memetic_burst,145227837,322,3.006211
44,memetic_burst,145227925,294,3.292517
44,memetic_burst,145228013,262,3.694656
44,memetic_burst,145228453,214,4.523364
44,memetic_burst,145261818,122,7.934426
44,memetic_burst,145285587,122,7.934426
44,memetic_burst,145319920,122,7.934426
44,memetic_burst,145335766,122,7.934426
44,memetic_burst,145364817,122,7.934426
44,memetic_burst,145375381,122,7.934426
44,memetic_burst,145393868,122,7.934426
44,memetic_burst,145399150,122,7.934426
44,memetic_burst,145404432,122,7.934426
44,memetic_burst,145430842,714,1.355742
44,memetic_burst,145430930,426,2.272300
44,memetic_burst,145431018,342,2.830409
44,memetic_burst,145431106,314,3.082803
44,memetic_burst,145431194,302,3.205298
44,memetic_burst,145431282,290,3.337931
44,memetic_burst,145431370,286,3.384615
44,memetic_burst,145431458,258,3.751938
44,memetic_burst,145431546,254,3.811024
44,memetic_burst,145432338,242,4.000000
44,memetic_burst,145438765,714,1.355742
44,memetic_burst,145438853,458,2.113537
44,memetic_burst,145438941,366,2.644809
44,memetic_burst,145439029,346,2.797688
44,memetic_burst,145439117,342,2.830409
44,memetic_burst,145439205,330,2.933333
44,memetic_burst,145439469,314,3.082803
44,memetic_burst,145439557,278,3.482014
44,memetic_burst,145439645,274,3.532847
44,memetic_burst,145439733,254,3.811024
44,memetic_burst,145439821,226,4.283186
44,memetic_burst,145439997,210,4.609524
44,memetic_burst,145440085,206,4.699029
44,memetic_burst,145441406,122,7.934426
44,memetic_burst,145451970,122,7.934426
44,memetic_burst,145454611,122,7.934426
44,memetic_burst,145457252,122,7.934426
44,memetic_burst,145467816,882,1.097506
44,memetic_burst,145467904,602,1.607973
44,memetic_burst,145467992,418,2.315789
44,memetic_burst,145468080,358,2.703911
44,memetic_burst,145468168,314,3.082803
44,memetic_burst,145468256,310,3.122581
44,memetic_burst,145468344,290,3.337931
44,memetic_burst,145468432,286,3.384615
44,memetic_burst,145468520,274,3.532847
44,memetic_burst,145468608,270,3.585185
44,memetic_burst,145468872,254,3.811024
44,memetic_burst,145470016,242,4.000000
44,memetic_burst,145470104,206,4.699029
44,memetic_burst,145488944,122,7.934426
44,memetic_burst,145494226,122,7.934426
44,memetic_burst,145512713,122,7.934426
44,memetic_burst,145533841,122,7.934426
44,memetic_burst,145549687,122,7.934426
44,memetic_burst,145552328,122,7.934426
44,memetic_burst,145570815,122,7.934426
44,memetic_burst,145576097,122,7.934426
44,memetic_burst,145586661,122,7.934426
44,memetic_burst,145591943,122,7.934426
44,memetic_burst,145610430,122,7.934426
44,memetic_burst,145631558,122,7.934426
44,memetic_burst,145644763,798,1.213033
44,memetic_burst,145644851,558,1.734767
44,memetic_burst,145644939,382,2.534031
44,memetic_burst,145645027,318,3.044025
44,memetic_burst,145645115,290,3.337931
44,memetic_burst,145645203,286,3.384615
44,memetic_burst,145645379,262,3.694656
44,memetic_burst,145646083,230,4.208696
44,memetic_burst,145652686,718,1.348189
44,memetic_burst,145652774,494,1.959514
44,memetic_burst,145652862,418,2.315789
44,memetic_burst,145652950,374,2.588235
44,memetic_burst,145653038,342,2.830409
44,memetic_burst,145653126,322,3.006211
44,memetic_burst,145653214,310,3.122581
44,memetic_burst,145653390,302,3.205298
44,memetic_burst,145653478,290,3.337931
44,memetic_burst,145653654,246,3.934959
44,memetic_burst,145653742,226,4.283186
44,memetic_burst,145665891,122,7.934426
44,memetic_burst,145676455,122,7.934426
44,memetic_burst,145697583,122,7.934426
44,memetic_burst,145700224,122,7.934426
44,memetic_burst,145705506,122,7.934426
44,memetic_burst,145718711,122,7.934426
44,memetic_burst,145729275,122,7.934426
44,memetic_burst,145753044,122,7.934426
44,memetic_burst,145824351,122,7.934426
44,memetic_burst,145829633,122,7.934426
44,memetic_burst,145850761,402,2.407960
44,memetic_burst,145850849,346,2.797688
44,memetic_burst,145850937,310,3.122581
44,memetic_burst,145851025,282,3.432624
44,memetic_burst,145851113,278,3.482014
44,memetic_burst,145851289,258,3.751938
44,memetic_burst,145851553,238,4.067227
44,memetic_burst,145851641,234,4.136752
44,memetic_burst,145851729,222,4.360360
44,memetic_burst,145852873,218,4.440367
44,memetic_burst,145852961,190,5.094737
44,memetic_burst,145869248,526,1.840304
44,memetic_burst,145869336,406,2.384236
44,memetic_burst,145869424,362,2.674033
44,memetic_burst,145869512,318,3.044025
44,memetic_burst,145869600,306,3.163399
44,memetic_burst,145869688,302,3.205298
44,memetic_burst,145869776,274,3.532847
44,memetic_burst,145869864,246,3.934959
44,memetic_burst,145870832,222,4.360360
44,memetic_burst,145874530,122,7.934426
44,memetic_burst,145877171,122,7.934426
44,memetic_burst,145887735,122,7.934426
44,memetic_burst,145890376,122,7.934426
44,memetic_burst,145893017,122,7.934426
44,memetic_burst,145903581,122,7.934426
44,memetic_burst,145906222,122,7.934426
44,memetic_burst,145908863,122,7.934426
44,memetic_burst,145919427,122,7.934426
44,memetic_burst,145937914,122,7.934426
44,memetic_burst,145953760,122,7.934426
44,memetic_burst,145956401,122,7.934426
44,memetic_burst,145993375,122,7.934426
44,memetic_burst,146009221,122,7.934426
44,memetic_burst,146017144,122,7.934426
44,memetic_burst,146019785,122,7.934426
44,memetic_burst,146025067,122,7.934426
44,memetic_burst,146038272,122,7.934426
44,memetic_burst,146046195,122,7.934426
44,memetic_burst,146048836,122,7.934426
44,memetic_burst,146077887,506,1.913043
44,memetic_burst,146077975,386,2.507772
44,memetic_burst,146078063,350,2.765714
44,memetic_burst,146078151,310,3.122581
44,memetic_burst,146078327,306,3.163399
44,memetic_burst,146078415,266,3.639098
44,memetic_burst,146078591,234,4.136752
44,memetic_burst,146080528,662,1.462236
44,memetic_burst,146080616,390,2.482051
44,memetic_burst,146080704,306,3.163399
44,memetic_burst,146080792,214,4.523364
44,memetic_burst,146091092,122,7.934426
44,memetic_burst,146101656,122,7.934426
44,memetic_burst,146104297,122,7.934426
44,memetic_burst,146120143,122,7.934426
44,memetic_burst,146122784,122,7.934426
44,memetic_burst,146130707,122,7.934426
44,memetic_burst,146141271,122,7.934426
44,memetic_burst,146146553,122,7.934426
44,memetic_burst,146170322,122,7.934426
44,memetic_burst,146172963,122,7.934426
44,memetic_burst,146178245,122,7.934426
44,memetic_burst,146180886,122,7.934426
44,memetic_burst,146183527,122,7.934426
44,memetic_burst,146186168,122,7.934426
44,memetic_burst,146194091,122,7.934426
44,memetic_burst,146207296,122,7.934426
44,memetic_burst,146236347,122,7.934426
44,memetic_burst,146238988,122,7.934426
44,memetic_burst,146246911,122,7.934426
44,memetic_burst,146260116,122,7.934426
44,memetic_burst,146262757,122,7.934426
44,memetic_burst,146278603,582,1.663230
44,memetic_burst,146278691,454,2.132159
44,memetic_burst,146278779,378,2.560847
44,memetic_burst,146278867,366,2.644809
44,memetic_burst,146278955,330,2.933333
44,memetic_burst,146279043,318,3.044025
44,memetic_burst,146279131,298,3.248322
44,memetic_burst,146279307,254,3.811024
44,memetic_burst,146279483,246,3.934959
44,memetic_burst,146279571,234,4.136752
44,memetic_burst,146281244,122,7.934426
44,memetic_burst,146283885,674,1.436202
44,memetic_burst,146283973,470,2.059574
44,memetic_burst,146284061,386,2.507772
44,memetic_burst,146284149,306,3.163399
44,memetic_burst,146284237,278,3.482014
44,memetic_burst,146284325,274,3.532847
44,memetic_burst,146284589,270,3.585185
44,memetic_burst,146284677,258,3.751938
44,memetic_burst,146284941,238,4.067227
44,memetic_burst,146286526,122,7.934426
44,memetic_burst,146305013,122,7.934426
44,memetic_burst,146331423,122,7.934426
44,memetic_burst,146339346,122,7.934426
44,memetic_burst,146344628,122,7.934426
44,memetic_burst,146376320,122,7.934426
44,memetic_burst,146384243,122,7.934426
44,memetic_burst,146392166,122,7.934426
44,memetic_burst,146408012,122,7.934426
44,memetic_burst,146413294,122,7.934426
44,memetic_burst,146418576,122,7.934426
44,memetic_burst,146421217,122,7.934426
44,memetic_burst,146429140,122,7.934426
44,memetic_burst,146434422,122,7.934426
44,memetic_burst,146447627,122,7.934426
44,memetic_burst,146466114,122,7.934426
44,memetic_burst,146495165,702,1.378917
44,memetic_burst,146495253,530,1.826415
44,memetic_burst,146495341,402,2.407960
44,memetic_burst,146495429,326,2.969325
44,memetic_burst,146495517,266,3.639098
44,memetic_burst,146495957,262,3.694656
44,memetic_burst,146496045,226,4.283186
44,memetic_burst,146496133,222,4.360360
44,memetic_burst,146503088,546,1.772894
44,memetic_burst,146503176,386,2.507772
44,memetic_burst,146503264,342,2.830409
44,memetic_burst,146503352,242,4.000000
44,memetic_burst,146503440,182,5.318681
44,memetic_burst,146508370,122,7.934426
44,memetic_burst,146516293,122,7.934426
44,memetic_burst,146587600,122,7.934426
44,memetic_burst,146590241,122,7.934426
44,memetic_burst,146619292,122,7.934426
44,memetic_burst,146669471,122,7.934426
44,memetic_burst,146680035,122,7.934426
44,memetic_burst,146693240,122,7.934426
44,memetic_burst,146695881,438,2.210046
44,memetic_burst,146695969,382,2.534031
44,memetic_burst,146696057,334,2.898204
44,memetic_burst,146696145,242,4.000000
44,memetic_burst,146696233,206,4.699029
44,memetic_burst,146703804,514,1.883268
44,memetic_burst,146703892,362,2.674033
44,memetic_burst,146703980,322,3.006211
44,memetic_burst,146704068,302,3.205298
44,memetic_burst,146704156,282,3.432624
44,memetic_burst,146704332,226,4.283186
44,memetic_burst,146706004,218,4.440367
44,memetic_burst,146706445,122,7.934426
44,memetic_burst,146711727,122,7.934426
44,memetic_burst,146722291,122,7.934426
44,memetic_burst,146730214,122,7.934426
44,memetic_burst,146732855,122,7.934426
44,memetic_burst,146767188,122,7.934426
44,memetic_burst,146772470,122,7.934426
44,memetic_burst,146788316,122,7.934426
44,memetic_burst,146793598,122,7.934426
44,memetic_burst,146809444,122,7.934426
44,memetic_burst,146812085,122,7.934426
44,memetic_burst,146833213,122,7.934426
44,memetic_burst,146859623,122,7.934426
44,memetic_burst,146862264,122,7.934426
44,memetic_burst,146864905,122,7.934426
44,memetic_burst,146878110,122,7.934426
44,memetic_burst,146893956,122,7.934426
44,memetic_burst,146899238,122,7.934426
44,memetic_burst,146923007,594,1.629630
44,memetic_burst,146923095,442,2.190045
44,memetic_burst,146923183,350,2.765714
44,memetic_burst,146923271,290,3.337931
44,memetic_burst,146923887,254,3.811024
44,memetic_burst,146925119,246,3.934959
44,memetic_burst,146925471,198,4.888889
44,memetic_burst,146925648,330,2.933333
44,memetic_burst,146925912,294,3.292517
44,memetic_burst,146926000,274,3.532847
44,memetic_burst,146926088,270,3.585185
44,memetic_burst,146926616,198,4.888889
44,memetic_burst,146927672,166,5.831325
44,memetic_burst,146949417,122,7.934426
44,memetic_burst,146957340,122,7.934426
44,memetic_burst,146975827,122,7.934426
44,memetic_burst,146991673,122,7.934426
44,memetic_burst,146999596,122,7.934426
44,memetic_burst,147012801,122,7.934426
44,memetic_burst,147026006,122,7.934426
44,memetic_burst,147047134,122,7.934426
44,memetic_burst,147049775,122,7.934426
44,memetic_burst,147092031,122,7.934426
44,memetic_burst,147099954,122,7.934426
44,memetic_burst,147102595,122,7.934426
44,memetic_burst,147121082,506,1.913043
44,memetic_burst,147121170,402,2.407960
44,memetic_burst,147121258,338,2.863905
44,memetic_burst,147121346,310,3.122581
44,memetic_burst,147121434,282,3.432624
44,memetic_burst,147121874,254,3.811024
44,memetic_burst,147122842,246,3.934959
44,memetic_burst,147123458,234,4.136752
44,memetic_burst,147136928,590,1.640678
44,memetic_burst,147137016,378,2.560847
44,memetic_burst,147137104,326,2.969325
44,memetic_burst,147137192,306,3.163399
44,memetic_burst,147137368,242,4.000000
44,memetic_burst,147137456,238,4.067227
44,memetic_burst,147138864,230,4.208696
44,memetic_burst,147150133,122,7.934426
44,memetic_burst,147155415,122,7.934426
44,memetic_burst,147158056,122,7.934426
44,memetic_burst,147168620,122,7.934426
44,memetic_burst,147179184,122,7.934426
44,memetic_burst,147189748,122,7.934426
44,memetic_burst,147197671,122,7.934426
44,memetic_burst,147210876,122,7.934426
44,memetic_burst,147239927,122,7.934426
44,memetic_burst,147274260,122,7.934426
44,memetic_burst,147279542,122,7.934426
44,memetic_burst,147282183,122,7.934426
44,memetic_burst,147287465,122,7.934426
44,memetic_burst,147295388,122,7.934426
44,memetic_burst,147303311,122,7.934426
44,memetic_burst,147321798,122,7.934426
44,memetic_burst,147327080,750,1.290667
44,memetic_burst,147327168,462,2.095238
44,memetic_burst,147327256,294,3.292517
44,memetic_burst,147327432,270,3.585185
44,memetic_burst,147327520,258,3.751938
44,memetic_burst,147327784,234,4.136752
44,memetic_burst,147327960,226,4.283186
44,memetic_burst,147328048,222,4.360360
44,memetic_burst,147328312,210,4.609524
44,memetic_burst,147329721,122,7.934426
44,memetic_burst,147332362,446,2.170404
44,memetic_burst,147332450,370,2.616216
44,memetic_burst,147332538,318,3.044025
44,memetic_burst,147332626,282,3.432624
44,memetic_burst,147333066,270,3.585185
44,memetic_burst,147334122,242,4.000000
44,memetic_burst,147334914,190,5.094737
44,memetic_burst,147335003,122,7.934426
44,memetic_burst,147356131,122,7.934426
44,memetic_burst,147358772,122,7.934426
44,memetic_burst,147369336,122,7.934426
44,memetic_burst,147371977,122,7.934426
44,memetic_burst,147387823,122,7.934426
44,memetic_burst,147393105,122,7.934426
44,memetic_burst,147406310,122,7.934426
44,memetic_burst,147408951,122,7.934426
44,memetic_burst,147414233,122,7.934426
44,memetic_burst,147419515,122,7.934426
44,memetic_burst,147438002,122,7.934426
44,memetic_burst,147451207,122,7.934426
44,memetic_burst,147488181,122,7.934426
44,memetic_burst,147490822,122,7.934426
44,memetic_burst,147493463,122,7.934426
44,memetic_burst,147496104,122,7.934426
44,memetic_burst,147506668,122,7.934426
44,memetic_burst,147519873,122,7.934426
44,memetic_burst,147522514,122,7.934426
44,memetic_burst,147525155,122,7.934426
44,memetic_burst,147530437,122,7.934426
44,memetic_burst,147533078,122,7.934426
44,memetic_burst,147543642,642,1.507788
44,memetic_burst,147543730,450,2.151111
44,memetic_burst,147543818,382,2.534031
44,memetic_burst,147543906,346,2.797688
44,memetic_burst,147543994,326,2.969325
44,memetic_burst,147544170,310,3.122581
44,memetic_burst,147544258,290,3.337931
44,memetic_burst,147544346,262,3.694656
44,memetic_burst,147544434,242,4.000000
44,memetic_burst,147545930,222,4.360360
44,memetic_burst,147551565,630,1.536508
44,memetic_burst,147551653,430,2.251163
44,memetic_burst,147551741,394,2.456853
44,memetic_burst,147551829,366,2.644809
44,memetic_burst,147551917,330,2.933333
44,memetic_burst,147552005,238,4.067227
44,memetic_burst,147552269,218,4.440367
44,memetic_burst,147599103,122,7.934426
44,memetic_burst,147601744,122,7.934426
44,memetic_burst,147612308,122,7.934426
44,memetic_burst,147617590,122,7.934426
44,memetic_burst,147620231,122,7.934426
44,memetic_burst,147680974,122,7.934426
44,memetic_burst,147686256,122,7.934426
44,memetic_burst,147699461,122,7.934426
44,memetic_burst,147717948,122,7.934426
44,memetic_burst,147731153,122,7.934426
44,memetic_burst,147733794,122,7.934426
44,memetic_burst,147741717,122,7.934426
44,memetic_burst,147754922,962,1.006237
44,memetic_burst,147755010,658,1.471125
44,memetic_burst,147755098,454,2.132159
44,memetic_burst,147755186,338,2.863905
44,memetic_burst,147755274,302,3.205298
44,memetic_burst,147755362,290,3.337931
44,memetic_burst,147755450,270,3.585185
44,memetic_burst,147757298,222,4.360360
44,memetic_burst,147765486,514,1.883268
44,memetic_burst,147765574,426,2.272300
44,memetic_burst,147765662,318,3.044025
44,memetic_burst,147765750,274,3.532847
44,memetic_burst,147765926,270,3.585185
44,memetic_burst,147766014,250,3.872000
44,memetic_burst,147766454,246,3.934959
44,memetic_burst,147766542,210,4.609524
44,memetic_burst,147778691,122,7.934426
44,memetic_burst,147786614,122,7.934426
44,memetic_burst,147794537,122,7.934426
44,memetic_burst,147810383,122,7.934426
44,memetic_burst,147813024,122,7.934426
44,memetic_burst,147818306,122,7.934426
44,memetic_burst,147823588,122,7.934426
44,memetic_burst,147834152,122,7.934426
44,memetic_burst,147836793,122,7.934426
44,memetic_burst,147847357,122,7.934426
44,memetic_burst,147863203,122,7.934426
44,memetic_burst,147871126,122,7.934426
44,memetic_burst,147945074,122,7.934426
44,memetic_burst,147966202,454,2.132159
44,memetic_burst,147966290,398,2.432161
44,memetic_burst,147966378,354,2.734463
44,memetic_burst,147966466,318,3.044025
44,memetic_burst,147966554,306,3.163399
44,memetic_burst,147966730,298,3.248322
44,memetic_burst,147966994,262,3.694656
44,memetic_burst,147967082,254,3.811024
44,memetic_burst,147968314,230,4.208696
44,memetic_burst,147974125,766,1.263708
44,memetic_burst,147974213,518,1.868726
44,memetic_burst,147974301,362,2.674033
44,memetic_burst,147974389,310,3.122581
44,memetic_burst,147974477,266,3.639098
44,memetic_burst,147974917,218,4.440367
44,memetic_burst,147989971,122,7.934426
44,memetic_burst,148003176,122,7.934426
44,memetic_burst,148013740,122,7.934426
44,memetic_burst,148026945,122,7.934426
44,memetic_burst,148029586,122,7.934426
44,memetic_burst,148032227,122,7.934426
44,memetic_burst,148040150,122,7.934426
44,memetic_burst,148045432,122,7.934426
44,memetic_burst,148050714,122,7.934426
44,memetic_burst,148066560,122,7.934426
44,memetic_burst,148092970,122,7.934426
44,memetic_burst,148106175,122,7.934426
44,memetic_burst,148108816,122,7.934426
44,memetic_burst,148111457,122,7.934426
44,memetic_burst,148119380,122,7.934426
44,memetic_burst,148148431,122,7.934426
44,memetic_burst,148172200,630,1.536508
44,memetic_burst,148172288,474,2.042194
44,memetic_burst,148172376,374,2.588235
44,memetic_burst,148172464,322,3.006211
44,memetic_burst,148172552,278,3.482014
44,memetic_burst,148172904,270,3.585185
44,memetic_burst,148173520,258,3.751938
44,memetic_burst,148173872,254,3.811024
44,memetic_burst,148174312,226,4.283186
44,memetic_burst,148190687,834,1.160671
44,memetic_burst,148190775,602,1.607973
44,memetic_burst,148190863,414,2.338164
44,memetic_burst,148190951,342,2.830409
44,memetic_burst,148191039,306,3.163399
44,memetic_burst,148191303,278,3.482014
44,memetic_burst,148191391,234,4.136752
44,memetic_burst,148192007,222,4.360360
44,memetic_burst,148198610,122,7.934426
44,memetic_burst,148203892,222,4.360360
44,memetic_burst,148211815,122,7.934426
44,memetic_burst,148217097,122,7.934426
44,memetic_burst,148227661,122,7.934426
44,memetic_burst,148235584,122,7.934426
44,memetic_burst,148251430,122,7.934426
44,memetic_burst,148254071,122,7.934426
44,memetic_burst,148283122,122,7.934426
44,memetic_burst,148285763,122,7.934426
44,memetic_burst,148291045,122,7.934426
44,memetic_burst,148293686,122,7.934426
44,memetic_burst,148312173,122,7.934426
44,memetic_burst,148330660,122,7.934426
44,memetic_burst,148338583,122,7.934426
44,memetic_burst,148359711,122,7.934426
44,memetic_burst,148367634,122,7.934426
44,memetic_burst,148375557,122,7.934426
44,memetic_burst,148386121,510,1.898039
44,memetic_burst,148386209,398,2.432161
44,memetic_burst,148386297,346,2.797688
44,memetic_burst,148386385,342,2.830409
44,memetic_burst,148386649,322,3.006211
44,memetic_burst,148386737,290,3.337931
44,memetic_burst,148386913,286,3.384615
44,memetic_burst,148387001,242,4.000000
44,memetic_burst,148387089,230,4.208696
44,memetic_burst,148387177,218,4.440367
44,memetic_burst,148388762,626,1.546326
44,memetic_burst,148388850,402,2.407960
44,memetic_burst,148388938,326,2.969325
44,memetic_burst,148389202,306,3.163399
44,memetic_burst,148389378,290,3.337931
44,memetic_burst,148389466,274,3.532847
44,memetic_burst,148389554,254,3.811024
44,memetic_burst,148389642,226,4.283186
44,memetic_burst,148389730,202,4.792079
44,memetic_burst,148404608,122,7.934426
44,memetic_burst,148428377,122,7.934426
44,memetic_burst,148438941,122,7.934426
44,memetic_burst,148481197,122,7.934426
44,memetic_burst,148483838,122,7.934426
44,memetic_burst,148489120,122,7.934426
44,memetic_burst,148499684,122,7.934426
44,memetic_burst,148518171,122,7.934426
44,memetic_burst,148541940,122,7.934426
44,memetic_burst,148549863,122,7.934426
44,memetic_burst,148552504,122,7.934426
44,memetic_burst,148555145,122,7.934426
44,memetic_burst,148568350,122,7.934426
44,memetic_burst,148602683,490,1.975510
44,memetic_burst,148602771,338,2.863905
44,memetic_burst,148602859,318,3.044025
44,memetic_burst,148603035,254,3.811024
44,memetic_burst,148603211,238,4.067227
44,memetic_burst,148605147,182,5.318681
44,memetic_burst,148613247,458,2.113537
44,memetic_burst,148613335,306,3.163399
44,memetic_burst,148613423,270,3.585185
44,memetic_burst,148613511,242,4.000000
44,memetic_burst,148629093,122,7.934426
44,memetic_burst,148634375,122,7.934426
44,memetic_burst,148637016,122,7.934426
44,memetic_burst,148639657,422,2.293839
44,memetic_burst,148639745,370,2.616216
44,memetic_burst,148639833,310,3.122581
44,memetic_burst,148639921,290,3.337931
44,memetic_burst,148640009,286,3.384615
44,memetic_burst,148640097,274,3.532847
44,memetic_burst,148640361,262,3.694656
44,memetic_burst,148640449,250,3.872000
44,memetic_burst,148641505,222,4.360360
44,memetic_burst,148641593,218,4.440367
44,memetic_burst,148641681,198,4.888889
44,memetic_burst,148647580,122,7.934426
44,memetic_burst,148650221,122,7.934426
44,memetic_burst,148660785,122,7.934426
44,memetic_burst,148673990,122,7.934426
44,memetic_burst,148687195,122,7.934426
44,memetic_burst,148703041,122,7.934426
44,memetic_burst,148740015,122,7.934426
44,memetic_burst,148742656,122,7.934426
44,memetic_burst,148763784,122,7.934426
44,memetic_burst,148784912,122,7.934426
44,memetic_burst,148790194,122,7.934426
44,memetic_burst,148808681,122,7.934426
44,memetic_burst,148816604,578,1.674740
44,memetic_burst,148816692,362,2.674033
44,memetic_burst,148816780,310,3.122581
44,memetic_burst,148816868,302,3.205298
44,memetic_burst,148816956,290,3.337931
44,memetic_burst,148817044,262,3.694656
44,memetic_burst,148817132,226,4.283186
44,memetic_burst,148818276,214,4.523364
44,memetic_burst,148819245,534,1.812734
44,memetic_burst,148819333,370,2.616216
44,memetic_burst,148819421,350,2.765714
44,memetic_burst,148819509,342,2.830409
44,memetic_burst,148819597,322,3.006211
44,memetic_burst,148819685,294,3.292517
44,memetic_burst,148819773,282,3.432624
44,memetic_burst,148819861,238,4.067227
44,memetic_burst,148820565,230,4.208696
44,memetic_burst,148832450,122,7.934426
44,memetic_burst,148845655,122,7.934426
44,memetic_burst,148848296,122,7.934426
44,memetic_burst,148858860,122,7.934426
