domain,iter,phase,hits,velocity,stagnation,should_reset
sort_net,1300,0.1300,181.00,0.010000,90,false
sort_net,1400,0.1400,181.00,0.010000,43,false
sort_net,1500,0.1500,181.00,0.010000,9,false
sort_net,1600,0.1600,181.00,0.010000,30,false
sort_net,1700,0.1700,181.00,0.010000,41,false
sort_net,1800,0.1800,181.00,0.010000,7,false
sort_net,1900,0.1900,181.00,0.010000,1,false
sort_net,2000,0.2000,181.00,0.010000,101,false
sort_net,2100,0.2100,181.00,0.010000,38,false
sort_net,2200,0.2200,181.00,0.010000,16,false
sort_net,2300,0.2300,181.00,0.010000,6,false
sort_net,2400,0.2400,181.00,0.010000,106,false
sort_net,2500,0.2500,181.00,0.010000,5,false
sort_net,2600,0.2600,181.00,0.010000,49,false
sort_net,2700,0.2700,181.00,0.010000,23,false
sort_net,2800,0.2800,181.00,0.010000,18,false
sort_net,2900,0.2900,181.00,0.010000,28,false
sort_net,3000,0.3000,181.50,0.010000,14,false
sort_net,3100,0.3100,181.50,0.010000,39,false
sort_net,3200,0.3200,181.50,0.010000,139,false
sort_net,3300,0.3300,181.50,0.010000,30,false
sort_net,3400,0.3400,181.50,0.010000,41,false
sort_net,3500,0.3500,181.50,0.010000,60,false
sort_net,3600,0.3600,181.50,0.010000,4,false
sort_net,3700,0.3700,181.50,0.010000,34,false
sort_net,3800,0.3800,181.50,0.010000,25,false
sort_net,3900,0.3900,181.50,0.010000,25,false
sort_net,4000,0.4000,181.50,0.010000,125,false
sort_net,4100,0.4100,181.50,0.010000,20,false
sort_net,4200,0.4200,181.50,0.010000,3,false
sort_net,4300,0.4300,181.50,0.010000,74,false
sort_net,4400,0.4400,181.50,0.010000,35,false
sort_net,4500,0.4500,181.50,0.010000,12,false
sort_net,4600,0.4600,181.50,0.010000,13,false
sort_net,4700,0.4700,181.50,0.010000,66,false
sort_net,4800,0.4800,181.50,0.010000,31,false
sort_net,4900,0.4900,181.50,0.010000,20,false
sort_net,5000,0.5000,181.50,0.010000,13,false
sort_net,5100,0.5100,181.50,0.010000,8,false
sort_net,5200,0.5200,181.50,0.010000,5,false
sort_net,5300,0.5300,181.50,0.010000,18,false
sort_net,5400,0.5400,181.50,0.010000,53,false
sort_net,5500,0.5500,181.50,0.010000,3,false
sort_net,5600,0.5600,181.50,0.010000,86,false
sort_net,5700,0.5700,181.50,0.010000,93,false
sort_net,5800,0.5800,181.50,0.010000,8,false
sort_net,5900,0.5900,181.50,0.010000,108,false
sort_net,6000,0.6000,181.50,0.010000,25,false
sort_net,6100,0.6100,181.50,0.010000,32,false
sort_net,6200,0.6200,181.50,0.010000,5,false
sort_net,6300,0.6300,181.50,0.010000,29,false
sort_net,6400,0.6400,181.50,0.010000,16,false
sort_net,6500,0.6500,181.50,0.010000,39,false
sort_net,6600,0.6600,181.50,0.010000,3,false
sort_net,6700,0.6700,181.50,0.010000,11,false
sort_net,6800,0.6800,181.50,0.010000,39,false
sort_net,6900,0.6900,181.50,0.010000,26,false
sort_net,7000,0.7000,181.50,0.010000,11,false
sort_net,7100,0.7100,181.50,0.010000,4,false
sort_net,7200,0.7200,181.50,0.010000,87,false
sort_net,7300,0.7300,181.50,0.010000,14,false
sort_net,7400,0.7400,181.50,0.010000,51,false
sort_net,7500,0.7500,181.50,0.010000,21,false
sort_net,7600,0.7600,181.50,0.010000,50,false
sort_net,7700,0.7700,181.50,0.010000,22,false
sort_net,7800,0.7800,181.50,0.010000,0,false
sort_net,7900,0.7900,181.50,0.010000,8,false
sort_net,8000,0.8000,181.50,0.010000,32,false
sort_net,8100,0.8100,182.50,0.010000,12,false
sort_net,8200,0.8200,182.50,0.010000,112,false
sort_net,8300,0.8300,182.50,0.010000,5,false
sort_net,8400,0.8400,182.50,0.010000,58,false
sort_net,8500,0.8500,182.50,0.010000,1,false
sort_net,8600,0.8600,182.50,0.010000,36,false
sort_net,8700,0.8700,182.50,0.010000,6,false
sort_net,8800,0.8800,182.50,0.010000,27,false
sort_net,8900,0.8900,182.50,0.010000,4,false
sort_net,9000,0.9000,182.50,0.010000,69,false
sort_net,9100,0.9100,182.50,0.010000,11,false
sort_net,9200,0.9200,182.50,0.010000,15,false
sort_net,9300,0.9300,182.50,0.010000,66,false
sort_net,9400,0.9400,182.50,0.010000,0,false
sort_net,9500,0.9500,182.50,0.010000,10,false
sort_net,9600,0.9600,182.50,0.010000,1,false
sort_net,9700,0.9700,182.50,0.010000,29,false
sort_net,9800,0.9800,182.50,0.010000,27,false
sort_net,9900,0.9900,182.50,0.010000,53,false
u64_mixer,0,0.0000,-1000.00,0.010000,1,false
u64_mixer,100,0.0100,-85.60,0.010000,2,false
u64_mixer,200,0.0200,41.50,0.010000,5,false
u64_mixer,300,0.0300,47.53,0.010000,3,false
u64_mixer,400,0.0400,47.53,0.010000,8,false
u64_mixer,500,0.0500,47.53,0.010000,2,false
u64_mixer,600,0.0600,47.58,0.010000,0,false
u64_mixer,700,0.0700,47.58,0.010000,7,false
u64_mixer,800,0.0800,47.58,0.010000,1,false
u64_mixer,900,0.0900,47.58,0.010000,1,false
u64_mixer,1000,0.1000,47.58,0.010000,2,false
u64_mixer,1100,0.1100,47.58,0.010000,5,false
u64_mixer,1200,0.1200,47.58,0.010000,0,false
u64_mixer,1300,0.1300,47.58,0.010000,5,false
u64_mixer,1400,0.1400,47.58,0.010000,3,false
u64_mixer,1500,0.1500,47.58,0.010000,1,false
u64_mixer,1600,0.1600,47.58,0.010000,0,false
u64_mixer,1700,0.1700,47.58,0.010000,1,false
u64_mixer,1800,0.1800,47.58,0.010000,4,false
u64_mixer,1900,0.1900,47.58,0.010000,1,false
u64_mixer,2000,0.2000,47.58,0.010000,1,false
u64_mixer,2100,0.2100,47.58,0.010000,2,false
u64_mixer,2200,0.2200,47.58,0.010000,1,false
u64_mixer,2300,0.2300,47.58,0.010000,0,false
u64_mixer,2400,0.2400,47.58,0.010000,0,false
u64_mixer,2500,0.2500,47.58,0.010000,1,false
u64_mixer,2600,0.2600,47.58,0.010000,2,false
u64_mixer,2700,0.2700,47.58,0.010000,0,false
u64_mixer,2800,0.2800,47.58,0.010000,0,false
u64_mixer,2900,0.2900,47.58,0.010000,1,false
u64_mixer,3000,0.3000,47.58,0.010000,0,false
u64_mixer,3100,0.3100,47.58,0.010000,1,false
u64_mixer,3200,0.3200,47.58,0.010000,1,false
u64_mixer,3300,0.3300,47.58,0.010000,2,false
u64_mixer,3400,0.3400,47.58,0.010000,7,false
u64_mixer,3500,0.3500,47.58,0.010000,2,false
u64_mixer,3600,0.3600,47.58,0.010000,0,false
u64_mixer,3700,0.3700,47.58,0.010000,0,false
u64_mixer,3800,0.3800,47.60,0.010000,0,false
u64_mixer,3900,0.3900,47.60,0.010000,4,false
u64_mixer,4000,0.4000,47.60,0.010000,1,false
u64_mixer,4100,0.4100,47.60,0.010000,0,false
u64_mixer,4200,0.4200,47.60,0.010000,1,false
u64_mixer,4300,0.4300,47.75,0.010000,0,false
u64_mixer,4400,0.4400,47.75,0.010000,6,false
u64_mixer,4500,0.4500,47.75,0.010000,6,false
u64_mixer,4600,0.4600,47.75,0.010000,7,false
u64_mixer,4700,0.4700,47.75,0.010000,5,false
u64_mixer,4800,0.4800,47.75,0.010000,0,false
u64_mixer,4900,0.4900,47.75,0.010000,5,false
u64_mixer,5000,0.5000,47.75,0.010000,1,false
u64_mixer,5100,0.5100,47.75,0.010000,1,false
u64_mixer,5200,0.5200,47.75,0.010000,2,false
u64_mixer,5300,0.5300,47.75,0.010000,1,false
u64_mixer,5400,0.5400,47.75,0.010000,1,false
u64_mixer,5500,0.5500,47.75,0.010000,6,false
u64_mixer,5600,0.5600,47.75,0.010000,1,false
u64_mixer,5700,0.5700,47.75,0.010000,1,false
u64_mixer,5800,0.5800,47.75,0.010000,3,false
u64_mixer,5900,0.5900,47.75,0.010000,3,false
u64_mixer,6000,0.6000,47.75,0.010000,0,false
u64_mixer,6100,0.6100,47.75,0.010000,1,false
u64_mixer,6200,0.6200,47.75,0.010000,0,false
u64_mixer,6300,0.6300,47.75,0.010000,12,false
u64_mixer,6400,0.6400,47.75,0.010000,2,false
u64_mixer,6500,0.6500,47.75,0.010000,8,false
u64_mixer,6600,0.6600,47.75,0.010000,1,false
u64_mixer,6700,0.6700,47.75,0.010000,9,false
u64_mixer,6800,0.6800,47.75,0.010000,10,false
u64_mixer,6900,0.6900,47.79,0.010000,1,false
u64_mixer,7000,0.7000,47.79,0.010000,5,false
u64_mixer,7100,0.7100,47.79,0.010000,4,false
u64_mixer,7200,0.7200,47.79,0.010000,4,false
u64_mixer,7300,0.7300,47.79,0.010000,0,false
u64_mixer,7400,0.7400,47.79,0.010000,2,false
u64_mixer,7500,0.7500,47.79,0.010000,9,false
u64_mixer,7600,0.7600,47.79,0.010000,1,false
u64_mixer,7700,0.7700,47.79,0.010000,3,false
u64_mixer,7800,0.7800,47.79,0.010000,2,false
u64_mixer,7900,0.7900,47.79,0.010000,6,false
u64_mixer,8000,0.8000,47.79,0.010000,1,false
u64_mixer,8100,0.8100,47.79,0.010000,4,false
u64_mixer,8200,0.8200,47.79,0.010000,3,false
u64_mixer,8300,0.8300,47.79,0.010000,10,false
u64_mixer,8400,0.8400,47.79,0.010000,2,false
u64_mixer,8500,0.8500,47.79,0.010000,6,false
u64_mixer,8600,0.8600,47.79,0.010000,2,false
u64_mixer,8700,0.8700,47.79,0.010000,3,false
u64_mixer,8800,0.8800,47.79,0.010000,2,false
u64_mixer,8900,0.8900,47.79,0.010000,7,false
u64_mixer,9000,0.9000,47.79,0.010000,0,false
u64_mixer,9100,0.9100,47.79,0.010000,14,false
u64_mixer,9200,0.9200,47.79,0.010000,0,false
u64_mixer,9300,0.9300,47.79,0.010000,3,false
u64_mixer,9400,0.9400,47.79,0.010000,0,false
u64_mixer,9500,0.9500,47.79,0.010000,0,false
u64_mixer,9600,0.9600,47.79,0.010000,12,false
u64_mixer,9700,0.9700,47.79,0.010000,1,false
u64_mixer,9800,0.9800,47.79,0.010000,10,false
u64_mixer,9900,0.9900,47.79,0.010000,0,false
