row,policy,opaque_id,phase,tool_hash,program_hash,payload_hash,schema_hash,builds,actions,probes,status,detail
budget,fixed_ax_complete,848aa5bfd2ce8b86,holdout,-,-,8fd1b9c09ccb14b8,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,fixed_ax_complete,68dd9a739da2fe,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,b33c1e53d983dc1,d53bd3a187721a8,1,1,1,rejected,typed_canonical
receipt,fixed_ax_complete,68dd9a739da2fe,holdout,4e9640b247c85a05,58967315222620f1,b33c1e53d983dc1,10aaebf672bc000a,2,2,2,rejected,typed_canonical
receipt,fixed_ax_complete,68dd9a739da2fe,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,b33c1e53d983dc1,cd0b57c3d461cc32,3,3,3,rejected,typed_canonical
receipt,fixed_ax_complete,68dd9a739da2fe,holdout,2513f85d64cb1bda,95d55634c06adf62,b33c1e53d983dc1,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,fixed_ax_complete,68dd9a739da2fe,holdout,-,-,b33c1e53d983dc1,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,fixed_ax_complete,a26f14f027946b87,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,a934088f6991f4bb,d53bd3a187721a8,1,1,1,rejected,typed_canonical
receipt,fixed_ax_complete,a26f14f027946b87,holdout,4e9640b247c85a05,58967315222620f1,a934088f6991f4bb,10aaebf672bc000a,2,2,2,rejected,typed_canonical
receipt,fixed_ax_complete,a26f14f027946b87,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,a934088f6991f4bb,cd0b57c3d461cc32,3,3,3,rejected,typed_canonical
receipt,fixed_ax_complete,a26f14f027946b87,holdout,2513f85d64cb1bda,95d55634c06adf62,a934088f6991f4bb,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,fixed_ax_complete,a26f14f027946b87,holdout,-,-,a934088f6991f4bb,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,b62c2b66ec35b8ae,develop,4e9640b247c85a05,58967315222620f1,7881cbcfeadf54bd,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,95d55634c06adf62,7881cbcfeadf54bd,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
typed_witness,broad_fixed,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,5bafd6bd981fedf8,7881cbcfeadf54bd,d53bd3a187721a8,2,3,3,accepted,summary=3;witness_hex=3237362c3531322c373938
receipt,broad_fixed,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,5bafd6bd981fedf8,7881cbcfeadf54bd,d53bd3a187721a8,2,3,3,accepted,typed_canonical
receipt,broad_fixed,b62c2b66ec35b8ae,develop,e0ff2587dbccd344,1bc903704d0b2b1a,7881cbcfeadf54bd,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,b62c2b66ec35b8ae,develop,-,-,7881cbcfeadf54bd,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
typed_witness,broad_fixed,fd47f0af6d39a405,develop,4e9640b247c85a05,58967315222620f1,33ea10066bd34815,10aaebf672bc000a,1,1,1,accepted,summary=0;witness_hex=72393a6e6f6e65
receipt,broad_fixed,fd47f0af6d39a405,develop,4e9640b247c85a05,58967315222620f1,33ea10066bd34815,10aaebf672bc000a,1,1,1,accepted,typed_canonical
receipt,broad_fixed,fd47f0af6d39a405,develop,2513f85d64cb1bda,95d55634c06adf62,33ea10066bd34815,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
receipt,broad_fixed,fd47f0af6d39a405,develop,2513f85d64cb1bda,5bafd6bd981fedf8,33ea10066bd34815,d53bd3a187721a8,2,3,3,rejected,typed_canonical
receipt,broad_fixed,fd47f0af6d39a405,develop,e0ff2587dbccd344,1bc903704d0b2b1a,33ea10066bd34815,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,fd47f0af6d39a405,develop,-,-,33ea10066bd34815,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,f9fa9278eb3d737d,develop,4e9640b247c85a05,58967315222620f1,375772d1edd79f6c,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,f9fa9278eb3d737d,develop,2513f85d64cb1bda,95d55634c06adf62,375772d1edd79f6c,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
receipt,broad_fixed,f9fa9278eb3d737d,develop,2513f85d64cb1bda,5bafd6bd981fedf8,375772d1edd79f6c,d53bd3a187721a8,2,3,3,rejected,typed_canonical
receipt,broad_fixed,f9fa9278eb3d737d,develop,e0ff2587dbccd344,1bc903704d0b2b1a,375772d1edd79f6c,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,f9fa9278eb3d737d,develop,-,-,375772d1edd79f6c,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,broad_fixed,f1f15b2967c34b3,holdout,4e9640b247c85a05,58967315222620f1,44409cdd879ab88,10aaebf672bc000a,1,1,1,rejected,typed_canonical
receipt,broad_fixed,f1f15b2967c34b3,holdout,2513f85d64cb1bda,95d55634c06adf62,44409cdd879ab88,cd0b57c3d461cc32,2,2,2,rejected,typed_canonical
