row,policy,opaque_id,phase,tool_hash,program_hash,payload_hash,schema_hash,builds,actions,probes,status,detail
receipt,broad_fixed,a26f14f027946b87,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,a934088f6991f4bb,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,broad_fixed,a26f14f027946b87,holdout,-,-,a934088f6991f4bb,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,random_ax_choice,b62c2b66ec35b8ae,develop,e0ff2587dbccd344,1bc903704d0b2b1a,7881cbcfeadf54bd,cd0b57c3d461cc32,1,1,1,rejected,typed_canonical
budget,random_ax_choice,b62c2b66ec35b8ae,develop,-,-,7881cbcfeadf54bd,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
typed_witness,random_ax_choice,fd47f0af6d39a405,develop,4e9640b247c85a05,58967315222620f1,33ea10066bd34815,10aaebf672bc000a,1,1,1,accepted,summary=0;witness_hex=72393a6e6f6e65
receipt,random_ax_choice,fd47f0af6d39a405,develop,4e9640b247c85a05,58967315222620f1,33ea10066bd34815,10aaebf672bc000a,1,1,1,accepted,typed_canonical
budget,random_ax_choice,fd47f0af6d39a405,develop,-,-,33ea10066bd34815,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,random_ax_choice,f9fa9278eb3d737d,develop,e0ff2587dbccd344,1bc903704d0b2b1a,375772d1edd79f6c,cd0b57c3d461cc32,1,1,1,rejected,typed_canonical
budget,random_ax_choice,f9fa9278eb3d737d,develop,-,-,375772d1edd79f6c,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,random_ax_choice,f1f15b2967c34b3,holdout,2513f85d64cb1bda,95d55634c06adf62,44409cdd879ab88,cd0b57c3d461cc32,1,1,1,rejected,typed_canonical
budget,random_ax_choice,f1f15b2967c34b3,holdout,-,-,44409cdd879ab88,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
typed_witness,random_ax_choice,d13917d0f504513,holdout,2513f85d64cb1bda,95d55634c06adf62,6488d024155da2b,cd0b57c3d461cc32,1,1,1,accepted,summary=1;witness_hex=363438303a363437323a36353034
receipt,random_ax_choice,d13917d0f504513,holdout,2513f85d64cb1bda,95d55634c06adf62,6488d024155da2b,cd0b57c3d461cc32,1,1,1,accepted,typed_canonical
budget,random_ax_choice,d13917d0f504513,holdout,-,-,6488d024155da2b,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,random_ax_choice,e65cb01ba33cd72a,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,ed07ac64ed394813,cd0b57c3d461cc32,1,1,1,rejected,typed_canonical
budget,random_ax_choice,e65cb01ba33cd72a,holdout,-,-,ed07ac64ed394813,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,random_ax_choice,848aa5bfd2ce8b86,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,8fd1b9c09ccb14b8,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,random_ax_choice,848aa5bfd2ce8b86,holdout,-,-,8fd1b9c09ccb14b8,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,random_ax_choice,68dd9a739da2fe,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,b33c1e53d983dc1,cd0b57c3d461cc32,1,1,1,rejected,typed_canonical
budget,random_ax_choice,68dd9a739da2fe,holdout,-,-,b33c1e53d983dc1,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,random_ax_choice,a26f14f027946b87,holdout,2513f85d64cb1bda,95d55634c06adf62,a934088f6991f4bb,cd0b57c3d461cc32,1,1,1,rejected,typed_canonical
budget,random_ax_choice,a26f14f027946b87,holdout,-,-,a934088f6991f4bb,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
typed_witness,replay,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,5bafd6bd981fedf8,7881cbcfeadf54bd,d53bd3a187721a8,1,1,1,accepted,summary=3;witness_hex=3237362c3531322c373938
receipt,replay,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,5bafd6bd981fedf8,7881cbcfeadf54bd,d53bd3a187721a8,1,1,1,accepted,typed_canonical
budget,replay,b62c2b66ec35b8ae,develop,-,-,7881cbcfeadf54bd,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,fd47f0af6d39a405,develop,2513f85d64cb1bda,5bafd6bd981fedf8,33ea10066bd34815,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,fd47f0af6d39a405,develop,-,-,33ea10066bd34815,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,f9fa9278eb3d737d,develop,2513f85d64cb1bda,5bafd6bd981fedf8,375772d1edd79f6c,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,f9fa9278eb3d737d,develop,-,-,375772d1edd79f6c,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,f1f15b2967c34b3,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,44409cdd879ab88,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,f1f15b2967c34b3,holdout,-,-,44409cdd879ab88,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,d13917d0f504513,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,6488d024155da2b,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,d13917d0f504513,holdout,-,-,6488d024155da2b,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,e65cb01ba33cd72a,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,ed07ac64ed394813,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,e65cb01ba33cd72a,holdout,-,-,ed07ac64ed394813,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,848aa5bfd2ce8b86,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,8fd1b9c09ccb14b8,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,848aa5bfd2ce8b86,holdout,-,-,8fd1b9c09ccb14b8,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,68dd9a739da2fe,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,b33c1e53d983dc1,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,68dd9a739da2fe,holdout,-,-,b33c1e53d983dc1,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
receipt,replay,a26f14f027946b87,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,a934088f6991f4bb,d53bd3a187721a8,1,1,1,rejected,typed_canonical
budget,replay,a26f14f027946b87,holdout,-,-,a934088f6991f4bb,-,2048,2048,2048,charged_exact,active_builds=1;active_actions=1;active_probes=1
typed_witness,adaptive_candidate,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,5bafd6bd981fedf8,7881cbcfeadf54bd,d53bd3a187721a8,1,1,1,accepted,summary=3;witness_hex=3237362c3531322c373938
receipt,adaptive_candidate,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,5bafd6bd981fedf8,7881cbcfeadf54bd,d53bd3a187721a8,1,1,1,accepted,inherited_ax_program
receipt,adaptive_candidate,b62c2b66ec35b8ae,develop,4e9640b247c85a05,58967315222620f1,7881cbcfeadf54bd,10aaebf672bc000a,2,2,2,rejected,inherited_ax_program
receipt,adaptive_candidate,b62c2b66ec35b8ae,develop,e0ff2587dbccd344,1bc903704d0b2b1a,7881cbcfeadf54bd,cd0b57c3d461cc32,3,3,3,rejected,inherited_ax_program
receipt,adaptive_candidate,b62c2b66ec35b8ae,develop,2513f85d64cb1bda,95d55634c06adf62,7881cbcfeadf54bd,cd0b57c3d461cc32,3,4,4,rejected,inherited_ax_program
budget,adaptive_candidate,b62c2b66ec35b8ae,develop,-,-,7881cbcfeadf54bd,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4;heldout_feedback=opaque_only
receipt,adaptive_candidate,fd47f0af6d39a405,develop,2513f85d64cb1bda,5bafd6bd981fedf8,33ea10066bd34815,d53bd3a187721a8,1,1,1,rejected,inherited_ax_program
typed_witness,adaptive_candidate,fd47f0af6d39a405,develop,4e9640b247c85a05,58967315222620f1,33ea10066bd34815,10aaebf672bc000a,2,2,2,accepted,summary=0;witness_hex=72393a6e6f6e65
receipt,adaptive_candidate,fd47f0af6d39a405,develop,4e9640b247c85a05,58967315222620f1,33ea10066bd34815,10aaebf672bc000a,2,2,2,accepted,inherited_ax_program
receipt,adaptive_candidate,fd47f0af6d39a405,develop,e0ff2587dbccd344,1bc903704d0b2b1a,33ea10066bd34815,cd0b57c3d461cc32,3,3,3,rejected,inherited_ax_program
receipt,adaptive_candidate,fd47f0af6d39a405,develop,2513f85d64cb1bda,95d55634c06adf62,33ea10066bd34815,cd0b57c3d461cc32,3,4,4,rejected,inherited_ax_program
budget,adaptive_candidate,fd47f0af6d39a405,develop,-,-,33ea10066bd34815,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4;heldout_feedback=opaque_only
receipt,adaptive_candidate,f9fa9278eb3d737d,develop,2513f85d64cb1bda,5bafd6bd981fedf8,375772d1edd79f6c,d53bd3a187721a8,1,1,1,rejected,inherited_ax_program
receipt,adaptive_candidate,f9fa9278eb3d737d,develop,4e9640b247c85a05,58967315222620f1,375772d1edd79f6c,10aaebf672bc000a,2,2,2,rejected,inherited_ax_program
receipt,adaptive_candidate,f9fa9278eb3d737d,develop,e0ff2587dbccd344,1bc903704d0b2b1a,375772d1edd79f6c,cd0b57c3d461cc32,3,3,3,rejected,inherited_ax_program
receipt,adaptive_candidate,f9fa9278eb3d737d,develop,2513f85d64cb1bda,95d55634c06adf62,375772d1edd79f6c,cd0b57c3d461cc32,3,4,4,rejected,inherited_ax_program
precommit,adaptive_candidate,f9fa9278eb3d737d,develop,-,375772d1edd79f6c,fe0339d4c46780e9,-,0,0,0,precommitted,programs=2331;reduction_cap=2044;sequence_hash=fe0339d4c46780e9;input=GHOST_CANDIDATE_V1_only
