target_audit_only,seed_audit,arm,trial,total_candidate_evaluations,global_alloc,singleton_alloc,partition_alloc,none_alloc,validation_accuracy,test_accuracy,g_gain,g_residual,s_gain,s_residual,p_gain,p_residual,result
global_holdout,0x21311,iid_random,6,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,7,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,8,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,9,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,10,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,11,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,12,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,13,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,14,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,15,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,16,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
DESCRIPTOR,0x21311,global_holdout,0,120,0,0,0,0,0,0,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,admit_partition=no
singleton_holdout,0x1312,response_guided,0,420,14,264,11,11,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,fixed_menu,0,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,target_blind_coverage,0,420,0,0,300,0,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,1,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,2,420,75,75,75,75,0.6767,0.6533,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,nonexact
singleton_holdout,0x1312,iid_random,3,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,4,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,5,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,6,420,75,75,75,75,0.7000,0.6833,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,nonexact
singleton_holdout,0x1312,iid_random,7,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,8,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,9,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,10,420,75,75,75,75,0.6767,0.6533,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,nonexact
singleton_holdout,0x1312,iid_random,11,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,12,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,13,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,14,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,15,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
singleton_holdout,0x1312,iid_random,16,420,75,75,75,75,1.0000,1.0000,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,exact
DESCRIPTOR,0x1312,singleton_holdout,0,120,0,0,0,0,0,0,-0.1350,0.3617,0.2267,0.0000,-0.1417,0.3683,admit_partition=no
singleton_holdout,0x11312,response_guided,0,420,10,272,9,9,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,fixed_menu,0,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,target_blind_coverage,0,420,0,0,300,0,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,1,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,2,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,3,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,4,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,5,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,6,420,75,75,75,75,0.6900,0.6567,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,nonexact
singleton_holdout,0x11312,iid_random,7,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,8,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,9,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,10,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,11,420,75,75,75,75,0.6900,0.6567,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,nonexact
singleton_holdout,0x11312,iid_random,12,420,75,75,75,75,0.6900,0.6567,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,nonexact
singleton_holdout,0x11312,iid_random,13,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,14,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,15,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
singleton_holdout,0x11312,iid_random,16,420,75,75,75,75,1.0000,1.0000,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,exact
DESCRIPTOR,0x11312,singleton_holdout,0,120,0,0,0,0,0,0,-0.0533,0.3500,0.2967,0.0000,-0.1000,0.3967,admit_partition=no
singleton_holdout,0x21312,response_guided,0,420,11,269,10,10,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,fixed_menu,0,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,target_blind_coverage,0,420,0,0,300,0,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,1,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,2,420,75,75,75,75,0.6667,0.6367,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,nonexact
singleton_holdout,0x21312,iid_random,3,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,4,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,5,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,6,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,7,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,8,420,75,75,75,75,0.6667,0.6367,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,nonexact
singleton_holdout,0x21312,iid_random,9,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,10,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,11,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,12,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,13,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,14,420,75,75,75,75,0.6867,0.6633,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,nonexact
singleton_holdout,0x21312,iid_random,15,420,75,75,75,75,1.0000,1.0000,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,exact
singleton_holdout,0x21312,iid_random,16,420,75,75,75,75,0.6867,0.6633,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,nonexact
DESCRIPTOR,0x21312,singleton_holdout,0,120,0,0,0,0,0,0,-0.1017,0.3683,0.2667,0.0000,-0.0933,0.3600,admit_partition=no
partition_threecell_holdout,0x1313,response_guided,0,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,fixed_menu,0,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,target_blind_coverage,0,420,0,0,300,0,0.6167,0.6500,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,1,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,2,420,75,75,75,75,0.6167,0.6500,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,3,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,4,420,75,75,75,75,0.5800,0.5933,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,5,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,6,420,75,75,75,75,0.6300,0.5700,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,7,420,75,75,75,75,0.5833,0.5833,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,8,420,75,75,75,75,0.6300,0.5700,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,9,420,75,75,75,75,0.6200,0.6400,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,10,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,11,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,12,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,13,420,75,75,75,75,0.5867,0.5967,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,14,420,75,75,75,75,0.5933,0.6033,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,15,420,75,75,75,75,0.5867,0.5167,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
partition_threecell_holdout,0x1313,iid_random,16,420,75,75,75,75,0.6300,0.5700,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,nonexact
DESCRIPTOR,0x1313,partition_threecell_holdout,0,120,0,0,0,0,0,0,-0.0133,0.3967,-0.0117,0.3950,-0.0300,0.4133,admit_partition=no
partition_threecell_holdout,0x11313,response_guided,0,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,fixed_menu,0,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,target_blind_coverage,0,420,0,0,300,0,0.6800,0.6567,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,1,420,75,75,75,75,0.6233,0.6333,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,2,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,3,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,4,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,5,420,75,75,75,75,0.6233,0.6333,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,6,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,7,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,8,420,75,75,75,75,0.6233,0.6333,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,9,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,10,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,11,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,12,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,13,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,14,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,15,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
partition_threecell_holdout,0x11313,iid_random,16,420,75,75,75,75,0.6333,0.6067,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,nonexact
DESCRIPTOR,0x11313,partition_threecell_holdout,0,120,0,0,0,0,0,0,-0.0600,0.3933,-0.0450,0.3783,-0.0817,0.4150,admit_partition=no
partition_threecell_holdout,0x21313,response_guided,0,420,75,75,75,75,0.6533,0.5933,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,fixed_menu,0,420,75,75,75,75,0.6533,0.5933,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,target_blind_coverage,0,420,0,0,300,0,0.6533,0.5933,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,1,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,2,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,3,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,4,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,5,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,6,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,7,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,8,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,9,420,75,75,75,75,0.6533,0.5933,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,10,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,11,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,12,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,13,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
partition_threecell_holdout,0x21313,iid_random,14,420,75,75,75,75,0.6400,0.6133,-0.1017,0.4050,-0.0733,0.3767,-0.1033,0.4067,nonexact
