N,method,evals,best_E,best_F
19,exhaustive,531,97,1.860825
19,exhaustive,551,77,2.344156
19,exhaustive,563,69,2.615942
19,exhaustive,611,61,2.959016
19,exhaustive,1258,57,3.166667
19,exhaustive,2226,53,3.405660
19,exhaustive,2254,49,3.683673
19,exhaustive,2266,41,4.402439
19,exhaustive,12047,37,4.878378
19,exhaustive,46052,33,5.469697
19,exhaustive,148785,29,6.224138
19,final,262144,29,6.224138
20,exhaustive,1,2470,0.080972
20,exhaustive,2,1722,0.116144
20,exhaustive,3,1190,0.168067
20,exhaustive,5,1102,0.181488
20,exhaustive,6,842,0.237530
20,exhaustive,10,738,0.271003
20,exhaustive,11,646,0.309598
20,exhaustive,19,542,0.369004
20,exhaustive,21,518,0.386100
20,exhaustive,23,502,0.398406
20,exhaustive,35,486,0.411523
20,exhaustive,37,430,0.465116
20,exhaustive,42,394,0.507614
20,exhaustive,70,378,0.529101
20,exhaustive,71,358,0.558659
20,exhaustive,73,350,0.571429
20,exhaustive,74,306,0.653595
20,exhaustive,82,282,0.709220
20,exhaustive,138,234,0.854701
20,exhaustive,156,226,0.884956
20,exhaustive,178,202,0.990099
20,exhaustive,276,194,1.030928
20,exhaustive,279,190,1.052632
20,exhaustive,295,166,1.204819
20,exhaustive,327,158,1.265823
20,exhaustive,355,150,1.333333
20,exhaustive,551,118,1.694915
20,exhaustive,583,110,1.818182
20,exhaustive,611,102,1.960784
20,exhaustive,1079,94,2.127660
20,exhaustive,1125,78,2.564103
20,exhaustive,1418,74,2.702703
20,exhaustive,1479,70,2.857143
20,exhaustive,1518,66,3.030303
20,exhaustive,2266,50,4.000000
20,exhaustive,4410,42,4.761905
20,exhaustive,8595,38,5.263158
20,exhaustive,12732,34,5.882353
20,exhaustive,73978,26,7.692308
20,final,524288,26,7.692308
21,exhaustive,1,2870,0.076829
21,exhaustive,2,2042,0.107982
21,exhaustive,3,1442,0.152913
21,exhaustive,5,1346,0.163819
21,exhaustive,6,1038,0.212428
21,exhaustive,10,926,0.238121
21,exhaustive,11,798,0.276316
21,exhaustive,19,686,0.321429
21,exhaustive,21,654,0.337156
21,exhaustive,23,642,0.343458
21,exhaustive,35,622,0.354502
21,exhaustive,37,558,0.395161
21,exhaustive,38,546,0.403846
21,exhaustive,42,498,0.442771
21,exhaustive,70,482,0.457469
21,exhaustive,73,462,0.477273
21,exhaustive,74,402,0.548507
21,exhaustive,82,370,0.595946
21,exhaustive,138,322,0.684783
21,exhaustive,156,306,0.720588
21,exhaustive,163,298,0.739933
21,exhaustive,178,278,0.793165
21,exhaustive,276,262,0.841603
21,exhaustive,279,254,0.868110
21,exhaustive,295,222,0.993243
21,exhaustive,327,206,1.070388
21,exhaustive,551,174,1.267241
21,exhaustive,583,158,1.395570
21,exhaustive,1063,142,1.552817
21,exhaustive,1075,134,1.645522
21,exhaustive,1125,126,1.750000
21,exhaustive,1158,102,2.161765
21,exhaustive,1438,98,2.250000
21,exhaustive,2266,86,2.563953
21,exhaustive,2314,70,3.150000
21,exhaustive,2954,54,4.083333
21,exhaustive,11847,42,5.250000
21,exhaustive,83517,38,5.802632
21,exhaustive,88654,34,6.485294
21,exhaustive,175822,26,8.480769
21,final,1048576,26,8.480769
22,exhaustive,1,3311,0.073090
22,exhaustive,2,2399,0.100875
22,exhaustive,3,1727,0.140127
22,exhaustive,5,1623,0.149107
22,exhaustive,6,1263,0.191607
22,exhaustive,10,1143,0.211724
22,exhaustive,11,975,0.248205
22,exhaustive,19,855,0.283041
22,exhaustive,21,815,0.296933
22,exhaustive,23,807,0.299876
22,exhaustive,35,783,0.309068
22,exhaustive,37,711,0.340366
22,exhaustive,38,679,0.356406
22,exhaustive,42,623,0.388443
22,exhaustive,70,607,0.398682
22,exhaustive,73,599,0.404007
22,exhaustive,74,519,0.466281
22,exhaustive,82,479,0.505219
22,exhaustive,138,431,0.561485
22,exhaustive,148,423,0.572104
22,exhaustive,152,415,0.583133
22,exhaustive,156,407,0.594595
22,exhaustive,162,399,0.606516
22,exhaustive,163,383,0.631854
22,exhaustive,178,375,0.645333
22,exhaustive,276,351,0.689459
22,exhaustive,279,335,0.722388
22,exhaustive,295,295,0.820339
22,exhaustive,327,271,0.892989
22,exhaustive,551,239,1.012552
22,exhaustive,583,215,1.125581
22,exhaustive,1063,207,1.169082
22,exhaustive,1095,199,1.216080
22,exhaustive,1098,191,1.267016
22,exhaustive,1158,159,1.522013
22,exhaustive,1422,151,1.602649
22,exhaustive,1438,143,1.692308
22,exhaustive,2252,127,1.905512
22,exhaustive,2266,119,2.033613
22,exhaustive,2314,111,2.180180
22,exhaustive,2844,103,2.349515
22,exhaustive,2954,79,3.063291
22,exhaustive,4631,63,3.841270
22,exhaustive,11875,47,5.148936
22,exhaustive,60649,39,6.205128
22,final,2097152,39,6.205128
23,exhaustive,1,3795,0.069697
23,exhaustive,2,2795,0.094633
23,exhaustive,3,2047,0.129213
23,exhaustive,5,1935,0.136693
23,exhaustive,6,1519,0.174128
23,exhaustive,10,1391,0.190151
23,exhaustive,11,1179,0.224343
23,exhaustive,19,1051,0.251665
23,exhaustive,21,1003,0.263709
23,exhaustive,22,995,0.265829
23,exhaustive,35,971,0.272400
23,exhaustive,37,891,0.296857
23,exhaustive,38,835,0.316766
23,exhaustive,42,771,0.343061
23,exhaustive,70,755,0.350331
23,exhaustive,74,659,0.401366
23,exhaustive,76,655,0.403817
23,exhaustive,82,611,0.432897
23,exhaustive,138,563,0.469805
