phase,seed,target,family_or_arm,members_or_idx,detail,val_or_cov,tst,ladder_pick,cert_or_solved,cov_after_or_probes,r2_or_certs
ladder,0x00C1B10D20260706,"B9 oriented v1>v0",L0,8,"base",1.0000,,,1,0,0
ladder,0x00C1B10D20260706,"B10 parity AND sum%5",L0,9,"world",1.0000,,,1,34,13
ladder,0x00C1B10D20260706,"B11 inversion parity",L0,10,"none",0.4983,,,0,290,13
ladder,0x00C1B10D20260706,"C01 XOR 0x0F",L0,0,"none",0.5023,,,0,441,16
ladder,0x00C1B10D20260706,"C02 parity XOR 0x33",L0,1,"none",0.4989,,,0,441,16
ladder,0x00C1B10D20260706,"C03 XOR 0x55",L0,2,"none",0.5097,,,0,441,16
ladder,0x00C1B10D20260706,"C04 XOR 0xAA",L0,3,"none",0.4846,,,0,441,16
ladder,0x00C1B10D20260706,"C05 XOR 0x3C",L0,4,"none",0.4897,,,0,441,16
ladder,0x00C1B10D20260706,"C06 XOR 0x66",L0,5,"none",0.5091,,,0,441,16
ladder,0x00C1B10D20260706,"C07 XOR 0x99",L0,6,"none",0.5183,,,0,441,16
ladder,0x00C1B10D20260706,"C08 parity count",L0,7,"walsh",1.0000,,,1,438,3
ladder,0x00C1B10D20260706,"C09 inv parity",L0,8,"none",0.4954,,,0,441,16
ladder,0x00C1B10D20260706,"C10 parity XOR 0x0F",L0,9,"none",0.5023,,,0,441,16
ladder,0x00C1B10D20260706,"C11 XOR 0x37",L0,10,"none",0.4880,,,0,441,16
ladder,0x00C1B10D20260706,"D01 sum%2",L0,0,"world",1.0000,,,1,441,16
ladder,0x00C1B10D20260706,"D02 sum%3",L0,1,"world",1.0000,,,1,185,15
ladder,0x00C1B10D20260706,"D03 sum%5",L0,2,"world",1.0000,,,1,185,15
ladder,0x00C1B10D20260706,"D04 sum%7",L0,3,"world",1.0000,,,1,185,15
ladder,0x00C1B10D20260706,"D05 sum%11",L0,4,"base",0.9154,,,1,0,0
ladder,0x00C1B10D20260706,"D06 sum%13",L0,5,"base",0.9297,,,1,0,0
ladder,0x00C1B10D20260706,"D07 count3%3",L0,6,"menu",1.0000,,,1,185,3
ladder,0x00C1B10D20260706,"D08 count3%4",L0,7,"none",0.6977,,,0,185,15
ladder,0x00C1B10D20260706,"D09 count3%5",L0,8,"none",0.7320,,,0,185,15
ladder,0x00C1B10D20260706,"D10 count3%6",L0,9,"menu",1.0000,,,1,185,3
ladder,0x00C1B10D20260706,"D11 subset-parity{0-3}",L0,10,"forge",0.9989,,,1,151,1
ladder,0x00C2B10D20260707,"B1 random monomial deg2",L0,0,"forge",1.0000,,,1,151,1
ladder,0x00C2B10D20260707,"B2 random monomial deg3",L0,1,"forge",1.0000,,,1,150,1
ladder,0x00C2B10D20260707,"B3 sum(g) % 7",L0,2,"world",1.0000,,,1,183,15
