artifact,battery,policy,stage,virtual_epochs,heldout_material,heldout_correct_x4096,charged_contacts,forged_instruments,revised_records,generated_world_visits,component_events,verdict
round_ar,AR3,earned_forge,checkpoint,106368,20470,2047,10211328,2552832,1276582,10211328,367607808,curve
round_ar,AR3,earned_forge,checkpoint,106560,20420,2042,10229760,2557440,1278865,10229760,368271360,curve
round_ar,AR3,earned_forge,checkpoint,106752,20690,2069,10248192,2562048,1281170,10248192,368934912,curve
round_ar,AR3,earned_forge,checkpoint,106944,20520,2052,10266624,2566656,1283508,10266624,369598464,curve
round_ar,AR3,earned_forge,checkpoint,107136,20380,2038,10285056,2571264,1285839,10285056,370262016,curve
round_ar,AR3,earned_forge,checkpoint,107328,20530,2053,10303488,2575872,1288097,10303488,370925568,curve
round_ar,AR3,earned_forge,checkpoint,107520,20630,2063,10321920,2580480,1290444,10321920,371589120,curve
round_ar,AR3,earned_forge,checkpoint,107712,20400,2040,10340352,2585088,1292722,10340352,372252672,curve
round_ar,AR3,earned_forge,checkpoint,107904,20940,2094,10358784,2589696,1295037,10358784,372916224,curve
round_ar,AR3,earned_forge,checkpoint,108096,20850,2085,10377216,2594304,1297325,10377216,373579776,curve
round_ar,AR3,earned_forge,checkpoint,108288,20490,2049,10395648,2598912,1299605,10395648,374243328,curve
round_ar,AR3,earned_forge,checkpoint,108480,19940,1994,10414080,2603520,1301943,10414080,374906880,curve
round_ar,AR3,earned_forge,checkpoint,108672,20560,2056,10432512,2608128,1304245,10432512,375570432,curve
round_ar,AR3,earned_forge,checkpoint,108864,20360,2036,10450944,2612736,1306584,10450944,376233984,curve
round_ar,AR3,earned_forge,checkpoint,109056,20700,2070,10469376,2617344,1308903,10469376,376897536,curve
round_ar,AR3,earned_forge,checkpoint,109248,20220,2022,10487808,2621952,1311172,10487808,377561088,curve
round_ar,AR3,earned_forge,checkpoint,109440,20060,2006,10506240,2626560,1313553,10506240,378224640,curve
round_ar,AR3,earned_forge,checkpoint,109632,20270,2027,10524672,2631168,1315873,10524672,378888192,curve
round_ar,AR3,earned_forge,checkpoint,109824,20300,2030,10543104,2635776,1318227,10543104,379551744,curve
round_ar,AR3,earned_forge,checkpoint,110016,20820,2082,10561536,2640384,1320534,10561536,380215296,curve
round_ar,AR3,earned_forge,checkpoint,110208,20410,2041,10579968,2644992,1322836,10579968,380878848,curve
round_ar,AR3,earned_forge,checkpoint,110400,20690,2069,10598400,2649600,1325164,10598400,381542400,curve
round_ar,AR3,earned_forge,checkpoint,110592,20420,2042,10616832,2654208,1327524,10616832,382205952,curve
