artifact,partition,epoch,world_id,parent_id,life_cycle,viability,diversity,transition_novelty,decision,policy_surface,verdict
round_t_t2,policy_lineage,17,A051D45FC7D3E6E5,601C9B9FACCA006D,scratch_discard,0.000000,0.988281,0.468750,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,18,1BE5AC3655583591,690898C6E7B7B13B,scratch_discard,0.000000,0.996094,0.468750,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,19,62037A2C6CCACA69,FD656228D2AAD21A,scratch_discard,0.000000,0.984375,0.562500,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,20,6EDBF97B58B027ED,202ABFD374B71413,commit,0.000244,0.996094,0.500000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,21,59D226DE80D4AA45,FD656228D2AAD21A,commit,0.000244,1.000000,0.500000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,22,5B25082C871635B0,690898C6E7B7B13B,scratch_discard,0.000000,0.992188,0.531250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,23,6DAD35C74C03C42B,FD656228D2AAD21A,commit,0.000488,1.000000,0.562500,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,24,6C201D4A36330975,690898C6E7B7B13B,commit,0.000488,0.988281,0.343750,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,25,46D384FE928C9971,FD656228D2AAD21A,scratch_discard,0.000000,1.000000,0.406250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,26,0CC233294B00C299,202ABFD374B71413,scratch_discard,0.000000,0.980469,0.687500,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,27,B639B5B5809BC2C1,D6DFBA41F1939CB4,commit,0.000732,1.000000,0.500000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,28,40F49CC3B187808A,F495A436C2010B7F,commit,0.000732,0.988281,0.468750,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,29,51DA0DCDEF962B59,68A469D7E89A82E2,commit,0.000977,1.000000,0.406250,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,30,651F70959C054763,C233F7ECE7595ABE,scratch_discard,0.000000,1.000000,0.593750,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,31,703D59DEA1B286E7,7301024DA7F78094,commit,0.000244,1.000000,0.531250,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,32,6A6FE5A0834FFB22,601C9B9FACCA006D,commit,0.000244,0.996094,0.406250,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,33,B960D2C0F17F35D6,6EDBF97B58B027ED,scratch_discard,0.000000,1.000000,0.625000,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,34,93E0C869AC53120A,59D226DE80D4AA45,scratch_discard,0.000000,0.988281,0.625000,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,35,45F2857FAEFACF68,6DAD35C74C03C42B,scratch_discard,0.000000,0.980469,0.406250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,36,458AD156C008779B,6C201D4A36330975,scratch_discard,0.000000,1.000000,0.656250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,37,AA4FE02B0F513D25,FD656228D2AAD21A,commit,0.000244,0.984375,0.718750,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,38,34F37ADF44E98296,202ABFD374B71413,scratch_discard,0.000000,1.000000,0.406250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,39,92AF4A81EE4DFF83,B639B5B5809BC2C1,scratch_discard,0.000000,0.992188,0.531250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,40,5DE7D04940F39232,40F49CC3B187808A,scratch_discard,0.000000,0.988281,0.500000,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,41,D778286292B7DBED,51DA0DCDEF962B59,commit,0.000244,0.980469,0.562500,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,42,2C91A7FAA7415347,C233F7ECE7595ABE,commit,0.000488,1.000000,0.437500,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,43,3D8BCA781EB2FC6B,703D59DEA1B286E7,commit,0.000244,1.000000,0.437500,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,44,F30321BE553B0246,6A6FE5A0834FFB22,scratch_discard,0.000000,0.996094,0.531250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,45,5C002134CDB03614,6EDBF97B58B027ED,commit,0.000488,0.996094,0.375000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,46,5F4DC4F14BE5233F,59D226DE80D4AA45,scratch_discard,0.000000,1.000000,0.531250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,47,7065E427E48EBA35,6DAD35C74C03C42B,scratch_discard,0.000000,0.988281,0.375000,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,fresh_holdout,0,withheld,withheld,snapshot_sealed,0.000000,0.996094,1.000000,withheld,none,independent_measurement
round_t_t2,closure,0,aggregate,aggregate,commit_snapshot,0,0,0,accepted=22;scratch=48,aggregate_only,CONTROLLED_FOUNDATION
