iter,hits,topo_velocity,stagnation
56900,2.00,0.000000,2
57000,2.00,0.000000,5
57100,2.00,0.000000,13
57200,2.00,0.000000,7
57300,2.00,0.000000,2
57400,2.00,0.000000,23
57500,2.00,0.000000,2
57600,2.00,0.000000,1
57700,2.00,0.000000,16
57800,2.00,0.000000,13
57900,2.00,0.261719,1
58000,2.00,0.000000,9
58100,2.00,0.000000,7
58200,2.00,0.000000,1
58300,2.00,0.000000,1
58400,2.00,0.000000,36
58500,2.00,0.000000,0
58600,2.00,0.000000,4
58700,2.00,0.000000,31
58800,2.00,0.000000,11
58900,2.00,0.000000,4
59000,2.00,0.000000,31
59100,2.00,0.000000,16
59200,2.00,0.000000,33
59300,2.00,0.000000,3
59400,2.00,0.000000,1
59500,2.00,0.000000,1
59600,2.00,0.000000,9
59700,2.00,0.000000,22
59800,2.00,0.000000,19
59900,2.00,0.000000,30
60000,2.00,0.000000,26
60100,2.00,0.000000,31
60200,2.00,0.000000,38
60300,2.00,0.000000,31
60400,2.00,0.000000,36
60500,2.00,0.000000,77
60600,2.00,0.000000,20
60700,2.00,0.000000,3
60800,2.00,0.000000,2
60900,2.00,0.000000,29
61000,2.00,0.000000,26
61100,2.00,0.000000,3
61200,2.00,0.000000,12
61300,2.00,0.000000,12
61400,2.00,0.000000,0
61500,2.00,0.000000,2
61600,2.00,0.000000,2
61700,2.00,0.000000,14
61800,2.00,0.000000,10
61900,2.00,0.000000,2
62000,2.00,0.000000,54
62100,2.00,0.000000,30
62200,2.00,0.000000,35
62300,2.00,0.000000,44
62400,2.00,0.000000,2
62500,2.00,0.000000,0
62600,2.00,0.000000,0
62700,2.00,0.000000,2
62800,2.00,0.000000,0
62900,2.00,0.000000,6
63000,2.00,0.000000,0
63100,2.00,0.000000,40
63200,2.00,0.000000,19
63300,2.00,0.000000,24
63400,2.00,0.000000,32
63500,2.00,0.000000,5
63600,2.00,0.000000,4
63700,2.00,0.000000,33
63800,2.00,0.000000,7
63900,2.00,0.000000,43
64000,2.00,0.000000,32
64100,2.00,0.000000,72
64200,2.00,0.000000,48
64300,2.00,0.000000,148
64400,2.00,0.000000,61
64500,2.00,0.000000,39
64600,2.00,0.000000,46
64700,2.00,0.000000,6
64800,2.00,0.000000,19
64900,2.00,0.000000,21
65000,2.00,0.000000,7
65100,2.00,0.000000,2
65200,2.00,0.000000,7
65300,2.00,0.000000,2
65400,2.00,0.000000,7
65500,2.00,0.000000,69
65600,2.00,0.000000,49
65700,2.00,0.000000,43
65800,2.00,0.000000,7
65900,2.00,0.000000,3
66000,2.00,0.000000,103
66100,2.00,0.000000,45
66200,2.00,0.000000,69
66300,2.00,0.000000,0
66400,2.00,0.000000,12
66500,2.00,0.000000,112
66600,2.00,0.000000,20
66700,2.00,0.000000,61
66800,2.00,0.000000,21
66900,2.00,0.000000,23
67000,2.00,0.000000,7
67100,2.00,0.000000,1
67200,2.00,0.000000,1
67300,2.00,0.000000,2
67400,2.00,0.000000,4
67500,2.00,0.000000,9
67600,2.00,0.000000,13
67700,2.00,0.000000,1
67800,2.00,0.000000,8
67900,2.00,0.000000,62
68000,2.00,0.000000,3
68100,2.00,0.000000,4
68200,2.00,0.000000,0
68300,2.00,0.000000,6
68400,2.00,0.000000,1
68500,2.00,0.000000,2
68600,2.00,0.000000,19
68700,2.00,0.000000,0
68800,2.00,0.015503,1
68900,2.00,0.000000,8
69000,2.00,0.000000,0
69100,2.00,0.000000,14
69200,2.00,0.000000,6
69300,2.00,0.000000,1
69400,2.00,0.000000,1
69500,2.00,0.000000,12
69600,2.00,0.000000,10
69700,2.00,0.000000,31
69800,2.00,0.000000,10
69900,2.00,0.000000,7
70000,2.00,0.000000,8
70100,2.00,0.000000,0
70200,2.00,0.000000,12
70300,2.00,0.000000,1
70400,2.00,0.000000,2
70500,2.00,0.000000,2
70600,2.00,0.000000,0
70700,2.00,0.000000,0
70800,2.00,0.000000,1
70900,2.00,0.000000,2
71000,2.00,0.000000,0
71100,2.00,0.000000,0
71200,2.00,0.000000,1
71300,2.00,0.000000,0
71400,2.00,0.000000,3
71500,2.00,0.000000,4
71600,2.00,0.000000,0
71700,2.00,0.000000,6
71800,2.00,0.000000,7
71900,2.00,0.000000,0
72000,2.00,0.000000,5
72100,2.00,0.000000,1
72200,2.00,0.000000,0
72300,2.00,0.000000,4
72400,2.00,0.000000,1
72500,2.00,0.000000,8
72600,2.00,0.000000,1
72700,2.00,0.000000,1
72800,2.00,0.000000,1
72900,2.00,0.000000,1
73000,2.00,0.000000,0
73100,2.00,0.000000,0
73200,2.00,0.000000,7
73300,2.00,0.000000,1
73400,2.00,0.000000,2
73500,2.00,0.000000,1
73600,2.00,0.000000,3
73700,2.00,0.000000,0
73800,2.00,0.000000,0
73900,2.00,0.000000,7
74000,2.00,0.209473,0
74100,2.00,0.000000,2
74200,2.00,0.000000,4
74300,2.00,0.000000,2
74400,2.00,0.000000,1
74500,2.00,0.000000,1
74600,2.00,0.000000,3
74700,2.00,0.000000,2
74800,2.00,0.000000,3
74900,2.00,0.000000,2
75000,2.00,0.000000,4
75100,2.00,0.000000,8
75200,2.00,0.000000,1
75300,2.00,0.000000,2
75400,2.00,0.000000,0
75500,2.00,0.000000,0
75600,2.00,0.000000,0
75700,2.00,0.000000,9
75800,2.00,0.000000,2
75900,2.00,0.079346,1
76000,2.00,0.000000,0
76100,2.00,0.000000,5
76200,2.00,0.000000,78
76300,2.00,0.000000,26
76400,2.00,0.000000,6
76500,2.00,0.000000,0
76600,2.00,0.000000,0
76700,2.00,0.000000,0
76800,2.00,0.000000,2
76900,2.00,0.000000,2
77000,2.00,0.000000,6
77100,2.00,0.000000,13
77200,2.00,0.000000,7
77300,2.00,0.000000,1
77400,2.00,0.000000,2
77500,2.00,0.000000,8
77600,2.00,0.000000,8
77700,2.00,0.000000,3
77800,2.00,0.000000,0
77900,2.00,0.000000,12
78000,2.00,0.000000,2
78100,2.00,0.000000,2
78200,2.00,0.000000,10
78300,2.00,0.000000,1
78400,2.00,0.000000,4
78500,2.00,0.000000,0
78600,2.00,0.000000,3
78700,2.00,0.000000,2
78800,2.00,0.000000,0
78900,2.00,0.000000,2
79000,2.00,0.000000,0
79100,2.00,0.269409,1
79200,2.00,0.000000,1
79300,2.00,0.000000,0
79400,2.00,0.000000,1
79500,2.00,0.000000,0
79600,2.00,0.000000,0
79700,2.00,0.000000,2
79800,2.00,0.000000,0
79900,2.00,0.000000,0
80000,2.00,0.000000,0
80100,2.00,0.000000,2
80200,2.00,0.000000,20
80300,2.00,0.000000,4
80400,2.00,0.000000,1
80500,2.00,0.000000,0
80600,2.00,0.000000,1
80700,2.00,0.000000,6
80800,2.00,0.000000,26
80900,2.00,0.000000,14
81000,2.00,0.000000,16
81100,2.00,0.000000,1
81200,2.00,0.000000,3
81300,2.00,0.000000,10
81400,2.00,0.000000,5
81500,2.00,0.000000,4
81600,2.00,0.000000,20
81700,2.00,0.000000,0
81800,2.00,0.000000,2
81900,2.00,0.000000,0
82000,2.00,0.000000,8
82100,2.00,0.000000,3
82200,2.00,0.000000,1
82300,2.00,0.000000,11
82400,2.00,0.000000,1
82500,2.00,0.000000,2
82600,2.00,0.000000,0
82700,2.00,0.000000,11
82800,2.00,0.000000,1
82900,2.00,0.000000,19
83000,2.00,0.000000,0
83100,2.00,0.000000,4
83200,2.00,0.000000,1
83300,2.00,0.000000,1
83400,2.00,0.000000,6
83500,2.00,0.000000,0
83600,2.00,0.000000,0
83700,2.00,0.000000,0
83800,2.00,0.000000,0
83900,2.00,0.000000,7
84000,2.00,0.000000,0
84100,2.00,0.000000,1
84200,2.00,0.000000,4
84300,2.00,0.000000,2
84400,2.00,0.000000,1
84500,2.00,0.000000,0
84600,2.00,0.000000,3
84700,2.00,0.000000,0
84800,2.00,0.000000,0
84900,2.00,0.000000,0
85000,2.00,0.000000,0
85100,2.00,0.000000,1
85200,2.00,0.000000,0
85300,2.00,0.000000,2
85400,2.00,0.000000,0
85500,2.00,0.000000,8
85600,2.00,0.000000,2
85700,2.00,0.000000,4
85800,2.00,0.019043,1
85900,2.00,0.000000,0
86000,2.00,0.000000,1
86100,2.00,0.000000,2
86200,2.00,0.000000,5
86300,2.00,0.000000,3
86400,2.00,0.000000,1
86500,2.00,0.000000,2
86600,2.00,0.000000,1
86700,2.00,0.000000,20
86800,2.00,0.000000,7
86900,2.00,0.000000,15
87000,2.00,0.000000,8
87100,2.00,0.000000,17
87200,2.00,0.000000,117
87300,2.00,0.000000,2
87400,2.00,0.000000,30
87500,2.00,0.000000,48
87600,2.00,0.000000,4
87700,2.00,0.000000,11
87800,2.00,0.000000,13
87900,2.00,0.000000,5
88000,2.00,0.000000,94
88100,2.00,0.000000,2
88200,2.00,0.000000,33
88300,2.00,0.000000,7
88400,2.00,0.000000,10
88500,2.00,0.000000,35
88600,2.00,0.000000,17
88700,2.00,0.000000,6
88800,2.00,0.000000,3
88900,2.00,0.000000,6
89000,2.00,0.000000,0
89100,2.00,0.000000,8
89200,2.00,0.000000,1
89300,2.00,0.000000,1
89400,2.00,0.000000,0
89500,2.00,0.000000,3
89600,2.00,0.000000,9
89700,2.00,0.000000,2
89800,2.00,0.000000,4
89900,2.00,0.000000,5
90000,2.00,0.133057,1
90100,2.00,0.000000,0
90200,2.00,0.000000,15
90300,2.00,0.000000,6
90400,2.00,0.000000,3
90500,2.00,0.000000,2
90600,2.00,0.000000,7
90700,2.00,0.188965,1
90800,2.00,0.000000,7
90900,2.00,0.000000,0
91000,2.00,0.000000,2
91100,2.00,0.122925,1
91200,2.00,0.000000,0
91300,2.00,0.000000,2
91400,2.00,0.000000,1
91500,2.00,0.000000,3
91600,2.00,0.000000,1
91700,2.00,0.000000,6
91800,2.00,0.000000,2
91900,2.00,0.253906,1
92000,2.00,0.000000,1
92100,2.00,0.000000,5
92200,2.00,0.000000,1
92300,2.00,0.000000,0
92400,2.00,0.000000,4
92500,2.00,0.000000,1
92600,2.00,0.000000,6
92700,2.00,0.000000,7
92800,2.00,0.000000,5
92900,2.00,0.000000,0
93000,2.00,0.000000,0
93100,2.00,0.000000,4
93200,2.00,0.000000,2
93300,2.00,0.000000,2
93400,2.00,0.000000,8
93500,2.00,0.000000,8
93600,2.00,0.000000,1
93700,2.00,0.000000,5
93800,2.00,0.000000,2
93900,2.00,0.000000,3
94000,2.00,0.000000,5
94100,2.00,0.000000,0
94200,2.00,0.000000,0
94300,2.00,0.269409,1
94400,2.00,0.000000,3
94500,2.00,0.000000,2
94600,2.00,0.000000,0
94700,2.00,0.000000,0
94800,2.00,0.000000,0
94900,2.00,0.000000,0
95000,2.00,0.000000,9
95100,2.00,0.103882,0
95200,2.00,0.000000,0
95300,2.00,0.000000,2
95400,2.00,0.246582,0
95500,2.00,0.000000,1
95600,2.00,0.000000,1
95700,2.00,0.000000,1
95800,2.00,0.000000,0
95900,2.00,0.000000,0
96000,2.00,0.000000,2
96100,2.00,0.000000,1
96200,2.00,0.000000,0
96300,2.00,0.000000,0
96400,2.00,0.000000,3
96500,2.00,0.000000,2
96600,2.00,0.000000,1
96700,2.00,0.000000,0
96800,2.00,0.000000,0
96900,2.00,0.000000,1
97000,2.00,0.000000,4
97100,2.00,0.000000,2
97200,2.00,0.000000,2
97300,2.00,0.000000,1
97400,2.00,0.000000,1
97500,2.00,0.000000,0
97600,2.00,0.000000,7
97700,2.00,0.000000,8
97800,2.00,0.075684,0
97900,2.00,0.000000,0
98000,2.00,0.000000,1
98100,2.00,0.000000,0
98200,2.00,0.000000,4
98300,2.00,0.000000,0
98400,2.00,0.000000,12
98500,2.00,0.000000,1
98600,2.00,0.120117,0
98700,2.00,0.000000,5
98800,2.00,0.000000,2
98900,2.00,0.000000,13
99000,2.00,0.000000,2
99100,2.00,0.000000,2
99200,2.00,0.000000,1
99300,2.00,0.000000,0
99400,2.00,0.240479,1
99500,2.00,0.000000,5
99600,2.00,0.000000,2
99700,2.00,0.000000,3
