target,seed,budget,order,candidate_calls,best_validation_accuracy,test_accuracy,exact_reach,correct_directed_separation,response_decision
global,0xA300000000000001,128,residue_permuted,256,0.5742,0.5867,NO,YES,absent
global,0xA300000000000001,128,random_iid_0,256,0.5767,0.5933,NO,YES,absent
global,0xA300000000000001,128,random_iid_1,256,0.5721,0.5317,NO,YES,absent
global,0xA300000000000001,128,random_iid_2,256,0.5767,0.5933,NO,YES,absent
global,0xA300000000000001,128,random_iid_3,256,0.5871,0.5950,NO,YES,absent
global,0xA300000000000001,256,base,512,0.5767,0.5933,NO,YES,absent
global,0xA300000000000001,256,mask_permuted,512,0.5729,0.6283,NO,YES,absent
global,0xA300000000000001,256,residue_permuted,512,0.5908,0.5517,NO,YES,absent
global,0xA300000000000001,256,random_iid_0,512,0.5900,0.5967,NO,YES,absent
global,0xA300000000000001,256,random_iid_1,512,0.5871,0.5950,NO,YES,absent
global,0xA300000000000001,256,random_iid_2,512,0.5725,0.5967,NO,YES,absent
global,0xA300000000000001,256,random_iid_3,512,0.5750,0.5867,NO,YES,absent
global,0xA300000000000001,635,base,1270,0.5908,0.5517,NO,YES,absent
global,0xA300000000000001,635,mask_permuted,1270,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,635,residue_permuted,1270,0.5908,0.5517,NO,YES,absent
global,0xA300000000000001,635,random_iid_0,1270,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,635,random_iid_1,1270,0.5908,0.5517,NO,YES,absent
global,0xA300000000000001,635,random_iid_2,1270,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,635,random_iid_3,1270,0.5908,0.5517,NO,YES,absent
global,0xA300000000000001,1270,base,2540,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,1270,mask_permuted,2540,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,1270,residue_permuted,2540,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,1270,random_iid_0,2540,0.6071,0.6067,NO,YES,absent
global,0xA300000000000001,1270,random_iid_1,2540,0.5871,0.5950,NO,YES,absent
global,0xA300000000000001,1270,random_iid_2,2540,0.5871,0.5950,NO,YES,absent
global,0xA300000000000001,1270,random_iid_3,2540,0.5908,0.5517,NO,YES,absent
singleton,0xA300000000000001,8,base,16,0.5963,0.5933,NO,NO,absent
singleton,0xA300000000000001,8,mask_permuted,16,0.5888,0.5733,NO,NO,absent
singleton,0xA300000000000001,8,residue_permuted,16,0.5925,0.6150,NO,NO,absent
singleton,0xA300000000000001,8,random_iid_0,16,0.6033,0.6117,NO,NO,absent
singleton,0xA300000000000001,8,random_iid_1,16,0.5883,0.5600,NO,NO,absent
singleton,0xA300000000000001,8,random_iid_2,16,0.5742,0.5667,NO,NO,absent
singleton,0xA300000000000001,8,random_iid_3,16,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,16,base,32,0.5963,0.5933,NO,NO,absent
singleton,0xA300000000000001,16,mask_permuted,32,0.5888,0.5733,NO,NO,absent
singleton,0xA300000000000001,16,residue_permuted,32,0.5925,0.6150,NO,NO,absent
singleton,0xA300000000000001,16,random_iid_0,32,0.5933,0.5883,NO,NO,absent
singleton,0xA300000000000001,16,random_iid_1,32,0.5971,0.5983,NO,NO,absent
singleton,0xA300000000000001,16,random_iid_2,32,0.5921,0.5600,NO,NO,absent
singleton,0xA300000000000001,16,random_iid_3,32,0.6000,0.6150,NO,NO,absent
singleton,0xA300000000000001,32,base,64,0.6204,0.6700,NO,NO,absent
singleton,0xA300000000000001,32,mask_permuted,64,0.6204,0.6700,NO,NO,absent
singleton,0xA300000000000001,32,residue_permuted,64,0.5925,0.6150,NO,NO,absent
singleton,0xA300000000000001,32,random_iid_0,64,0.6433,0.6283,NO,NO,absent
singleton,0xA300000000000001,32,random_iid_1,64,0.5975,0.5417,NO,NO,absent
singleton,0xA300000000000001,32,random_iid_2,64,0.5929,0.5967,NO,NO,absent
singleton,0xA300000000000001,32,random_iid_3,64,0.6496,0.6667,NO,NO,absent
singleton,0xA300000000000001,64,base,128,0.6454,0.6717,NO,NO,absent
singleton,0xA300000000000001,64,mask_permuted,128,0.6454,0.6717,NO,NO,absent
singleton,0xA300000000000001,64,residue_permuted,128,0.6008,0.5933,NO,NO,absent
singleton,0xA300000000000001,64,random_iid_0,128,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,64,random_iid_1,128,0.6433,0.6283,NO,NO,absent
singleton,0xA300000000000001,64,random_iid_2,128,0.6267,0.6033,NO,NO,absent
singleton,0xA300000000000001,64,random_iid_3,128,0.6033,0.5883,NO,NO,absent
singleton,0xA300000000000001,128,base,256,0.6454,0.6717,NO,NO,absent
singleton,0xA300000000000001,128,mask_permuted,256,0.6454,0.6717,NO,NO,absent
singleton,0xA300000000000001,128,residue_permuted,256,0.6267,0.6033,NO,NO,absent
singleton,0xA300000000000001,128,random_iid_0,256,0.6454,0.6717,NO,NO,absent
singleton,0xA300000000000001,128,random_iid_1,256,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,128,random_iid_2,256,0.6167,0.5800,NO,NO,absent
singleton,0xA300000000000001,128,random_iid_3,256,0.6496,0.6667,NO,NO,absent
singleton,0xA300000000000001,256,base,512,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,256,mask_permuted,512,0.6454,0.6717,NO,NO,absent
singleton,0xA300000000000001,256,residue_permuted,512,0.6696,0.6867,NO,NO,absent
singleton,0xA300000000000001,256,random_iid_0,512,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,256,random_iid_1,512,0.6696,0.6867,NO,NO,absent
singleton,0xA300000000000001,256,random_iid_2,512,0.6704,0.6500,NO,NO,absent
singleton,0xA300000000000001,256,random_iid_3,512,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,635,base,1270,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,635,mask_permuted,1270,0.6696,0.6867,NO,NO,absent
singleton,0xA300000000000001,635,residue_permuted,1270,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,635,random_iid_0,1270,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,635,random_iid_1,1270,0.6696,0.6867,NO,NO,absent
singleton,0xA300000000000001,635,random_iid_2,1270,0.6704,0.6500,NO,NO,absent
singleton,0xA300000000000001,635,random_iid_3,1270,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,1270,base,2540,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,1270,mask_permuted,2540,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,1270,residue_permuted,2540,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,1270,random_iid_0,2540,0.6708,0.6700,NO,NO,absent
singleton,0xA300000000000001,1270,random_iid_1,2540,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,1270,random_iid_2,2540,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000001,1270,random_iid_3,2540,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,8,base,16,0.5321,0.4700,NO,NO,absent
multicell,0xA300000000000001,8,mask_permuted,16,0.5392,0.5617,NO,NO,absent
multicell,0xA300000000000001,8,residue_permuted,16,0.5475,0.5433,NO,NO,absent
multicell,0xA300000000000001,8,random_iid_0,16,0.5417,0.5200,NO,NO,absent
multicell,0xA300000000000001,8,random_iid_1,16,0.5313,0.5483,NO,NO,absent
multicell,0xA300000000000001,8,random_iid_2,16,0.5379,0.5517,NO,NO,absent
multicell,0xA300000000000001,8,random_iid_3,16,0.5954,0.5817,NO,NO,absent
multicell,0xA300000000000001,16,base,32,0.5904,0.5933,NO,NO,absent
multicell,0xA300000000000001,16,mask_permuted,32,0.5392,0.5617,NO,NO,absent
multicell,0xA300000000000001,16,residue_permuted,32,0.5738,0.5983,NO,NO,absent
multicell,0xA300000000000001,16,random_iid_0,32,0.5508,0.5550,NO,NO,absent
multicell,0xA300000000000001,16,random_iid_1,32,0.5358,0.5267,NO,NO,absent
multicell,0xA300000000000001,16,random_iid_2,32,0.5321,0.5867,NO,NO,absent
multicell,0xA300000000000001,16,random_iid_3,32,0.5904,0.5933,NO,NO,absent
multicell,0xA300000000000001,32,base,64,0.5904,0.5933,NO,NO,absent
multicell,0xA300000000000001,32,mask_permuted,64,0.5396,0.5033,NO,NO,absent
multicell,0xA300000000000001,32,residue_permuted,64,0.5738,0.5983,NO,NO,absent
multicell,0xA300000000000001,32,random_iid_0,64,0.5525,0.5483,NO,NO,absent
multicell,0xA300000000000001,32,random_iid_1,64,0.5321,0.5867,NO,NO,absent
multicell,0xA300000000000001,32,random_iid_2,64,0.5433,0.5317,NO,NO,absent
multicell,0xA300000000000001,32,random_iid_3,64,0.5425,0.5483,NO,NO,absent
multicell,0xA300000000000001,64,base,128,0.5904,0.5933,NO,NO,absent
multicell,0xA300000000000001,64,mask_permuted,128,0.5404,0.5550,NO,NO,absent
multicell,0xA300000000000001,64,residue_permuted,128,0.5858,0.6250,NO,NO,absent
multicell,0xA300000000000001,64,random_iid_0,128,0.5667,0.5300,NO,NO,absent
multicell,0xA300000000000001,64,random_iid_1,128,0.5433,0.5417,NO,NO,absent
multicell,0xA300000000000001,64,random_iid_2,128,0.5442,0.5617,NO,NO,absent
multicell,0xA300000000000001,64,random_iid_3,128,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,128,base,256,0.5983,0.6083,NO,NO,absent
multicell,0xA300000000000001,128,mask_permuted,256,0.5971,0.6367,NO,NO,absent
multicell,0xA300000000000001,128,residue_permuted,256,0.5858,0.6250,NO,NO,absent
multicell,0xA300000000000001,128,random_iid_0,256,0.5983,0.6083,NO,NO,absent
multicell,0xA300000000000001,128,random_iid_1,256,0.5817,0.6350,NO,NO,absent
multicell,0xA300000000000001,128,random_iid_2,256,0.5696,0.6000,NO,NO,absent
multicell,0xA300000000000001,128,random_iid_3,256,0.6096,0.6517,NO,NO,absent
multicell,0xA300000000000001,256,base,512,0.5983,0.6083,NO,NO,absent
multicell,0xA300000000000001,256,mask_permuted,512,0.5971,0.6367,NO,NO,absent
multicell,0xA300000000000001,256,residue_permuted,512,0.6004,0.5967,NO,NO,absent
multicell,0xA300000000000001,256,random_iid_0,512,0.5913,0.5633,NO,NO,absent
multicell,0xA300000000000001,256,random_iid_1,512,0.6096,0.6517,NO,NO,absent
multicell,0xA300000000000001,256,random_iid_2,512,0.5983,0.6250,NO,NO,absent
multicell,0xA300000000000001,256,random_iid_3,512,0.5779,0.5617,NO,NO,absent
multicell,0xA300000000000001,635,base,1270,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,635,mask_permuted,1270,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,635,residue_permuted,1270,0.6096,0.6517,NO,NO,absent
multicell,0xA300000000000001,635,random_iid_0,1270,0.6004,0.5967,NO,NO,absent
multicell,0xA300000000000001,635,random_iid_1,1270,0.5983,0.6083,NO,NO,absent
multicell,0xA300000000000001,635,random_iid_2,1270,0.6004,0.5967,NO,NO,absent
multicell,0xA300000000000001,635,random_iid_3,1270,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,1270,base,2540,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,1270,mask_permuted,2540,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,1270,residue_permuted,2540,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,1270,random_iid_0,2540,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,1270,random_iid_1,2540,1.0000,1.0000,YES,YES,directed
multicell,0xA300000000000001,1270,random_iid_2,2540,0.6096,0.6517,NO,NO,absent
multicell,0xA300000000000001,1270,random_iid_3,2540,1.0000,1.0000,YES,YES,directed
no_grammar,0xA300000000000001,8,base,16,0.5367,0.5183,NO,YES,absent
no_grammar,0xA300000000000001,8,mask_permuted,16,0.5300,0.5617,NO,YES,absent
no_grammar,0xA300000000000001,8,residue_permuted,16,0.5508,0.5000,NO,YES,absent
no_grammar,0xA300000000000001,8,random_iid_0,16,0.5338,0.5133,NO,YES,absent
no_grammar,0xA300000000000001,8,random_iid_1,16,0.5325,0.5750,NO,YES,absent
no_grammar,0xA300000000000001,8,random_iid_2,16,0.5363,0.5383,NO,YES,absent
no_grammar,0xA300000000000001,8,random_iid_3,16,0.5250,0.5083,NO,YES,absent
no_grammar,0xA300000000000001,16,base,32,0.5417,0.5517,NO,YES,absent
no_grammar,0xA300000000000001,16,mask_permuted,32,0.5488,0.5250,NO,YES,absent
no_grammar,0xA300000000000001,16,residue_permuted,32,0.5508,0.5000,NO,YES,absent
no_grammar,0xA300000000000001,16,random_iid_0,32,0.5521,0.4933,NO,YES,absent
no_grammar,0xA300000000000001,16,random_iid_1,32,0.5388,0.4833,NO,YES,absent
no_grammar,0xA300000000000001,16,random_iid_2,32,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,16,random_iid_3,32,0.5379,0.5350,NO,YES,absent
no_grammar,0xA300000000000001,32,base,64,0.5417,0.5517,NO,YES,absent
no_grammar,0xA300000000000001,32,mask_permuted,64,0.5488,0.5250,NO,YES,absent
no_grammar,0xA300000000000001,32,residue_permuted,64,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,32,random_iid_0,64,0.5392,0.5083,NO,YES,absent
no_grammar,0xA300000000000001,32,random_iid_1,64,0.5358,0.5417,NO,YES,absent
no_grammar,0xA300000000000001,32,random_iid_2,64,0.5392,0.5350,NO,YES,absent
no_grammar,0xA300000000000001,32,random_iid_3,64,0.5483,0.5150,NO,YES,absent
no_grammar,0xA300000000000001,64,base,128,0.5417,0.5517,NO,YES,absent
no_grammar,0xA300000000000001,64,mask_permuted,128,0.5488,0.5250,NO,YES,absent
no_grammar,0xA300000000000001,64,residue_permuted,128,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,64,random_iid_0,128,0.5521,0.4933,NO,YES,absent
no_grammar,0xA300000000000001,64,random_iid_1,128,0.5450,0.5617,NO,YES,absent
no_grammar,0xA300000000000001,64,random_iid_2,128,0.5529,0.5350,NO,YES,absent
no_grammar,0xA300000000000001,64,random_iid_3,128,0.5500,0.5617,NO,YES,absent
no_grammar,0xA300000000000001,128,base,256,0.5538,0.5117,NO,YES,absent
no_grammar,0xA300000000000001,128,mask_permuted,256,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,128,residue_permuted,256,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,128,random_iid_0,256,0.5483,0.5150,NO,YES,absent
no_grammar,0xA300000000000001,128,random_iid_1,256,0.5575,0.5583,NO,YES,absent
no_grammar,0xA300000000000001,128,random_iid_2,256,0.5504,0.5417,NO,YES,absent
no_grammar,0xA300000000000001,128,random_iid_3,256,0.5575,0.5583,NO,YES,absent
no_grammar,0xA300000000000001,256,base,512,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,256,mask_permuted,512,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,256,residue_permuted,512,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,256,random_iid_0,512,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,256,random_iid_1,512,0.5521,0.4933,NO,YES,absent
no_grammar,0xA300000000000001,256,random_iid_2,512,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,256,random_iid_3,512,0.5533,0.5583,NO,YES,absent
no_grammar,0xA300000000000001,635,base,1270,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,635,mask_permuted,1270,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,635,residue_permuted,1270,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,635,random_iid_0,1270,0.5533,0.5583,NO,YES,absent
no_grammar,0xA300000000000001,635,random_iid_1,1270,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,635,random_iid_2,1270,0.5613,0.5200,NO,YES,absent
no_grammar,0xA300000000000001,635,random_iid_3,1270,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,base,2540,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,mask_permuted,2540,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,residue_permuted,2540,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,random_iid_0,2540,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,random_iid_1,2540,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,random_iid_2,2540,0.5650,0.5717,NO,YES,absent
no_grammar,0xA300000000000001,1270,random_iid_3,2540,0.5613,0.5200,NO,YES,absent
global,0xA300000000000002,8,base,16,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,8,mask_permuted,16,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,8,residue_permuted,16,0.5538,0.5433,NO,YES,absent
global,0xA300000000000002,8,random_iid_0,16,0.5279,0.5467,NO,YES,absent
global,0xA300000000000002,8,random_iid_1,16,0.5317,0.5300,NO,YES,absent
global,0xA300000000000002,8,random_iid_2,16,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,8,random_iid_3,16,0.5300,0.5317,NO,YES,absent
global,0xA300000000000002,16,base,32,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,16,mask_permuted,32,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,16,residue_permuted,32,0.5538,0.5433,NO,YES,absent
global,0xA300000000000002,16,random_iid_0,32,0.5467,0.5400,NO,YES,absent
global,0xA300000000000002,16,random_iid_1,32,0.5346,0.5333,NO,YES,absent
global,0xA300000000000002,16,random_iid_2,32,0.5550,0.5433,NO,YES,absent
global,0xA300000000000002,16,random_iid_3,32,0.5342,0.5383,NO,YES,absent
global,0xA300000000000002,32,base,64,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,32,mask_permuted,64,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,32,residue_permuted,64,0.5538,0.5433,NO,YES,absent
global,0xA300000000000002,32,random_iid_0,64,0.5592,0.5400,NO,YES,absent
global,0xA300000000000002,32,random_iid_1,64,0.5588,0.5400,NO,YES,absent
global,0xA300000000000002,32,random_iid_2,64,0.5475,0.5500,NO,YES,absent
global,0xA300000000000002,32,random_iid_3,64,0.5475,0.5517,NO,YES,absent
global,0xA300000000000002,64,base,128,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,64,mask_permuted,128,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,64,residue_permuted,128,0.5742,0.5683,NO,YES,absent
global,0xA300000000000002,64,random_iid_0,128,0.5550,0.5433,NO,YES,absent
global,0xA300000000000002,64,random_iid_1,128,0.5458,0.5367,NO,YES,absent
global,0xA300000000000002,64,random_iid_2,128,0.5833,0.5917,NO,YES,absent
global,0xA300000000000002,64,random_iid_3,128,0.5879,0.5817,NO,YES,absent
global,0xA300000000000002,128,base,256,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,128,mask_permuted,256,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,128,residue_permuted,256,0.5833,0.5917,NO,YES,absent
global,0xA300000000000002,128,random_iid_0,256,0.5546,0.5267,NO,YES,absent
global,0xA300000000000002,128,random_iid_1,256,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,128,random_iid_2,256,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,128,random_iid_3,256,0.5804,0.5567,NO,YES,absent
global,0xA300000000000002,256,base,512,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,256,mask_permuted,512,0.5833,0.5467,NO,YES,absent
global,0xA300000000000002,256,residue_permuted,512,0.5879,0.5817,NO,YES,absent
global,0xA300000000000002,256,random_iid_0,512,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,256,random_iid_1,512,0.5867,0.6050,NO,YES,absent
global,0xA300000000000002,256,random_iid_2,512,0.5833,0.5917,NO,YES,absent
global,0xA300000000000002,256,random_iid_3,512,0.5779,0.5550,NO,YES,absent
global,0xA300000000000002,635,base,1270,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,635,mask_permuted,1270,0.5879,0.5817,NO,YES,absent
global,0xA300000000000002,635,residue_permuted,1270,0.5879,0.5817,NO,YES,absent
global,0xA300000000000002,635,random_iid_0,1270,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,635,random_iid_1,1270,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,635,random_iid_2,1270,0.5879,0.5817,NO,YES,absent
global,0xA300000000000002,635,random_iid_3,1270,0.5833,0.5917,NO,YES,absent
global,0xA300000000000002,1270,base,2540,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,1270,mask_permuted,2540,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,1270,residue_permuted,2540,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,1270,random_iid_0,2540,0.5883,0.5850,NO,YES,absent
global,0xA300000000000002,1270,random_iid_1,2540,0.5875,0.5950,NO,YES,absent
global,0xA300000000000002,1270,random_iid_2,2540,0.5879,0.5817,NO,YES,absent
global,0xA300000000000002,1270,random_iid_3,2540,0.5867,0.6050,NO,YES,absent
singleton,0xA300000000000002,8,base,16,0.5700,0.5950,NO,NO,absent
singleton,0xA300000000000002,8,mask_permuted,16,0.5750,0.5950,NO,NO,absent
singleton,0xA300000000000002,8,residue_permuted,16,0.6267,0.6317,NO,NO,absent
singleton,0xA300000000000002,8,random_iid_0,16,0.5838,0.5867,NO,NO,absent
singleton,0xA300000000000002,8,random_iid_1,16,0.6083,0.6300,NO,NO,absent
singleton,0xA300000000000002,8,random_iid_2,16,0.5667,0.5567,NO,NO,absent
singleton,0xA300000000000002,8,random_iid_3,16,0.5892,0.5417,NO,NO,absent
singleton,0xA300000000000002,16,base,32,0.5713,0.5650,NO,NO,absent
singleton,0xA300000000000002,16,mask_permuted,32,0.5917,0.6100,NO,NO,absent
singleton,0xA300000000000002,16,residue_permuted,32,0.6267,0.6317,NO,NO,absent
singleton,0xA300000000000002,16,random_iid_0,32,0.6187,0.5950,NO,NO,absent
singleton,0xA300000000000002,16,random_iid_1,32,0.6021,0.6083,NO,NO,absent
singleton,0xA300000000000002,16,random_iid_2,32,0.6267,0.6317,NO,NO,absent
singleton,0xA300000000000002,16,random_iid_3,32,0.6083,0.6300,NO,NO,absent
singleton,0xA300000000000002,32,base,64,0.6308,0.6600,NO,NO,absent
singleton,0xA300000000000002,32,mask_permuted,64,0.6308,0.6600,NO,NO,absent
singleton,0xA300000000000002,32,residue_permuted,64,0.6267,0.6317,NO,NO,absent
singleton,0xA300000000000002,32,random_iid_0,64,0.6187,0.5950,NO,NO,absent
singleton,0xA300000000000002,32,random_iid_1,64,0.6379,0.6317,NO,NO,absent
singleton,0xA300000000000002,32,random_iid_2,64,0.6242,0.6367,NO,NO,absent
singleton,0xA300000000000002,32,random_iid_3,64,0.5879,0.5383,NO,NO,absent
singleton,0xA300000000000002,64,base,128,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,64,mask_permuted,128,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,64,residue_permuted,128,0.6267,0.6317,NO,NO,absent
singleton,0xA300000000000002,64,random_iid_0,128,0.6392,0.6050,NO,NO,absent
singleton,0xA300000000000002,64,random_iid_1,128,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000002,64,random_iid_2,128,0.6308,0.6600,NO,NO,absent
singleton,0xA300000000000002,64,random_iid_3,128,0.6387,0.6283,NO,NO,absent
singleton,0xA300000000000002,128,base,256,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,128,mask_permuted,256,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,128,residue_permuted,256,0.6438,0.6267,NO,NO,absent
singleton,0xA300000000000002,128,random_iid_0,256,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000002,128,random_iid_1,256,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,128,random_iid_2,256,0.6638,0.6667,NO,NO,absent
singleton,0xA300000000000002,128,random_iid_3,256,0.6804,0.6933,NO,NO,absent
singleton,0xA300000000000002,256,base,512,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,256,mask_permuted,512,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,256,residue_permuted,512,0.6625,0.6567,NO,NO,absent
singleton,0xA300000000000002,256,random_iid_0,512,0.6804,0.6933,NO,NO,absent
singleton,0xA300000000000002,256,random_iid_1,512,1.0000,1.0000,YES,YES,directed
singleton,0xA300000000000002,256,random_iid_2,512,0.6363,0.6500,NO,NO,absent
singleton,0xA300000000000002,256,random_iid_3,512,0.6908,0.6833,NO,NO,absent
singleton,0xA300000000000002,635,base,1270,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,635,mask_permuted,1270,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,635,residue_permuted,1270,0.6792,0.6700,NO,NO,absent
singleton,0xA300000000000002,635,random_iid_0,1270,0.6625,0.6567,NO,NO,absent
singleton,0xA300000000000002,635,random_iid_1,1270,0.6908,0.6833,NO,NO,absent
singleton,0xA300000000000002,635,random_iid_2,1270,0.6792,0.6700,NO,NO,absent
