bulk,seed,round,pool_size,n_d3,n_payoff_pos,n_certified,n_stones_considered,best_payoff,event,promoted_len,agree_s1,agree_s2,f_reach,e_reach,new_f,new_e,ms
0,0xA70F,6,176,64,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,0,14763
0,0xA70F,7,573,252,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,0,50062
0,0xA70F,8,1147,153,0,0,0,0,fallback_promote,15,-1.0000,-1.0000,0,4,0,0,43185
0,0xA70F,9,268,79,0,0,0,0,fallback_promote,27,-1.0000,-1.0000,0,4,0,0,29480
0,0xA70F,10,252,107,0,0,0,0,fallback_promote,22,-1.0000,-1.0000,0,4,0,0,44558
0,0x5EED2,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
0,0x5EED2,1,206,190,0,0,0,0,fallback_promote,26,-1.0000,-1.0000,0,3,0,0,9305
0,0x5EED2,2,214,206,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,1,13403
0,0x5EED2,3,169,61,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,5,0,1,9217
0,0x5EED2,4,441,229,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,23466
0,0x5EED2,5,278,130,0,0,0,0,fallback_promote,26,-1.0000,-1.0000,0,5,0,0,19286
0,0x5EED2,6,318,105,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,20672
0,0x5EED2,7,389,176,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,5,0,0,39180
0,0x5EED2,8,235,95,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,0,5,0,0,27903
0,0x5EED2,9,340,103,0,0,0,0,fallback_promote,14,-1.0000,-1.0000,0,5,0,0,37755
0,0x5EED2,10,386,66,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,33708
1000,0x5EED2,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
1000,0x5EED2,1,1206,1185,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,0,3,0,0,30159
1000,0x5EED2,2,1214,1203,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,4,0,1,46908
1000,0x5EED2,3,1169,167,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,5,0,1,14300
1000,0x5EED2,4,1441,340,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,28950
1000,0x5EED2,5,1278,232,0,0,0,0,fallback_promote,19,-1.0000,-1.0000,0,5,0,0,26197
1000,0x5EED2,6,1318,211,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,31753
1000,0x5EED2,7,1389,289,0,0,0,0,fallback_promote,22,-1.0000,-1.0000,0,5,0,0,53370
1000,0x5EED2,8,1235,207,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,0,5,0,0,48833
1000,0x5EED2,9,1340,251,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,5,0,0,70682
1000,0x5EED2,10,1386,163,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,0,5,0,0,58957
300,0x5EED2,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
300,0x5EED2,1,506,489,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,0,3,0,0,15802
300,0x5EED2,2,514,505,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,1,22974
300,0x5EED2,3,469,90,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,5,0,1,10760
300,0x5EED2,4,741,254,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,24597
300,0x5EED2,5,578,157,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,5,0,0,21070
300,0x5EED2,6,618,144,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,23884
300,0x5EED2,7,689,208,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,5,0,0,40234
300,0x5EED2,8,535,132,0,0,0,0,fallback_promote,21,-1.0000,-1.0000,0,5,0,0,32975
300,0x5EED2,9,640,164,0,0,0,0,fallback_promote,22,-1.0000,-1.0000,0,5,0,0,49452
300,0x5EED2,10,686,102,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,5,0,0,41659
50,0xA70F,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
50,0xA70F,1,350,345,0,0,0,0,fallback_promote,17,-1.0000,-1.0000,0,3,0,0,13490
50,0xA70F,2,456,455,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,1,23348
50,0xA70F,3,294,104,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,4,0,0,11474
50,0xA70F,4,338,138,0,0,0,0,fallback_promote,16,-1.0000,-1.0000,0,4,0,0,17241
50,0xA70F,5,278,63,0,0,0,0,fallback_promote,4,-1.0000,-1.0000,0,4,0,0,12719
50,0xA70F,6,226,69,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,0,15689
50,0xA70F,7,623,254,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,0,51805
50,0xA70F,8,1197,157,0,0,0,0,fallback_promote,15,-1.0000,-1.0000,0,4,0,0,45272
50,0xA70F,9,318,81,0,0,0,0,fallback_promote,6,-1.0000,-1.0000,0,4,0,0,29863
50,0xA70F,10,302,115,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,0,4,0,0,44860
50,0x5EED2,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
50,0x5EED2,1,256,240,0,0,0,0,fallback_promote,23,-1.0000,-1.0000,0,3,0,0,10232
50,0x5EED2,2,264,256,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,4,0,1,16271
50,0x5EED2,3,219,67,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,5,0,1,9383
50,0x5EED2,4,491,233,0,0,0,0,fallback_promote,19,-1.0000,-1.0000,0,5,0,0,23949
50,0x5EED2,5,328,134,0,0,0,0,fallback_promote,20,-1.0000,-1.0000,0,5,0,0,20538
50,0x5EED2,6,368,87,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,5,0,0,18975
50,0x5EED2,7,439,149,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,5,0,0,35747
50,0x5EED2,8,285,101,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,0,5,0,0,29252
50,0x5EED2,9,390,122,0,0,0,0,fallback_promote,14,-1.0000,-1.0000,0,5,0,0,50704
50,0x5EED2,10,436,68,0,0,0,0,fallback_promote,20,-1.0000,-1.0000,0,5,0,0,37244
1000,0xA70F,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
1000,0xA70F,1,1300,1293,0,0,0,0,fallback_promote,17,-1.0000,-1.0000,0,3,0,0,33240
1000,0xA70F,2,1406,1403,0,0,0,0,fallback_promote,23,-1.0000,-1.0000,0,3,0,0,57516
1000,0xA70F,3,1244,1228,0,0,0,0,fallback_promote,6,-1.0000,-1.0000,0,4,0,1,73882
1000,0xA70F,4,1288,259,0,0,0,0,fallback_promote,16,-1.0000,-1.0000,0,4,0,0,27444
1000,0xA70F,5,1228,161,0,0,0,0,fallback_promote,20,-1.0000,-1.0000,0,4,0,0,23756
1000,0xA70F,6,1176,161,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,0,31097
1000,0xA70F,7,1573,359,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,0,77330
1000,0xA70F,8,2147,234,0,0,0,0,fallback_promote,15,-1.0000,-1.0000,0,4,0,0,68111
1000,0xA70F,9,1268,141,0,0,0,0,fallback_promote,6,-1.0000,-1.0000,0,4,0,0,50525
1000,0xA70F,10,1252,196,0,0,0,0,fallback_promote,25,-1.0000,-1.0000,0,4,0,0,76527
