seed,arm,phase,target,solved,lib_hit,label,cov,nlib_after,tax_checked_cum,tax_blocked_cum,evals_cum
0x1CEB00DA20260710,C_no_promotion,2,"P4 compose parity AND sum%7",1,1,"frozen/grown monomials",0.9246,11,0,0,395
0x1CEB00DA20260710,C_no_promotion,2,"P6 fresh Walsh chi{0x51}",1,0,"unified escalation",1.0000,12,0,0,400
0x1CEB00DA20260710,C_no_promotion,2,"P7 fresh monomial deg3",1,0,"unified escalation",1.0000,12,0,0,405
0x1CEB00DA20260710,C_no_promotion,2,"P8 fresh parity AND sum%3",0,0,"saturated",0.8434,11,0,0,756
0xBADC0FFEE0DDF00D,A_gated,1,"B1 random monomial deg2",1,0,"φ(2,3) product inner",1.0000,11,4,4,37
0xBADC0FFEE0DDF00D,A_gated,1,"B2 random monomial deg3",1,0,"χ(0x83)",1.0000,11,7,7,331
0xBADC0FFEE0DDF00D,A_gated,1,"B3 sum(g) % 7",1,0,"unified escalation",1.0000,12,8,7,339
0xBADC0FFEE0DDF00D,A_gated,1,"B4 sign%mod 11",0,0,"saturated",0.8857,12,9,8,376
0xBADC0FFEE0DDF00D,A_gated,1,"B5 Walsh χ{S=0x11}",1,0,"φ(0,4) product inner",1.0000,12,12,11,413
0xBADC0FFEE0DDF00D,A_gated,1,"B6 Walsh χ{S=0xA4}",1,0,"χ(0xA4)",1.0000,12,14,13,707
0xBADC0FFEE0DDF00D,A_gated,1,"B7 Walsh χ{S=0x0A}",1,0,"φ(1,3) product inner",1.0000,12,17,16,744
0xBADC0FFEE0DDF00D,A_gated,1,"B8 parity-of-count",1,0,"unified escalation",1.0000,13,18,16,750
0xBADC0FFEE0DDF00D,A_gated,1,"B9 oriented v1>v0",1,1,"frozen/grown monomials",1.0000,13,18,16,751
0xBADC0FFEE0DDF00D,A_gated,1,"B10 parity AND sum%5",1,1,"frozen/grown monomials",0.9080,13,18,16,752
0xBADC0FFEE0DDF00D,A_gated,1,"B11 inversion parity",1,0,"inversion→half_p(S mod 2)",1.0000,13,18,16,1074
0xBADC0FFEE0DDF00D,A_gated,2,"P1 repeat Walsh chi{0x11}",1,0,"φ(0,4) product inner",1.0000,13,21,19,1111
0xBADC0FFEE0DDF00D,A_gated,2,"P2 repeat Walsh chi{0xA4}",1,0,"χ(0xA4)",1.0000,13,23,21,1405
0xBADC0FFEE0DDF00D,A_gated,2,"P3 repeat sum%7",1,1,"frozen/grown monomials",1.0000,13,23,21,1406
0xBADC0FFEE0DDF00D,A_gated,2,"P5 repeat monomial deg2",1,0,"φ(2,3) product inner",1.0000,13,26,24,1443
0xBADC0FFEE0DDF00D,A_gated,2,"P4 compose parity AND sum%7",1,1,"frozen/grown monomials",1.0000,13,26,24,1444
0xBADC0FFEE0DDF00D,A_gated,2,"P6 fresh Walsh chi{0x51}",1,0,"χ(0x51)",1.0000,13,28,26,1738
0xBADC0FFEE0DDF00D,A_gated,2,"P7 fresh monomial deg3",1,0,"χ(0xA2)",1.0000,13,30,28,2032
0xBADC0FFEE0DDF00D,A_gated,2,"P8 fresh parity AND sum%3",1,0,"unified escalation",1.0000,14,31,28,2040
0xBADC0FFEE0DDF00D,B_current,1,"B1 random monomial deg2",1,0,"unified escalation",1.0000,12,1,0,5
0xBADC0FFEE0DDF00D,B_current,1,"B2 random monomial deg3",1,0,"unified escalation",1.0000,13,2,0,10
