pool_id,N,D,entropy,E_total,evals_actual,repeat,reach,ooc6,ooc7,has_req6,has_req7,falsification_pool_solve,falsification_solo_solve,falsification_ooc
36,2,2,1.0000,480,900,0,0.0,false,false,false,false,false,false,false
37,2,2,1.0000,480,1107,1,0.0,false,false,false,false,false,false,false
38,2,2,1.0000,480,648,2,0.0,false,false,false,false,false,false,false
39,2,2,1.0000,960,1107,0,0.0,false,false,false,false,false,false,false
40,2,2,1.0000,960,1683,1,0.0,false,false,false,false,false,false,false
41,2,2,1.0000,960,1107,2,0.0,false,false,false,false,false,false,false
42,2,2,1.0000,1920,1683,0,0.0,false,false,false,false,false,false,false
43,2,2,1.0000,1920,1431,1,0.0,false,false,false,false,false,false,false
44,2,2,1.0000,1920,1107,2,0.0,false,false,false,false,false,false,false
45,4,1,0.0000,120,1242,0,0.0,false,false,false,false,false,false,false
46,4,1,0.0000,120,342,1,0.0,false,false,false,false,false,false,false
47,4,1,0.0000,120,1242,2,0.0,false,false,false,false,false,false,false
48,4,1,0.0000,240,1566,0,0.0,false,false,false,false,false,false,false
49,4,1,0.0000,240,1170,1,0.0,false,false,false,false,false,false,false
50,4,1,0.0000,240,2322,2,0.0,false,false,false,false,false,false,false
51,4,1,0.0000,480,3474,0,0.0,false,false,false,false,false,false,false
52,4,1,0.0000,480,1170,1,0.0,false,false,false,false,false,false,false
53,4,1,0.0000,480,1566,2,0.0,false,false,false,false,false,false,false
54,4,1,0.0000,960,1170,0,0.0,false,false,false,false,false,false,false
55,4,1,0.0000,960,1170,1,0.0,false,false,false,false,false,false,false
56,4,1,0.0000,960,342,2,0.0,false,false,false,false,false,false,false
57,4,1,0.0000,1920,1566,0,0.0,false,false,false,false,false,false,false
58,4,1,0.0000,1920,3474,1,0.0,false,false,false,false,false,false,false
59,4,1,0.0000,1920,2466,2,0.0,false,false,false,false,false,false,false
60,4,2,1.0000,120,1242,0,0.0,false,false,false,false,false,false,false
61,4,2,1.0000,120,1242,1,0.0,false,false,false,false,false,false,false
62,4,2,1.0000,120,1242,2,0.0,false,false,false,false,false,false,false
63,4,2,1.0000,240,954,0,0.0,false,false,false,false,false,false,false
64,4,2,1.0000,240,1332,1,0.0,false,false,false,false,false,false,false
65,4,2,1.0000,240,2322,2,0.0,false,false,false,false,false,false,false
66,4,2,1.0000,480,2520,0,0.0,false,false,true,false,false,false,false
67,4,2,1.0000,480,2970,1,0.0,false,false,false,false,false,false,false
68,4,2,1.0000,480,2970,2,0.0,false,false,false,false,false,false,false
69,4,2,1.0000,960,756,0,1.0,false,true,false,true,false,false,false
70,4,2,1.0000,960,2970,1,0.0,false,false,false,false,false,false,false
71,4,2,1.0000,960,2970,2,0.0,false,false,false,false,false,false,false
72,4,2,1.0000,1920,954,0,0.0,false,false,false,false,false,false,false
73,4,2,1.0000,1920,1908,1,0.0,false,false,false,false,false,false,false
74,4,2,1.0000,1920,2322,2,0.0,false,false,false,false,false,false,false
75,4,3,1.5000,120,1206,0,0.0,false,false,false,false,false,false,false
76,4,3,1.5000,120,1017,1,0.0,false,false,false,false,false,false,false
77,4,3,1.5000,120,1242,2,0.0,false,false,false,false,false,false,false
78,4,3,1.5000,240,2133,0,0.0,false,false,false,false,false,false,false
79,4,3,1.5000,240,1827,1,0.0,false,false,false,false,false,false,false
80,4,3,1.5000,240,1656,2,0.0,false,false,false,false,false,false,false
81,4,3,1.5000,480,2214,0,0.0,false,false,true,false,false,false,false
82,4,3,1.5000,480,1161,1,1.0,false,true,false,true,false,false,false
83,4,3,1.5000,480,1908,2,0.0,false,false,false,false,false,false,false
84,4,3,1.5000,960,2070,0,0.0,false,false,false,false,false,false,false
85,4,3,1.5000,960,3222,1,0.0,false,false,false,false,false,false,false
86,4,3,1.5000,960,1080,2,1.0,false,true,false,true,false,false,false
87,4,3,1.5000,1920,2646,0,0.0,false,false,false,false,false,false,false
88,4,3,1.5000,1920,2493,1,0.0,false,false,true,false,false,false,false
89,4,3,1.5000,1920,1539,2,1.0,false,true,false,true,false,false,false
90,4,4,2.0000,120,1017,0,0.0,false,false,true,false,false,false,false
91,4,4,2.0000,120,1224,1,0.0,false,false,false,false,false,false,false
92,4,4,2.0000,120,1017,2,0.0,false,false,false,false,false,false,false
93,4,4,2.0000,240,1350,0,1.0,false,true,false,true,false,false,false
94,4,4,2.0000,240,1845,1,0.0,false,false,false,false,false,false,false
95,4,4,2.0000,240,1827,2,0.0,false,false,false,false,false,false,false
96,4,4,2.0000,480,2421,0,0.0,false,false,true,false,false,false,false
97,4,4,2.0000,480,1863,1,1.0,false,true,false,true,false,false,false
98,4,4,2.0000,480,2646,2,0.0,false,false,false,false,false,false,false
99,4,4,2.0000,960,1638,0,1.0,false,true,true,true,false,false,false
100,4,4,2.0000,960,2169,1,0.0,false,false,false,false,false,false,false
101,4,4,2.0000,960,1638,2,1.0,false,true,true,true,false,false,false
102,4,4,2.0000,1920,1386,0,1.0,false,true,false,true,false,false,false
103,4,4,2.0000,1920,1638,1,1.0,false,true,false,true,false,false,false
104,4,4,2.0000,1920,1962,2,0.0,false,false,true,false,false,false,false
105,8,1,0.0000,120,1836,0,0.0,false,false,false,false,false,false,false
106,8,1,0.0000,120,1116,1,0.0,false,false,false,false,false,false,false
107,8,1,0.0000,120,1836,2,0.0,false,false,false,false,false,false,false
108,8,1,0.0000,240,2772,0,0.0,false,false,false,false,false,false,false
109,8,1,0.0000,240,2772,1,0.0,false,false,false,false,false,false,false
110,8,1,0.0000,240,2772,2,0.0,false,false,false,false,false,false,false
111,8,1,0.0000,480,1116,0,0.0,false,false,false,false,false,false,false
112,8,1,0.0000,480,5076,1,0.0,false,false,false,false,false,false,false
113,8,1,0.0000,480,1116,2,0.0,false,false,false,false,false,false,false
114,8,1,0.0000,960,7380,0,0.0,false,false,false,false,false,false,false
115,8,1,0.0000,960,3564,1,0.0,false,false,false,false,false,false,false
116,8,1,0.0000,960,1116,2,0.0,false,false,false,false,false,false,false
117,8,1,0.0000,1920,7380,0,0.0,false,false,false,false,false,false,false
118,8,1,0.0000,1920,5364,1,0.0,false,false,false,false,false,false,false
119,8,1,0.0000,1920,7380,2,0.0,false,false,false,false,false,false,false
120,8,2,1.0000,120,1836,0,0.0,false,false,true,false,false,false,false
121,8,2,1.0000,120,1836,1,0.0,false,false,false,false,false,false,false
122,8,2,1.0000,120,1836,2,0.0,false,false,false,false,false,false,false
123,8,2,1.0000,240,2016,0,0.0,false,false,false,false,false,false,false
124,8,2,1.0000,240,2016,1,0.0,false,false,false,false,false,false,false
125,8,2,1.0000,240,2016,2,0.0,false,false,false,false,false,false,false
126,8,2,1.0000,480,3168,0,0.0,false,false,false,false,false,false,false
127,8,2,1.0000,480,3096,1,0.0,false,false,false,false,false,false,false
128,8,2,1.0000,480,3924,2,0.0,false,false,false,false,false,false,false
129,8,2,1.0000,960,4248,0,0.0,false,false,false,false,false,false,false
130,8,2,1.0000,960,4248,1,0.0,false,false,false,false,false,false,false
131,8,2,1.0000,960,6372,2,0.0,false,false,false,false,false,false,false
132,8,2,1.0000,1920,5076,0,0.0,false,false,false,false,false,false,false
133,8,2,1.0000,1920,4068,1,0.0,false,false,false,false,false,false,false
134,8,2,1.0000,1920,6372,2,0.0,false,false,false,false,false,false,false
135,8,3,1.5613,120,1836,0,0.0,false,false,false,false,false,false,false
136,8,3,1.5613,120,1836,1,0.0,false,false,false,false,false,false,false
137,8,3,1.5613,120,1656,2,0.0,false,false,false,false,false,false,false
138,8,3,1.5613,240,2916,0,0.0,false,false,false,false,false,false,false
139,8,3,1.5613,240,2241,1,0.0,false,false,false,false,false,false,false
140,8,3,1.5613,240,2466,2,0.0,false,false,false,false,false,false,false
141,8,3,1.5613,480,3933,0,0.0,false,false,false,false,false,false,false
142,8,3,1.5613,480,3519,1,0.0,false,false,true,false,false,false,false
143,8,3,1.5613,480,3591,2,0.0,false,false,false,false,false,false,false
144,8,3,1.5613,960,3627,0,0.0,false,false,false,false,false,false,false
145,8,3,1.5613,960,3096,1,0.0,false,false,false,false,false,false,false
146,8,3,1.5613,960,4041,2,0.0,false,false,false,false,false,false,false
147,8,3,1.5613,1920,2655,0,1.0,false,true,false,true,false,false,false
148,8,3,1.5613,1920,5058,1,0.0,false,false,false,false,false,false,false
149,8,3,1.5613,1920,6624,2,0.0,false,false,false,false,false,false,false
150,8,4,2.0000,120,1836,0,0.0,false,false,false,false,false,false,false
151,8,4,2.0000,120,1656,1,0.0,false,false,false,false,false,false,false
152,8,4,2.0000,120,1836,2,0.0,false,false,true,false,false,false,false
153,8,4,2.0000,240,2430,0,1.0,false,true,false,true,false,false,false
154,8,4,2.0000,240,2430,1,1.0,false,true,false,true,false,false,false
155,8,4,2.0000,240,2466,2,0.0,false,false,false,false,false,false,false
156,8,4,2.0000,480,3708,0,0.0,false,false,true,false,false,false,false
157,8,4,2.0000,480,3510,1,1.0,false,true,false,true,false,false,false
158,8,4,2.0000,480,4698,2,0.0,false,false,true,false,false,false,false
159,8,4,2.0000,960,3204,0,1.0,false,true,false,true,false,false,false
160,8,4,2.0000,960,3708,1,1.0,false,true,false,true,false,false,false
161,8,4,2.0000,960,4860,2,1.0,true,false,true,false,false,false,false
162,8,4,2.0000,1920,4158,0,1.0,false,true,false,true,false,false,false
163,8,4,2.0000,1920,4158,1,1.0,false,true,false,true,false,false,false
164,8,4,2.0000,1920,4662,2,1.0,false,true,false,true,false,false,false
165,8,5,2.2500,120,1656,0,1.0,false,true,false,true,false,false,false
166,8,5,2.2500,120,1746,1,0.0,false,false,true,false,false,false,false
167,8,5,2.2500,120,1746,2,0.0,false,false,true,false,false,false,false
168,8,5,2.2500,240,2448,0,1.0,false,true,false,true,false,false,false
169,8,5,2.2500,240,2466,1,0.0,false,false,true,false,false,false,false
170,8,5,2.2500,240,2430,2,1.0,false,true,true,true,false,false,false
171,8,5,2.2500,480,4203,0,0.0,false,false,true,false,false,false,false
172,8,5,2.2500,480,3798,1,1.0,false,true,false,true,false,false,false
173,8,5,2.2500,480,4122,2,0.0,false,false,true,false,false,false,false
174,8,5,2.2500,960,4464,0,1.0,false,true,true,true,false,false,false
175,8,5,2.2500,960,4608,1,0.0,false,false,true,false,false,false,false
176,8,5,2.2500,960,4608,2,0.0,false,false,true,false,false,false,false
177,8,5,2.2500,1920,4734,0,1.0,false,true,false,true,false,false,false
178,8,5,2.2500,1920,4284,1,1.0,false,true,true,true,false,false,false
179,8,5,2.2500,1920,4032,2,1.0,false,true,false,true,false,false,false
180,8,6,2.5000,120,1746,0,1.0,true,false,true,true,false,false,false
181,8,6,2.5000,120,1746,1,0.0,false,false,true,true,false,false,false
182,8,6,2.5000,120,1656,2,0.0,false,false,true,true,false,false,false
183,8,6,2.5000,240,2673,0,1.0,false,true,true,true,false,false,false
184,8,6,2.5000,240,2430,1,2.0,true,true,true,true,false,false,false
185,8,6,2.5000,240,2673,2,1.0,false,true,true,true,false,false,false
186,8,6,2.5000,480,3609,0,1.0,false,true,true,true,false,false,false
187,8,6,2.5000,480,3420,1,1.0,false,true,true,true,false,false,false
188,8,6,2.5000,480,4104,2,1.0,false,true,true,true,false,false,false
189,8,6,2.5000,960,4716,0,2.0,true,true,true,true,false,false,false
190,8,6,2.5000,960,4239,1,1.0,false,true,true,true,false,false,false
191,8,6,2.5000,960,4464,2,1.0,false,true,true,true,false,false,false
192,8,6,2.5000,1920,4464,0,1.0,false,true,true,true,false,false,false
193,8,6,2.5000,1920,4464,1,1.0,false,true,true,true,false,false,false
194,8,6,2.5000,1920,4509,2,2.0,true,true,true,true,false,false,false
195,16,1,0.0000,120,4248,0,0.0,false,false,false,false,false,false,false
196,16,1,0.0000,120,4248,1,0.0,false,false,false,false,false,false,false
197,16,1,0.0000,120,4248,2,0.0,false,false,false,false,false,false,false
198,16,1,0.0000,240,5400,0,0.0,false,false,false,false,false,false,false
199,16,1,0.0000,240,5400,1,0.0,false,false,false,false,false,false,false
200,16,1,0.0000,240,5400,2,0.0,false,false,false,false,false,false,false
201,16,1,0.0000,480,7560,0,0.0,false,false,false,false,false,false,false
202,16,1,0.0000,480,7560,1,0.0,false,false,false,false,false,false,false
203,16,1,0.0000,480,7560,2,0.0,false,false,false,false,false,false,false
204,16,1,0.0000,960,7272,0,0.0,false,false,false,false,false,false,false
205,16,1,0.0000,960,11880,1,0.0,false,false,false,false,false,false,false
206,16,1,0.0000,960,11880,2,0.0,false,false,false,false,false,false,false
207,16,1,0.0000,1920,16488,0,0.0,false,false,false,false,false,false,false
208,16,1,0.0000,1920,16488,1,0.0,false,false,false,false,false,false,false
209,16,1,0.0000,1920,16488,2,0.0,false,false,false,false,false,false,false
210,16,2,1.0000,120,4248,0,1.0,true,false,false,false,false,false,false
211,16,2,1.0000,120,4248,1,0.0,false,false,false,false,false,false,false
212,16,2,1.0000,120,4248,2,0.0,false,false,false,false,false,false,false
213,16,2,1.0000,240,5400,0,0.0,false,false,true,false,false,false,false
214,16,2,1.0000,240,5400,1,0.0,false,false,false,false,false,false,false
215,16,2,1.0000,240,5400,2,0.0,false,false,false,false,false,false,false
216,16,2,1.0000,480,7560,0,0.0,false,false,false,false,false,false,false
217,16,2,1.0000,480,5760,1,0.0,false,false,false,false,false,false,false
218,16,2,1.0000,480,7416,2,0.0,false,false,false,false,false,false,false
219,16,2,1.0000,960,8064,0,0.0,false,false,false,false,false,false,false
220,16,2,1.0000,960,11880,1,0.0,false,false,false,false,false,false,false
221,16,2,1.0000,960,11880,2,0.0,false,false,false,false,false,false,false
222,16,2,1.0000,1920,5616,0,1.0,false,true,false,true,false,false,false
223,16,2,1.0000,1920,10224,1,0.0,false,false,false,false,false,false,false
224,16,2,1.0000,1920,8064,2,0.0,false,false,false,false,false,false,false
225,16,3,1.5794,120,4140,0,0.0,false,false,false,false,false,false,false
226,16,3,1.5794,120,4158,1,0.0,false,false,true,false,false,false,false
227,16,3,1.5794,120,4158,2,0.0,false,false,false,false,false,false,false
228,16,3,1.5794,240,4950,0,1.0,false,true,false,true,false,false,false
229,16,3,1.5794,240,5400,1,0.0,false,false,true,false,false,false,false
230,16,3,1.5794,240,4950,2,1.0,false,true,false,true,false,false,false
231,16,3,1.5794,480,6435,0,0.0,false,false,false,false,false,false,false
232,16,3,1.5794,480,6345,1,1.0,false,true,false,true,false,false,false
233,16,3,1.5794,480,6435,2,0.0,false,false,false,false,false,false,false
234,16,3,1.5794,960,9207,0,0.0,false,false,false,false,false,false,false
235,16,3,1.5794,960,8910,1,0.0,false,false,false,false,false,false,false
236,16,3,1.5794,960,10935,2,0.0,false,false,true,false,false,false,false
237,16,3,1.5794,1920,10530,0,0.0,false,false,false,false,false,false,false
238,16,3,1.5794,1920,13608,1,0.0,false,false,false,false,false,false,false
239,16,3,1.5794,1920,9693,2,1.0,false,true,false,true,false,false,false
240,16,4,2.0000,120,4176,0,0.0,false,false,false,false,false,false,false
241,16,4,2.0000,120,4176,1,0.0,false,false,true,false,false,false,false
242,16,4,2.0000,120,4176,2,0.0,false,false,true,false,false,false,false
243,16,4,2.0000,240,5040,0,1.0,false,true,false,true,false,false,false
244,16,4,2.0000,240,5040,1,1.0,false,true,false,true,false,false,false
245,16,4,2.0000,240,5400,2,0.0,false,false,true,false,false,false,false
246,16,4,2.0000,480,7488,0,0.0,false,false,false,false,false,false,false
247,16,4,2.0000,480,6588,1,1.0,false,true,false,true,false,false,false
248,16,4,2.0000,480,6588,2,1.0,false,true,false,true,false,false,false
249,16,4,2.0000,960,9900,0,0.0,false,false,false,false,false,false,false
250,16,4,2.0000,960,11124,1,1.0,true,false,true,false,false,false,false
251,16,4,2.0000,960,8748,2,1.0,false,true,false,true,false,false,false
252,16,4,2.0000,1920,13572,0,0.0,false,false,true,false,false,false,false
253,16,4,2.0000,1920,11448,1,1.0,true,false,true,false,false,false,false
254,16,4,2.0000,1920,10044,2,1.0,false,true,false,true,false,false,false
255,16,5,2.3113,120,4194,0,0.0,false,false,true,false,false,false,false
256,16,5,2.3113,120,4194,1,0.0,false,false,false,true,false,false,false
257,16,5,2.3113,120,4176,2,0.0,false,false,true,false,false,false,false
258,16,5,2.3113,240,5040,0,0.0,false,false,true,false,false,false,false
259,16,5,2.3113,240,5130,1,0.0,false,false,true,false,false,false,false
260,16,5,2.3113,240,5040,2,0.0,false,false,true,false,false,false,false
261,16,5,2.3113,480,6831,0,1.0,false,true,true,true,false,false,false
262,16,5,2.3113,480,6813,1,1.0,false,true,false,true,false,false,false
263,16,5,2.3113,480,6813,2,1.0,false,true,false,true,false,false,false
264,16,5,2.3113,960,9828,0,1.0,true,false,true,false,false,false,false
265,16,5,2.3113,960,10449,1,0.0,false,false,true,false,false,false,false
266,16,5,2.3113,960,9243,2,1.0,false,true,false,true,false,false,false
267,16,5,2.3113,1920,9441,0,2.0,true,true,true,true,false,false,false
268,16,5,2.3113,1920,11169,1,0.0,false,false,true,false,false,false,false
269,16,5,2.3113,1920,9441,2,1.0,false,true,false,true,false,false,false
270,16,6,2.5613,120,4194,0,1.0,false,true,true,true,false,false,false
271,16,6,2.5613,120,4194,1,0.0,false,false,true,true,false,false,false
272,16,6,2.5613,120,4194,2,1.0,false,true,true,true,false,false,false
273,16,6,2.5613,240,5130,0,1.0,false,true,true,true,false,false,false
274,16,6,2.5613,240,5130,1,1.0,false,true,true,true,false,false,false
275,16,6,2.5613,240,5220,2,1.0,false,true,true,true,false,false,false
276,16,6,2.5613,480,7056,0,1.0,false,true,true,true,false,false,false
277,16,6,2.5613,480,6849,1,1.0,false,true,true,true,false,false,false
278,16,6,2.5613,480,6849,2,1.0,false,true,true,true,false,false,false
279,16,6,2.5613,960,9459,0,1.0,false,true,true,true,false,false,false
280,16,6,2.5613,960,9153,1,1.0,false,true,true,true,false,false,false
281,16,6,2.5613,960,9459,2,1.0,false,true,true,true,false,false,false
282,16,6,2.5613,1920,11583,0,1.0,false,true,true,true,false,false,false
283,16,6,2.5613,1920,11052,1,2.0,true,true,true,true,false,false,false
284,16,6,2.5613,1920,11007,2,1.0,false,true,true,true,false,false,false
