n,label,bits,seed_hex,learned_length,fixed_portfolio_length,fixed_simplification_length,equality_saturation_length,brute_force_length,random_length,replay_length,no_memory_length,no_probe_length,learned_delta_fixed,learned_delta_replay,learned_grammar,learned_base,learned_builds,equality_work,equality_unit,brute_work,brute_unit,random_work,random_unit,replay_work,replay_equal,equivalence_valid,reuse_calls,learned_reuse_multiplications,fixed_reuse_multiplications
393017932,HELDOUT,29,0x5D1039E7193068B4,37,37,44,39,44,44,38,37,37,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1554,1554
9056539,HELDOUT,24,0x2AE4771C23DB61D9,29,29,32,30,32,32,30,29,29,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1218,1218
111793800,HELDOUT,27,0x1189D00E951437B1,33,33,38,35,38,38,36,33,33,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1386,1386
50907832617,HELDOUT,36,0x5C36FE1EC18A337A,45,45,54,49,54,54,46,45,45,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1890,1890
1222096396,HELDOUT,31,0xE2A038DF72A68B3D,38,38,44,41,44,44,41,38,38,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1596,1596
108912250,HELDOUT,27,0xB4D01D611B744AC8,34,34,44,36,44,44,37,34,34,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1428,1428
975460087,HELDOUT,30,0x3AC48CA8C507D099,37,37,45,40,45,45,38,37,37,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1554,1554
12779222,HELDOUT,24,0x3E647A57B0B0EBF6,30,30,37,33,37,37,32,30,30,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1260,1260
2825081218,HELDOUT,32,0xB88B302B2025FAE1,38,38,42,39,42,42,40,38,38,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1596,1596
899467972997,HELDOUT,40,0x47CC3E501365AA4E,49,49,55,51,55,55,50,49,49,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2058,2058
17881871483,HELDOUT,35,0x7E87D60E146C6081,44,44,53,47,53,53,46,44,44,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1848,1848
530329198,HELDOUT,29,0x64615326A738729B,36,36,45,39,45,45,39,36,36,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1512,1512
389751675,HELDOUT,29,0x90A80B958869AEDD,36,36,45,39,45,45,38,36,36,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1512,1512
16841209300,HELDOUT,34,0x869A1B721DD8C0DF,42,42,52,46,52,52,45,42,42,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1764,1764
2029703758,HELDOUT,31,0xE4668B683E755A26,39,39,47,43,47,47,43,39,39,0,4,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1638,1638
1189643546,HELDOUT,31,0x8388E28D3174E729,37,37,42,41,42,42,38,37,37,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1554,1554
615746404947,HELDOUT,40,0x2168723AB6FE186D,50,50,57,54,57,57,51,50,50,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2100,2100
258664707559,HELDOUT,38,0x4BC5DE2CF743BA2C,46,46,59,51,59,59,51,46,46,0,5,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1932,1932
37176428,HELDOUT,26,0x861B1442EB2CBAAB,32,32,36,34,36,36,34,32,32,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1344,1344
44332775260,HELDOUT,36,0x1AD46049AC6D85C5,44,44,52,45,52,52,46,44,44,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1848,1848
314118886,HELDOUT,29,0x6DAABFE9573D24B9,36,36,41,40,41,41,38,36,36,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1512,1512
55906446598,HELDOUT,36,0x8B2EB73C79B0EFAB,43,43,47,46,47,47,44,43,43,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1806,1806
61488996,HELDOUT,26,0x07AF23A205EE82A3,33,33,39,36,39,39,35,33,33,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1386,1386
58634730991,HELDOUT,36,0xCD1C01B914CC101A,46,46,60,49,60,60,47,46,46,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1932,1932
1840361544,HELDOUT,31,0xF771C9CBD6110471,36,36,43,40,43,43,41,36,36,0,5,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1512,1512
6335494068,HELDOUT,33,0x46015DBF33F41E5A,42,42,54,45,54,54,47,42,42,0,5,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1764,1764
461415905927,HELDOUT,39,0xB491CFB9ECF7FB2E,49,49,61,52,61,61,54,49,49,0,5,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2058,2058
485378774,HELDOUT,29,0x3A1758960E2B3551,37,37,44,41,44,44,40,37,37,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1554,1554
25413781,HELDOUT,25,0x34C9909B02F28122,31,31,34,32,34,34,33,31,31,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1302,1302
1046314686377,HELDOUT,40,0x9BBFDE99FBAE8A5D,51,51,62,56,62,62,54,51,51,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2142,2142
379036360244,HELDOUT,39,0x2E6AB33392838176,46,46,54,50,54,54,49,46,46,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1932,1932
137006522,HELDOUT,28,0x6F83F47125C09039,34,34,39,38,39,39,37,34,34,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1428,1428
16760368342,HELDOUT,34,0xC8C72FD6D4E1AB50,44,44,56,45,56,56,46,44,44,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1848,1848
219363570,HELDOUT,28,0xB554FA8FD3DB7C11,35,35,40,36,40,40,37,35,35,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1470,1470
