phase,seed,lens_or_arm,target,family,deg,attempt,hit,accepted,false_accept,alias,ev_lb,ev_tb,ev_cmp,ev_k0,stat,true_stat,val_stat,consistent,rank,cov_before,cov_after,r2,tax,tax_corr,evals,note
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,8,0,0,0,0,0x00,0x63,0x0000000,0,0.0663,0.0171,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,8,0,0,0,0,0x20,0x14,0x0000000,0,0.0549,0.0337,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,8,1,0,0,0,0x09,0x06,0x0000000,0,0.1240,0.1101,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,8,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,8,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,8,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,9,0,0,0,0,0x00,0x63,0x0000000,0,0.0537,0.0040,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,9,0,0,0,0,0x20,0x14,0x0000000,0,0.0577,0.0316,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,9,1,0,0,0,0x0A,0x05,0x0000000,0,0.1183,0.1050,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,9,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,9,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
