artifact,battery,policy,virtual_ticks,heldout_material,heldout_prediction_accuracy_x100000,charged_interventions,revised_records,horizon_ticks,verdict
round_aq,AQ3,shuffled_experience,100000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,200000,500040,50004,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,300000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,400000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,500000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,600000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,700000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,800000,500040,50004,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,900000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,shuffled_experience,1000000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,100000,712710,71271,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,200000,732960,73296,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,300000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,400000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,500000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,600000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,700000,731150,73115,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,800000,714520,71452,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,900000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,answer_scrubbed,1000000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,100000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,200000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,300000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,400000,721930,72193,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,500000,723740,72374,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,600000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,700000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,800000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,900000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,fixed_generalist,1000000,740370,74037,100000,0,1000000,checkpoint
round_aq,AQ3,random,100000,497150,49715,100000,0,1000000,checkpoint
round_aq,AQ3,random,200000,500890,50089,100000,0,1000000,checkpoint
round_aq,AQ3,random,300000,500430,50043,100000,0,1000000,checkpoint
round_aq,AQ3,random,400000,502900,50290,100000,0,1000000,checkpoint
round_aq,AQ3,random,500000,499400,49940,100000,0,1000000,checkpoint
round_aq,AQ3,random,600000,502100,50210,100000,0,1000000,checkpoint
round_aq,AQ3,random,700000,499010,49901,100000,0,1000000,checkpoint
round_aq,AQ3,random,800000,499380,49938,100000,0,1000000,checkpoint
round_aq,AQ3,random,900000,499350,49935,100000,0,1000000,checkpoint
round_aq,AQ3,random,1000000,499410,49941,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,1000000,1000000,100000,100000,4,1000000,final
round_aq,AQ3,blank_fresh,1000000,762430,76243,100000,0,1000000,final
round_aq,AQ3,replay,1000000,500030,50003,100000,0,1000000,final
round_aq,AQ3,shuffled_experience,1000000,500030,50003,100000,0,1000000,final
round_aq,AQ3,answer_scrubbed,1000000,762430,76243,100000,0,1000000,final
round_aq,AQ3,fixed_generalist,1000000,712710,71271,100000,0,1000000,final
round_aq,AQ3,random,1000000,500040,50004,100000,0,1000000,final
round_aq,audit,scope,1000000,0,0,0,0,1000000,LIMIT:virtual_ticks_are_synthetic_computation_not_real_time_or_intelligence
round_aq,verdict,experience,1000000,0,0,0,0,1000000,FOUNDATION_POSITIVE:provenance_bound_experience_transfers_to_heldout_recoded_shifted_fixture_and_scrubbing_removes_advantage
