section,seed,target,round_or_gt,family_or_verdict,detail,metric_val,metric_tst,extra1,extra2
greedy_trace,0x00C2B10D20260707,RUN1,4,mono,"phi(0x30)",0.7093,0.7396,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,5,mono,"phi(0x0C)",0.7261,0.7550,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,6,mono,"phi(0x18)",0.7444,0.7652,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,7,mono,"phi(0x06)",0.7589,0.7779,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,8,spectral,"cos(w=0.942*c3)",0.7722,0.7925,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,9,mono,"phi(0x60)",0.7889,0.8051,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,10,world,"sign%4==0",0.8022,0.8180,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,11,cmp,"cmp(low6,mod5)",0.8066,0.8178,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,12,mono,"phi(0xC0)",0.8094,0.8194,regress,dedicated
gate_repro,0x00C2B10D20260707,RUN1,-,-,r2_dedicated,0.8255,,cov_dedicated,0.8783
roc,0xF0235A11CE0FF1CE,"RUN1(again,1seed)",novel,gt_novel,excl=none;K=8,0.8823,1.0000,gate_reject,-
roc_r2,0xF0235A11CE0FF1CE,"RUN1(again,1seed)",-,-,r2,0.7300,,,
roc,0xF0235A11CE0FF1CE,"RUN-var2(maxRunGE2>=4)",novel,gt_novel,excl=none;K=8,0.8686,1.0000,gate_reject,-
roc_r2,0xF0235A11CE0FF1CE,"RUN-var2(maxRunGE2>=4)",-,-,r2,0.7222,,,
roc,0xF0235A11CE0FF1CE,"RUN-var3(firstDescent>=4)",novel,gt_remix,excl=none;K=8,1.0000,1.0000,gate_reject,-
roc_r2,0xF0235A11CE0FF1CE,"RUN-var3(firstDescent>=4)",-,-,r2,0.5004,,,
roc,0xF0235A11CE0FF1CE,"RUN-var4(numLocalMax>=2)",novel,gt_novel,excl=none;K=8,0.6954,1.0000,gate_admit,-
roc_r2,0xF0235A11CE0FF1CE,"RUN-var4(numLocalMax>=2)",-,-,r2,0.2778,,,
roc,0xF0235A11CE0FF1CE,"C09(inv parity)",novel,gt_novel,excl=cmp+mixr;K=8,0.4869,1.0000,gate_admit,-
