arm,target_token,truth_audit_only,guess_audit_only,probe_calls,selection_calls,total_calls,exact_solve,enum_unique,perm_checked,policy_audit_isolated,validity
fixed,K4-16,threshold,global,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-16,threshold,global,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-16,threshold,global,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-17,adjacency,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-17,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-17,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-17,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-18,xor_control,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-18,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-18,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-18,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-19,parity_control,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-19,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-19,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-19,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-20,directed,singleton,254,346,600,YES,1270,pass,pass,pass
fixed,K4-20,directed,singleton,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-20,directed,singleton,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-20,directed,singleton,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-21,threshold,global,254,346,600,YES,1270,pass,pass,pass
fixed,K4-21,threshold,global,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-21,threshold,global,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-21,threshold,global,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-22,adjacency,singleton,254,346,600,NO,1270,pass,pass,pass
fixed,K4-22,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-22,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-22,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-23,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
fixed,K4-23,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-23,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-23,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
SUMMARY-adaptive,-,-,-,254,346,600,10/24,1270,pass,pass,pass
SUMMARY-fixed,-,-,-,254,346,600,10/24,1270,pass,pass,pass
SUMMARY-random_iid,-,-,-,254,346,600,9/24,1270,pass,pass,pass
SUMMARY-blind_coverage,-,-,-,254,346,600,10/24,1270,pass,pass,pass
