protocol,arm,stage,opaque_token,public_trace,candidate,split,example_index,charged_call,outcome,detail
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,1,2,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,2,3,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,2,3,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,3,4,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,3,4,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,4,5,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,4,5,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,5,6,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,5,6,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,6,7,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,6,7,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,7,8,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,7,8,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,8,9,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,8,9,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,9,10,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,9,10,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,10,11,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,10,11,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,11,12,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,11,12,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,12,13,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,12,13,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,13,14,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,13,14,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,14,15,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,14,15,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,15,16,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,15,16,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,16,17,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,16,17,not_scored,equal_budget_pretest
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,0,18,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,0,18,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,0,18,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,1,19,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,1,19,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,1,19,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,2,20,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,2,20,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,2,20,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,3,21,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,3,21,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,3,21,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,4,22,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,4,22,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,4,22,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,5,23,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,5,23,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,5,23,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,6,24,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,6,24,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,6,24,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,7,25,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,7,25,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,7,25,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,8,26,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,8,26,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,8,26,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,9,27,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,9,27,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,9,27,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,10,28,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,10,28,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,10,28,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-A8,7:2,bit0_zero,test,11,29,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-A8,7:2,existing_menu,test,11,29,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-A8,7:2,bit0_zero,test,11,29,sealed,equal_cost_blind
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,0,1,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,1,2,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,2,3,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,3,4,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,4,5,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,5,6,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,6,7,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_zero,train,7,8,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,0,9,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,1,10,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,2,11,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,3,12,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,4,13,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,5,14,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,6,15,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-V3,2:7,bit1_one,train,7,16,aggregate_train_reply,
round_m_m5,closed_loop,frozen_choice,M5-V3,2:7,bit1_one,train,-1,17,frozen,scores=0:8;after_state_reload
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,0,1,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,0,1,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,1,2,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,1,2,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,2,3,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,2,3,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,3,4,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,3,4,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,4,5,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,4,5,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,5,6,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,5,6,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,6,7,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,6,7,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,7,8,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,7,8,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,8,9,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,8,9,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,9,10,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,9,10,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,10,11,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,10,11,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,11,12,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,11,12,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,12,13,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,12,13,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,13,14,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,13,14,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,14,15,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,14,15,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,15,16,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,15,16,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-V3,2:7,existing_menu,train,16,17,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-V3,2:7,bit0_zero,train,16,17,not_scored,equal_budget_pretest
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,0,18,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,0,18,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,0,18,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,1,19,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,1,19,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,1,19,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,2,20,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,2,20,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,2,20,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,3,21,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,3,21,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,3,21,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,4,22,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,4,22,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,4,22,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,5,23,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,5,23,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,5,23,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,6,24,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,6,24,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,6,24,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,7,25,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,7,25,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,7,25,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,8,26,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,8,26,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,8,26,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,9,27,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,9,27,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,9,27,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,10,28,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,10,28,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,10,28,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-V3,2:7,bit1_one,test,11,29,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-V3,2:7,existing_menu,test,11,29,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-V3,2:7,bit0_zero,test,11,29,sealed,equal_cost_blind
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,0,1,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,1,2,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,2,3,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,3,4,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,4,5,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,5,6,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,6,7,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_zero,train,7,8,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,0,9,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,1,10,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,2,11,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,3,12,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,4,13,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,5,14,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,6,15,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-C1,7:2,bit0_one,train,7,16,aggregate_train_reply,
round_m_m5,closed_loop,frozen_choice,M5-C1,7:2,bit0_zero,train,-1,17,frozen,scores=8:0;after_state_reload
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,0,1,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,0,1,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,1,2,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,1,2,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,2,3,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,2,3,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,3,4,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,3,4,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,4,5,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,4,5,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,5,6,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,5,6,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,6,7,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,6,7,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,7,8,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,7,8,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,8,9,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,8,9,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,9,10,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,9,10,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,10,11,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,10,11,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,11,12,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,11,12,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,12,13,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,12,13,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,13,14,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,13,14,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,14,15,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,14,15,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,15,16,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,15,16,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-C1,7:2,existing_menu,train,16,17,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-C1,7:2,bit0_zero,train,16,17,not_scored,equal_budget_pretest
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,0,18,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,0,18,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,0,18,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,1,19,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,1,19,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,1,19,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,2,20,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,2,20,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,2,20,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,3,21,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,3,21,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,3,21,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,4,22,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,4,22,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,4,22,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,5,23,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,5,23,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,5,23,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,6,24,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,6,24,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,6,24,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,7,25,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,7,25,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,7,25,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,8,26,sealed,frozen_before_test
round_m_m5,fixed_menu,fresh_test,M5-C1,7:2,existing_menu,test,8,26,sealed,equal_cost_frozen_menu
round_m_m5,blind,fresh_test,M5-C1,7:2,bit0_zero,test,8,26,sealed,equal_cost_blind
round_m_m5,closed_loop,fresh_test,M5-C1,7:2,bit0_zero,test,9,27,sealed,frozen_before_test
