attack,item,detail,depth,n_streams,L,threshold,trials,m1,m2,m3,m4,witness,note
A3_seedflip,dc_base5_d6,killtest,6,8,28,0.950,64,0.000000,0.683036,0.857143,0.937500,"",""
A3_seedflip,dc_base5_d7,killtest,7,8,28,0.950,32,0.000000,0.772321,0.866071,0.937500,"",""
A3_seedflip,dc_base5_d8,killtest,8,8,28,0.950,16,0.000000,0.785714,0.834821,0.937500,"",""
A3_seedflip,dc_finalA70F_d3,killtest,3,8,28,0.950,100,0.000000,0.575893,0.750000,0.830357,"",""
A3_seedflip,dc_finalA70F_d4,killtest,4,8,28,0.950,16,0.000000,0.683036,0.750000,0.848214,"",""
A3_seedflip,dc_final5EED2_d3,killtest,3,8,28,0.950,100,0.000000,0.575893,0.750000,0.830357,"",""
A3_seedflip,dc_final5EED2_d4,killtest,4,8,28,0.950,16,0.000000,0.683036,0.750000,0.866071,"",""
A3_witness,inv8_prefix_d4_[5,9,6,0],known_flip_witness,4,8,28,0.950,100,100.000000,1.000000,1.000000,1.000000,"","pass count across 100 seeds; m4=exact on 64x256"
A3_witness,inv0_minus_self_[5,9,10],known_flip_witness,3,8,28,0.950,100,100.000000,1.000000,1.000000,1.000000,"","pass count across 100 seeds; m4=exact on 64x256"
A3_witness,inv5_minus_self_[10,5,11],known_flip_witness,3,8,28,0.950,100,100.000000,1.000000,1.000000,1.000000,"","pass count across 100 seeds; m4=exact on 64x256"
A4_roc,n8_L28,labeled_pairs,0,8,28,0.950,12445,0.001277,0.854545,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n8_L28,labeled_pairs,0,8,28,0.970,12445,0.000000,0.090909,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n8_L28,labeled_pairs,0,8,28,0.990,12445,0.000000,0.054545,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
A4_roc,n8_L28,labeled_pairs,0,8,28,1.000,12445,0.000000,0.036364,1.000000,1.000000,"","m1=FE_rate(DIFF pass) m2=GRAY pass m3=det EQ0 m4=det EQSYN"
