protocol,stage,opaque_token,public_trace,candidate,split,example_index,correct,charged_call,detail
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,9,0,85,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,10,0,86,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,11,0,87,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,12,0,88,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,13,0,89,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,14,0,90,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,15,0,91,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,16,0,92,equal_cost_padding
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,0,1,93,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,0,1,94,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,1,1,95,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,1,0,96,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,2,1,97,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,2,0,98,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,3,1,99,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,3,1,100,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,4,1,101,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,4,1,102,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,5,1,103,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,5,0,104,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,6,1,105,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,6,0,106,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,7,1,107,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,7,1,108,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,8,1,109,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,8,1,110,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,9,1,111,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,9,0,112,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,10,1,113,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,10,0,114,equal_cost_control
round_m_m4,fresh_test,M4-H2,3:9,bit1_one,test,11,1,115,frozen_before_test
round_m_m4,baseline_test,M4-H2,3:9,existing_menu,test,11,1,116,equal_cost_control
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,0,1,117,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,1,1,118,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,2,1,119,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,3,1,120,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,4,1,121,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,5,1,122,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,6,1,123,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_zero,train,7,1,124,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,0,0,125,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,1,0,126,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,2,0,127,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,3,0,128,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,4,0,129,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,5,0,130,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,6,0,131,aggregate_train_only
round_m_m4,train_query,M4-W9,9:3,bit0_one,train,7,0,132,aggregate_train_only
round_m_m4,frozen_choice,M4-W9,9:3,bit0_zero,train,-1,1,133,scores=8:0;before_fresh_test
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,0,0,134,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,1,0,135,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,2,0,136,equal_cost_padding
round_m_m4,baseline_padding,M4-W9,9:3,existing_menu,train,3,0,137,equal_cost_padding
