split,seed,arm,grammar,mask,modulus,residue,base_rate,fixed_menu_val,random_val,selected_val,test_acc,reconstruction_proxy_test,validity
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,22,2,0,0.2911,,,0.4914,0.4971,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,22,2,1,0.2911,,,0.5086,0.5029,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,22,3,0,0.2911,,,0.5486,0.5800,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,22,3,1,0.2911,,,0.5663,0.5520,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,22,3,2,0.2911,,,0.5766,0.5783,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,23,2,0,0.2911,,,0.4691,0.4669,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,23,2,1,0.2911,,,0.5309,0.5331,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,23,3,0,0.2911,,,0.5497,0.5606,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,23,3,1,0.2911,,,0.5691,0.5754,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,23,3,2,0.2911,,,0.5726,0.5743,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,24,2,0,0.2911,,,0.4611,0.4389,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,24,2,1,0.2911,,,0.5389,0.5611,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,24,3,0,0.2911,,,0.5863,0.6171,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,24,3,1,0.2911,,,0.5120,0.5143,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,24,3,2,0.2911,,,0.5931,0.5789,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,25,2,0,0.2911,,,0.4600,0.4526,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,25,2,1,0.2911,,,0.5400,0.5474,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,25,3,0,0.2911,,,0.5823,0.5526,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,25,3,1,0.2911,,,0.5640,0.5509,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,25,3,2,0.2911,,,0.5451,0.6069,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,26,2,0,0.2911,,,0.4589,0.4417,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,26,2,1,0.2911,,,0.5411,0.5583,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,26,3,0,0.2911,,,0.5726,0.5737,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,26,3,1,0.2911,,,0.5703,0.5709,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,26,3,2,0.2911,,,0.5486,0.5657,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,27,2,0,0.2911,,,0.4783,0.4651,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,27,2,1,0.2911,,,0.5217,0.5349,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,27,3,0,0.2911,,,0.5360,0.5326,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,27,3,1,0.2911,,,0.6091,0.5989,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,27,3,2,0.2911,,,0.5463,0.5789,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,28,2,0,0.2911,,,0.4657,0.4600,,RAW
