row,cap,seed_idx,grid_seed,battery_seed,target_idx,target_kind,target_solved,target_source,solves,total,evals_consumed,promos_checked,novel_strict,survivors_v4,remix_blocked,final_nlib,prep_sec,battery_sec,prep_cpu_sec,battery_cpu_sec
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,0,base,,,0,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,0,base,,,0,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,0,base,,,0,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,0,base,,,0,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,0,base,,,0,,,,,,,,,
run,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,10,11,50,8,2,8,0,19,3.076,18.270,3.074,17.918
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,1,forge,,,5,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,1,world,,,8,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,1,base,,,1,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,1,base,,,1,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,48,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,0,base,,,0,,,,,,,,,
run,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,11,11,372,8,2,8,0,19,3.148,22.834,3.100,22.355
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,1,forge,,,5,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,1,world,,,8,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,1,base,,,1,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,1,base,,,1,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,96,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,11,11,372,8,2,8,0,19,3.069,22.894,3.067,22.398
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,1,forge,,,5,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,1,world,,,8,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,1,base,,,1,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,1,base,,,1,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,384,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,11,11,372,8,2,8,0,19,3.084,21.943,3.069,21.886
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,1,world,,,8,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,1,base,,,1,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,1,base,,,1,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,1536,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,1,11,6,1,0,1,0,12,3.051,1.577,3.041,1.576
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,0,base,,,1,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,6,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,0,base,,,0,,,,,,,,,
run,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,3,11,18,3,1,3,0,14,3.033,9.748,3.030,9.693
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,1,forge,,,5,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,1,world,,,8,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,12,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,0,base,,,0,,,,,,,,,
run,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,5,11,24,4,1,4,0,15,3.096,10.538,3.066,10.419
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,1,forge,,,5,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,1,world,,,8,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,1,base,,,1,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,0,base,,,0,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,0,base,,,0,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,0,base,,,0,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,0,base,,,0,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,24,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,0,base,,,0,,,,,,,,,
run,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,10,11,50,8,3,8,0,19,3.253,21.473,3.089,21.364
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,1,forge,,,5,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,1,world,,,8,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,1,base,,,1,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,1,base,,,1,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,48,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,0,base,,,0,,,,,,,,,
run,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,11,11,372,8,3,8,0,19,3.092,26.242,3.059,25.898
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,1,forge,,,5,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,1,world,,,8,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,1,base,,,1,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,1,base,,,1,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,96,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,11,11,372,8,3,8,0,19,3.019,25.977,3.019,25.815
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,1,forge,,,5,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,1,world,,,8,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,1,base,,,1,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,1,base,,,1,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,384,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,,,,,11,11,372,8,3,8,0,19,3.028,26.000,3.028,25.890
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,0,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,1,random_monomial,1,forge,,,5,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,2,sum_mod,1,world,,,8,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,3,sign_mod,1,base,,,1,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,8,oriented,1,base,,,1,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,1536,1,0xA5A5A5A5DEADBEEF,0x1234567890ABCDEF,10,inversion_parity,1,menu,,,322,,,,,,,,,
run,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,1,11,6,1,0,1,0,12,3.066,1.599,3.063,1.598
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,0,base,,,1,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,6,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,0,base,,,0,,,,,,,,,
run,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,3,11,18,3,1,3,0,14,3.069,9.829,3.066,9.789
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,1,forge,,,5,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,1,world,,,8,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,12,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,0,base,,,0,,,,,,,,,
run,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,5,11,24,4,1,4,0,15,3.077,10.664,3.074,10.547
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,1,forge,,,5,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,1,world,,,8,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,1,base,,,1,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,0,base,,,0,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,0,base,,,0,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,0,base,,,0,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,0,base,,,0,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,24,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,0,base,,,0,,,,,,,,,
run,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,,,,,10,11,50,8,2,8,0,19,3.216,17.867,3.094,17.746
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,0,random_monomial,1,forge,,,5,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,1,random_monomial,1,forge,,,5,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,2,sum_mod,1,world,,,8,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,3,sign_mod,1,base,,,1,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,4,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,5,walsh_subset,1,walsh,,,6,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,6,walsh_subset,1,pair,,,5,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,7,parity_of_count,1,walsh,,,6,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,8,oriented,1,base,,,1,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,9,composed_parity_and_sum,1,world,,,8,,,,,,,,,
target,48,2,0xC0FFEE1234567890,0xFACEB00CDEADF00D,10,inversion_parity,0,base,,,0,,,,,,,,,
