iter,T,value,min_pair,best_value,best_min_pair,accepted
337,4.0812,960,17,965,17,1
338,4.0731,960,17,965,17,0
339,4.0650,960,17,965,17,1
340,4.0569,960,17,965,17,1
341,4.0488,960,17,965,17,1
342,4.0407,960,17,965,17,1
343,4.0326,960,17,965,17,0
344,4.0246,960,17,965,17,1
345,4.0165,960,17,965,17,0
346,4.0085,960,17,965,17,1
347,4.0005,960,17,965,17,1
348,3.9926,960,17,965,17,1
349,3.9846,960,17,965,17,1
350,3.9766,960,17,965,17,1
351,3.9687,960,17,965,17,0
352,3.9608,960,17,965,17,1
353,3.9529,960,17,965,17,1
354,3.9450,960,17,965,17,1
355,3.9371,960,17,965,17,1
356,3.9293,960,17,965,17,1
357,3.9214,960,17,965,17,1
358,3.9136,960,17,965,17,1
359,3.9058,960,17,965,17,1
360,3.8980,955,20,965,17,1
361,3.8902,955,20,965,17,1
362,3.8825,955,20,965,17,1
363,3.8747,955,20,965,17,1
364,3.8670,955,20,965,17,1
365,3.8593,955,20,965,17,1
366,3.8516,955,20,965,17,0
367,3.8439,955,20,965,17,1
368,3.8362,955,20,965,17,1
369,3.8286,955,20,965,17,1
370,3.8209,955,20,965,17,1
371,3.8133,955,20,965,17,1
372,3.8057,955,20,965,17,1
373,3.7981,955,20,965,17,1
374,3.7905,955,20,965,17,1
375,3.7830,955,20,965,17,0
376,3.7754,955,20,965,17,1
377,3.7679,955,20,965,17,1
378,3.7604,955,20,965,17,1
379,3.7529,955,20,965,17,1
380,3.7454,955,20,965,17,1
381,3.7379,955,20,965,17,0
382,3.7304,955,20,965,17,0
383,3.7230,955,20,965,17,1
384,3.7156,955,20,965,17,1
385,3.7082,955,20,965,17,1
386,3.7008,955,20,965,17,1
387,3.6934,955,20,965,17,1
388,3.6860,955,20,965,17,0
389,3.6787,955,20,965,17,1
390,3.6713,955,20,965,17,1
391,3.6640,955,20,965,17,0
392,3.6567,955,20,965,17,1
393,3.6494,955,20,965,17,1
394,3.6421,955,20,965,17,0
395,3.6348,955,20,965,17,1
396,3.6276,955,20,965,17,1
397,3.6204,955,20,965,17,1
398,3.6131,955,20,965,17,1
399,3.6059,955,20,965,17,1
400,3.5987,955,30,965,17,1
401,3.5915,955,30,965,17,1
402,3.5844,955,30,965,17,1
403,3.5772,955,30,965,17,1
404,3.5701,955,30,965,17,1
405,3.5630,955,30,965,17,1
406,3.5559,955,30,965,17,1
407,3.5488,955,30,965,17,1
408,3.5417,955,30,965,17,1
409,3.5346,955,30,965,17,1
410,3.5276,955,30,965,17,1
411,3.5205,955,30,965,17,1
412,3.5135,955,30,965,17,1
413,3.5065,954,26,965,17,1
414,3.4995,954,26,965,17,1
415,3.4925,954,26,965,17,1
416,3.4855,954,26,965,17,1
417,3.4786,954,26,965,17,1
418,3.4717,954,26,965,17,1
419,3.4647,954,26,965,17,1
420,3.4578,954,26,965,17,1
421,3.4509,954,26,965,17,0
422,3.4440,954,26,965,17,1
423,3.4372,954,26,965,17,1
424,3.4303,954,26,965,17,1
425,3.4235,954,26,965,17,1
426,3.4166,954,26,965,17,1
427,3.4098,954,26,965,17,1
428,3.4030,954,26,965,17,1
429,3.3962,954,26,965,17,1
430,3.3894,954,26,965,17,1
431,3.3827,954,26,965,17,1
432,3.3759,954,26,965,17,1
433,3.3692,954,26,965,17,1
434,3.3625,954,26,965,17,1
435,3.3558,954,26,965,17,0
436,3.3491,954,26,965,17,1
437,3.3424,954,26,965,17,1
438,3.3357,954,26,965,17,1
439,3.3291,954,26,965,17,1
440,3.3224,954,26,965,17,1
441,3.3158,954,26,965,17,0
442,3.3092,954,26,965,17,1
443,3.3026,954,26,965,17,1
444,3.2960,954,26,965,17,0
445,3.2894,954,26,965,17,1
446,3.2828,954,26,965,17,1
447,3.2763,954,26,965,17,0
448,3.2698,954,26,965,17,0
449,3.2632,954,26,965,17,0
450,3.2567,954,26,965,17,0
451,3.2502,954,26,965,17,0
452,3.2437,954,26,965,17,1
453,3.2373,954,26,965,17,1
454,3.2308,954,26,965,17,0
455,3.2244,954,26,965,17,1
456,3.2179,954,26,965,17,1
457,3.2115,954,26,965,17,1
458,3.2051,954,26,965,17,1
459,3.1987,954,26,965,17,1
460,3.1923,954,26,965,17,1
461,3.1860,954,26,965,17,1
462,3.1796,954,26,965,17,1
463,3.1733,950,26,965,17,1
464,3.1669,950,26,965,17,1
465,3.1606,950,26,965,17,1
466,3.1543,950,26,965,17,1
467,3.1480,950,26,965,17,1
468,3.1417,950,26,965,17,1
469,3.1355,950,26,965,17,1
470,3.1292,950,26,965,17,1
471,3.1230,950,26,965,17,1
472,3.1167,950,26,965,17,1
473,3.1105,950,26,965,17,1
474,3.1043,950,26,965,17,1
475,3.0981,950,26,965,17,1
476,3.0919,950,26,965,17,1
477,3.0858,950,26,965,17,1
478,3.0796,950,26,965,17,1
479,3.0735,950,26,965,17,1
480,3.0673,950,26,965,17,1
481,3.0612,950,26,965,17,1
482,3.0551,950,26,965,17,1
483,3.0490,950,26,965,17,1
484,3.0429,950,26,965,17,1
485,3.0369,950,26,965,17,1
486,3.0308,950,26,965,17,1
487,3.0247,950,26,965,17,1
488,3.0187,950,26,965,17,0
489,3.0127,950,26,965,17,1
490,3.0067,950,26,965,17,1
491,3.0007,950,26,965,17,0
492,2.9947,950,26,965,17,1
493,2.9887,950,26,965,17,1
494,2.9828,954,26,965,17,1
495,2.9768,954,26,965,17,1
496,2.9709,954,26,965,17,1
497,2.9649,954,26,965,17,0
498,2.9590,954,26,965,17,1
499,2.9531,954,26,965,17,1
500,2.9472,954,26,965,17,1
501,2.9413,954,26,965,17,0
502,2.9355,954,26,965,17,1
503,2.9296,954,26,965,17,1
504,2.9238,954,26,965,17,1
505,2.9179,954,26,965,17,1
506,2.9121,954,26,965,17,0
507,2.9063,954,26,965,17,1
508,2.9005,959,26,965,17,1
509,2.8947,959,26,965,17,1
510,2.8889,959,26,965,17,1
511,2.8832,959,26,965,17,1
512,2.8774,959,26,965,17,0
513,2.8717,959,26,965,17,1
514,2.8660,959,26,965,17,1
515,2.8602,959,26,965,17,1
516,2.8545,959,26,965,17,1
517,2.8488,959,26,965,17,1
518,2.8432,959,26,965,17,1
519,2.8375,959,26,965,17,1
520,2.8318,959,26,965,17,1
521,2.8262,959,26,965,17,1
522,2.8205,959,26,965,17,0
523,2.8149,959,26,965,17,1
524,2.8093,959,26,965,17,1
525,2.8037,959,26,965,17,1
526,2.7981,959,26,965,17,1
527,2.7925,959,26,965,17,1
528,2.7869,959,26,965,17,1
529,2.7814,959,26,965,17,1
530,2.7758,959,26,965,17,1
531,2.7703,959,26,965,17,1
532,2.7648,959,26,965,17,1
533,2.7592,959,26,965,17,1
534,2.7537,959,26,965,17,1
535,2.7482,959,26,965,17,1
536,2.7428,959,26,965,17,1
537,2.7373,959,26,965,17,1
538,2.7318,959,26,965,17,1
539,2.7264,959,26,965,17,1
540,2.7209,959,26,965,17,1
541,2.7155,959,26,965,17,1
542,2.7101,959,26,965,17,1
543,2.7047,959,26,965,17,1
544,2.6993,959,26,965,17,1
545,2.6939,959,26,965,17,0
546,2.6885,959,26,965,17,1
547,2.6832,959,26,965,17,1
548,2.6778,959,26,965,17,0
549,2.6725,959,26,965,17,1
550,2.6671,959,26,965,17,1
551,2.6618,959,26,965,17,1
552,2.6565,959,26,965,17,1
553,2.6512,959,26,965,17,0
554,2.6459,959,26,965,17,1
555,2.6406,959,26,965,17,1
556,2.6354,959,26,965,17,1
557,2.6301,959,26,965,17,0
558,2.6249,959,26,965,17,1
559,2.6196,959,26,965,17,1
560,2.6144,959,26,965,17,1
561,2.6092,959,26,965,17,0
562,2.6040,959,26,965,17,1
563,2.5988,959,26,965,17,1
564,2.5936,959,26,965,17,1
565,2.5884,959,26,965,17,0
566,2.5833,959,26,965,17,1
567,2.5781,959,26,965,17,1
568,2.5730,959,26,965,17,1
569,2.5678,959,26,965,17,1
570,2.5627,959,26,965,17,0
571,2.5576,959,26,965,17,1
572,2.5525,959,26,965,17,0
573,2.5474,959,26,965,17,1
574,2.5423,959,26,965,17,1
575,2.5372,959,26,965,17,1
576,2.5322,959,26,965,17,0
577,2.5271,959,26,965,17,1
578,2.5221,959,26,965,17,1
579,2.5171,959,26,965,17,1
580,2.5120,959,26,965,17,1
581,2.5070,959,26,965,17,1
582,2.5020,959,26,965,17,1
583,2.4970,959,26,965,17,0
584,2.4920,959,26,965,17,1
585,2.4871,959,26,965,17,1
586,2.4821,959,26,965,17,1
587,2.4772,959,26,965,17,1
588,2.4722,959,26,965,17,1
589,2.4673,959,26,965,17,1
590,2.4624,959,26,965,17,1
591,2.4574,959,26,965,17,0
592,2.4525,959,26,965,17,1
593,2.4477,959,26,965,17,1
594,2.4428,959,26,965,17,1
595,2.4379,959,22,965,17,1
596,2.4330,959,22,965,17,1
597,2.4282,959,22,965,17,1
598,2.4233,959,22,965,17,1
599,2.4185,955,26,965,17,1
600,2.4137,955,26,965,17,1
601,2.4089,955,26,965,17,1
602,2.4040,955,26,965,17,1
603,2.3993,955,26,965,17,1
604,2.3945,955,26,965,17,1
605,2.3897,955,26,965,17,1
606,2.3849,955,26,965,17,1
607,2.3802,955,26,965,17,1
608,2.3754,955,26,965,17,1
609,2.3707,955,26,965,17,1
610,2.3659,955,26,965,17,1
611,2.3612,955,26,965,17,1
612,2.3565,955,26,965,17,1
613,2.3518,955,26,965,17,1
614,2.3471,955,26,965,17,1
615,2.3424,955,26,965,17,1
616,2.3378,955,26,965,17,1
617,2.3331,955,26,965,17,1
618,2.3284,955,26,965,17,1
619,2.3238,955,26,965,17,1
620,2.3192,955,26,965,17,1
621,2.3145,955,26,965,17,1
622,2.3099,955,26,965,17,0
623,2.3053,955,26,965,17,1
624,2.3007,955,26,965,17,1
625,2.2961,955,26,965,17,1
626,2.2915,955,26,965,17,0
627,2.2870,955,26,965,17,0
628,2.2824,955,26,965,17,1
