layer,token,stream,e0,e1,e2,e3,e4,e5
30,6,0,113,110,141,66,208,344
30,6,1,104,226,271,193,258,225
30,7,0,140,37,132,60,283,244
30,7,1,140,37,261,65,283,44
31,0,0,115,152,248,64,223,200
31,0,1,152,223,292,150,12,326
31,1,0,325,265,71,156,248,166
31,1,1,369,159,166,289,325,249
31,2,0,374,334,339,248,265,185
31,2,1,365,334,286,147,71,295
31,3,0,192,115,159,72,338,106
31,3,1,2,273,350,368,72,147
31,4,0,79,333,326,338,50,71
31,4,1,79,2,5,248,355,338
31,5,0,134,259,12,258,304,292
31,5,1,259,176,355,60,369,12
31,6,0,248,366,12,72,44,200
31,6,1,144,72,61,133,221,366
31,7,0,106,192,145,369,304,29
31,7,1,71,29,145,304,2,144
32,0,0,63,362,179,23,187,79
32,0,1,63,362,216,352,104,51
32,1,0,334,307,4,229,251,335
32,1,1,274,1,155,91,305,250
32,2,0,8,211,339,115,249,274
32,2,1,382,308,347,227,325,257
32,3,0,63,366,127,57,156,6
32,3,1,182,274,261,123,6,239
32,4,0,321,274,146,138,346,6
32,4,1,274,321,33,189,179,146
32,5,0,274,63,156,362,366,166
32,5,1,274,166,176,61,156,232
32,6,0,33,292,289,176,256,240
32,6,1,367,25,191,270,66,104
32,7,0,176,91,63,193,234,367
32,7,1,176,3,59,367,109,322
33,0,0,61,48,238,263,111,283
33,0,1,38,307,48,229,342,291
33,1,0,135,133,33,244,286,183
33,1,1,379,177,217,183,103,143
33,2,0,289,202,172,127,81,150
33,2,1,177,167,64,274,216,81
33,3,0,358,81,238,104,48,127
33,3,1,358,81,333,331,117,288
33,4,0,77,48,380,23,31,58
33,4,1,77,48,135,229,80,347
33,5,0,345,177,24,335,354,236
33,5,1,345,177,3,335,354,117
33,6,0,151,221,375,177,344,118
33,6,1,246,311,177,277,356,149
33,7,0,261,352,229,37,149,157
33,7,1,260,352,343,215,183,263
34,0,0,16,179,171,366,126,198
34,0,1,16,187,179,148,366,116
34,1,0,179,165,16,368,204,325
34,1,1,179,16,165,196,89,249
34,2,0,179,16,261,339,360,219
34,2,1,179,16,264,238,323,150
34,3,0,218,145,306,46,371,322
34,3,1,179,371,58,165,159,306
34,4,0,16,179,219,253,114,99
34,4,1,179,114,41,192,382,108
34,5,0,128,108,342,99,314,322
34,5,1,128,155,322,175,314,238
34,6,0,210,382,225,379,2,251
34,6,1,82,258,352,125,331,91
34,7,0,347,16,216,258,379,179
34,7,1,253,16,258,177,383,187
35,0,0,363,201,104,184,316,218
35,0,1,184,362,303,44,139,1
35,1,0,217,374,363,142,98,182
35,1,1,143,374,272,142,174,156
35,2,0,248,321,379,334,161,95
35,2,1,368,363,139,163,20,92
35,3,0,265,363,53,290,117,360
35,3,1,265,363,191,368,343,15
35,4,0,363,320,234,53,228,56
35,4,1,45,320,12,363,56,202
35,5,0,62,200,191,159,240,380
35,5,1,159,363,174,215,197,253
35,6,0,168,149,134,104,187,337
35,6,1,216,168,368,232,174,345
35,7,0,320,363,140,152,379,229
35,7,1,320,190,372,277,367,187
36,0,0,90,315,101,379,151,59
36,0,1,159,363,169,271,183,62
36,1,0,147,21,304,323,155,129
36,1,1,155,180,149,33,315,179
36,2,0,36,62,283,366,349,260
36,2,1,36,155,62,49,2,147
36,3,0,49,2,155,33,207,289
36,3,1,23,293,306,126,379,60
36,4,0,195,380,379,147,183,314
36,4,1,155,102,22,258,336,126
36,5,0,197,157,126,370,54,205
36,5,1,370,322,187,349,118,83
36,6,0,196,28,250,187,372,339
36,6,1,277,155,74,304,263,283
36,7,0,237,288,196,284,289,97
36,7,1,237,248,90,284,140,59
37,0,0,364,154,39,191,47,322
37,0,1,351,362,268,218,363,233
37,1,0,306,314,56,218,135,139
37,1,1,194,207,359,175,268,311
37,2,0,206,355,299,372,361,347
37,2,1,206,117,253,10,160,179
37,3,0,114,243,290,333,259,173
37,3,1,196,339,145,107,11,114
37,4,0,335,334,271,127,245,323
37,4,1,218,47,153,344,112,365
37,5,0,64,224,219,371,351,168
37,5,1,202,37,0,287,168,54
37,6,0,292,94,235,47,205,372
37,6,1,23,127,238,270,258,268
37,7,0,173,59,185,111,372,268
37,7,1,47,334,59,304,245,268
38,0,0,228,280,128,224,221,87
38,0,1,271,284,171,337,324,177
38,1,0,139,290,328,13,270,284
38,1,1,23,380,106,195,67,307
38,2,0,323,342,48,96,351,199
38,2,1,200,158,4,239,321,40
38,3,0,89,115,171,383,47,128
38,3,1,305,46,157,283,23,89
38,4,0,23,47,95,270,87,43
38,4,1,23,118,47,122,270,284
38,5,0,171,284,248,158,339,290
38,5,1,371,225,248,111,312,165
38,6,0,167,4,225,224,47,40
38,6,1,284,327,16,316,224,27
38,7,0,92,43,86,6,359,383
38,7,1,113,137,23,202,4,278
39,0,0,194,297,162,265,149,368
39,0,1,297,319,162,315,114,331
39,1,0,222,215,1,25,304,127
39,1,1,303,208,368,382,127,85
39,2,0,302,11,276,306,285,202
39,2,1,302,273,261,300,258,202
39,3,0,225,99,7,336,90,132
39,3,1,225,336,99,227,162,252
39,4,0,339,319,116,147,76,234
39,4,1,55,372,147,339,78,50
39,5,0,196,28,202,149,162,233
39,5,1,277,121,180,28,92,253
39,6,0,231,264,76,179,305,140
39,6,1,170,140,17,359,114,229
39,7,0,123,63,80,324,205,75
39,7,1,123,116,56,156,98,382
40,0,0,91,303,262,71,6,190
40,0,1,331,71,237,95,334,309
40,1,0,43,326,323,64,343,101
40,1,1,352,260,225,269,130,125
40,2,0,270,286,264,261,3,197
40,2,1,264,67,40,205,80,346
40,3,0,237,91,107,88,286,208
40,3,1,237,335,252,367,33,324
40,4,0,347,181,65,89,230,222
40,4,1,347,28,369,163,137,284
40,5,0,125,47,367,270,99,287
40,5,1,224,183,283,45,159,333
40,6,0,91,220,65,159,13,336
40,6,1,156,159,269,360,249,259
40,7,0,282,157,107,297,3,234
40,7,1,189,234,226,91,182,63
41,0,0,283,49,218,244,177,32
41,0,1,210,332,323,370,46,131
41,1,0,13,330,79,2,343,183
41,1,1,13,123,343,159,262,92
41,2,0,244,266,50,370,358,135
41,2,1,4,184,245,323,46,205
41,3,0,123,213,117,350,81,59
41,3,1,326,123,158,59,314,107
41,4,0,316,337,275,168,343,348
41,4,1,316,284,350,380,255,280
41,5,0,214,332,217,50,131,38
41,5,1,240,303,69,380,107,282
41,6,0,39,55,362,131,12,136
41,6,1,265,272,316,41,117,95
41,7,0,91,338,159,318,165,339
41,7,1,289,91,123,260,346,115
42,0,0,241,20,379,108,268,36
42,0,1,36,241,23,48,305,140
42,1,0,351,27,263,261,42,117
42,1,1,351,123,41,246,314,317
42,2,0,10,61,241,59,196,140
42,2,1,244,232,183,8,124,188
42,3,0,331,18,293,332,227,134
42,3,1,100,18,5,324,315,334
42,4,0,274,308,9,102,347,172
42,4,1,102,383,157,299,172,27
42,5,0,375,91,334,338,233,136
42,5,1,234,258,58,25,223,333
42,6,0,356,310,172,347,24,317
42,6,1,370,58,157,27,149,5
42,7,0,174,382,60,277,213,98
42,7,1,371,7,155,116,132,103
43,0,0,156,332,136,49,216,191
43,0,1,136,109,296,220,379,29
43,1,0,135,182,299,374,283,102
43,1,1,156,283,80,203,24,228
43,2,0,155,156,69,347,45,379
43,2,1,155,169,50,163,306,148
43,3,0,48,298,192,156,32,210
43,3,1,48,109,284,221,353,264
43,4,0,156,313,225,346,227,9
43,4,1,199,149,315,313,355,346
43,5,0,189,156,290,25,59,201
43,5,1,314,162,206,362,349,322
43,6,0,202,204,185,372,135,4
43,6,1,31,355,327,192,254,22
43,7,0,145,175,178,152,275,287
43,7,1,145,159,249,178,167,308
44,0,0,254,299,336,219,269,5
44,0,1,55,257,270,106,100,267
44,1,0,355,152,304,209,29,239
44,1,1,232,220,256,189,25,147
44,2,0,180,28,254,64,373,59
44,2,1,39,180,113,327,137,365
44,3,0,342,223,143,349,346,181
44,3,1,342,223,193,283,353,322
44,4,0,372,283,263,349,328,335
44,4,1,274,63,372,59,31,342
44,5,0,0,164,117,107,174,219
44,5,1,58,379,381,254,360,113
44,6,0,272,113,117,366,289,275
44,6,1,30,107,371,153,267,80
44,7,0,185,368,97,238,232,85
44,7,1,83,113,3,202,142,204
45,0,0,201,76,224,274,338,218
45,0,1,343,76,201,327,95,65
45,1,0,234,30,374,308,130,124
45,1,1,234,120,30,334,361,35
45,2,0,302,172,198,356,23,46
45,2,1,325,276,302,198,286,360
45,3,0,197,84,228,135,271,35
45,3,1,197,361,249,228,192,35
45,4,0,372,281,27,139,219,131
45,4,1,372,27,281,64,31,292
45,5,0,267,120,58,175,188,307
45,5,1,139,26,286,209,102,2
45,6,0,27,156,306,43,128,372
45,6,1,108,169,265,262,84,82
45,7,0,57,141,139,308,202,41
45,7,1,57,7,271,89,351,321
46,0,0,18,8,166,44,316,38
46,0,1,78,345,63,335,195,80
46,1,0,270,156,286,372,146,265
46,1,1,23,27,237,365,339,39
46,2,0,199,44,245,8,179,121
46,2,1,70,20,139,289,284,372
46,3,0,211,261,22,160,343,345
46,3,1,261,211,22,281,96,145
46,4,0,44,270,284,16,275,74
46,4,1,270,44,320,272,102,89
46,5,0,147,43,161,51,208,284
46,5,1,207,139,363,345,333,237
46,6,0,18,33,365,8,96,134
46,6,1,117,145,333,260,314,8
46,7,0,195,259,37,52,343,265
46,7,1,6,149,259,32,191,159
47,0,0,127,98,330,375,171,44
47,0,1,45,42,159,114,375,51
47,1,0,168,179,311,89,181,199
47,1,1,152,365,129,377,309,179
47,2,0,268,266,94,321,109,262
47,2,1,268,238,90,281,117,290
47,3,0,164,55,319,136,111,286
47,3,1,309,55,196,188,164,290
47,4,0,246,234,355,268,162,133
47,4,1,336,136,133,132,10,317
47,5,0,151,336,43,373,264,185
47,5,1,352,315,10,164,249,159
47,6,0,343,72,74,187,15,94
47,6,1,227,49,260,94,42,89
47,7,0,72,106,314,51,111,117
47,7,1,72,238,234,172,201,312
48,0,0,116,226,288,61,256,366
48,0,1,0,147,245,223,342,226
48,1,0,99,62,171,348,227,148
48,1,1,116,197,209,228,175,99
48,2,0,161,287,61,261,55,301
48,2,1,26,245,325,69,289,341
