opaque_id	phase	seed_hex	input_ops	candidate_ops	strong_fixed_ops	fixed_simplification_ops	equality_saturation_ops	brute_force_ops	random_ops	replay_ops	no_memory_ops	no_probe_ops	candidate_delta_strong_fixed	candidate_globally_minimal	candidate_enodes	candidate_ematches	candidate_prepass_attempts	strong_fixed_enodes	random_enodes	no_probe_enodes	candidate_replay_equal	reuse_calls	candidate_reuse_ops	strong_fixed_reuse_ops	candidate_expr	strong_fixed_expr
artifact_015	HELDOUT	0xac3d788c14aa19b1	14	2	5	11	5	2	6	14	5	4	3	true	13	510	332	10000	5000	5000	true	42	84	210	(mul (add x z) y)	(add (add (mul x y) (mul y z)) (sub z z))
artifact_016	HELDOUT	0xe50c7f72051a3bd8	8	2	2	3	2	2	2	8	2	2	0	true	5	232	152	10000	5000	5	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_017	HELDOUT	0x9a07a9d04353f1c4	7	0	0	4	0	0	0	7	0	0	0	true	1	19	134	10000	5000	5000	true	42	0	0	x	x
artifact_018	HELDOUT	0xd5fbf59a743b7979	15	2	7	13	7	2	7	15	7	9	5	true	13	510	232	10000	5000	5000	true	42	84	294	(mul (add x z) y)	(add (add (mul (add (add (sub y z) 0) z) z) (mul x y)) 0)
artifact_019	HELDOUT	0xdf8a59128c6dd903	9	0	0	5	0	0	0	9	0	0	0	true	1	19	145	10000	5000	5000	true	42	0	0	x	x
artifact_020	HELDOUT	0xee963290a0a1d531	10	2	2	4	2	2	2	10	2	2	0	true	6	268	176	10000	5000	5000	true	42	84	84	(sub (mul x y) z)	(sub (mul x y) z)
artifact_021	HELDOUT	0xd467bfd19413f70b	7	2	2	4	2	2	2	7	2	2	0	true	13	510	154	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_022	HELDOUT	0x29e5071419a1dcbb	8	2	2	6	2	2	2	8	2	2	0	true	7	300	152	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_023	HELDOUT	0x299d9adc78fba630	8	2	2	7	2	2	2	8	2	2	0	true	5	232	139	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_024	HELDOUT	0x2294eff0de784ec6	9	2	2	7	2	2	2	9	2	2	0	true	13	510	147	10000	5000	5000	true	42	84	84	(mul (add x y) z)	(mul (add x y) z)
artifact_025	HELDOUT	0x3481767b2ca239d5	12	2	2	9	2	2	2	12	2	2	0	true	5	232	158	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_026	HELDOUT	0x130e3169dca124f6	10	2	2	7	2	2	2	10	2	2	0	true	11	416	147	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_027	HELDOUT	0xf3483d50fb9b9142	7	2	2	5	2	2	2	7	2	2	0	true	5	232	143	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_028	HELDOUT	0xacd98afc3741124e	11	2	4	8	4	2	4	11	4	4	2	true	7	300	158	10000	5000	5000	true	42	84	168	(add (mul x y) z)	(add (add (sub x x) z) (mul x y))
artifact_029	HELDOUT	0x901b5f3f5113065e	7	2	2	3	2	2	2	7	2	2	0	true	13	510	156	10000	5000	13	true	42	84	84	(mul (add x y) z)	(mul (add x y) z)
artifact_030	HELDOUT	0x21e3b5c7b1c81e6e	8	2	2	6	2	2	2	8	2	2	0	true	5	232	165	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_031	HELDOUT	0x13954a51459cb19d	12	2	2	8	2	2	2	12	2	2	0	true	13	510	184	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_032	HELDOUT	0xe931cf4478e42d68	10	2	2	10	2	2	2	10	2	2	0	true	13	510	132	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_033	HELDOUT	0x1eb1843b3e725364	12	2	6	8	6	2	6	12	6	2	4	true	13	510	224	10000	5000	5000	true	42	84	252	(mul (add x z) y)	(add (add (mul (add x z) y) (sub (sub x z) x)) z)
artifact_034	HELDOUT	0x556acacb68283550	8	2	2	6	2	2	2	8	2	2	0	true	11	416	172	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_035	HELDOUT	0x72422c08089bfdab	8	2	2	6	2	2	2	8	2	2	0	true	6	268	149	10000	5000	5000	true	42	84	84	(sub (mul x y) z)	(sub (mul x y) z)
artifact_036	HELDOUT	0x01eed84f6d53c768	8	2	2	6	2	2	2	8	2	2	0	true	11	416	157	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_037	HELDOUT	0xd359d40131259ca6	15	2	6	12	6	2	6	15	6	9	4	true	5	232	204	10000	5000	5000	true	42	84	252	(add (mul x x) y)	(add (add (add (mul x x) (sub (sub y x) x)) x) x)
artifact_038	HELDOUT	0x7b154c8953cef06d	9	2	2	7	2	2	4	9	2	2	0	true	6	268	195	10000	5000	5000	true	42	84	84	(sub (mul x y) z)	(sub (mul x y) z)
artifact_039	HELDOUT	0xc365790f5b7b024f	8	2	4	4	4	2	4	8	4	2	2	true	5	232	140	10000	5000	5000	true	42	84	168	(add (mul x x) y)	(add (mul (add (sub x z) z) x) y)
artifact_040	HELDOUT	0xc76281f1ed59a8f4	8	2	2	5	2	2	2	8	2	2	0	true	7	300	132	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_041	HELDOUT	0x39dff8a32a1030f1	9	2	2	7	2	2	2	9	2	2	0	true	6	268	146	10000	5000	5000	true	42	84	84	(sub (mul x y) z)	(sub (mul x y) z)
artifact_042	HELDOUT	0x0355e57518b795c9	8	2	2	6	2	2	2	8	2	2	0	true	14	810	142	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_043	HELDOUT	0xa51cba3017d61bfe	10	2	2	10	2	2	4	10	2	2	0	true	13	510	141	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_044	HELDOUT	0x3496ceb696377950	15	2	2	13	2	2	2	15	2	6	0	true	5	232	144	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_045	HELDOUT	0xbf0b32924c3a228e	13	2	2	9	2	2	2	13	2	2	0	true	13	510	232	10000	5000	5000	true	42	84	84	(mul (add x z) y)	(mul (add x z) y)
artifact_046	HELDOUT	0xea368f2e78747a8f	13	2	2	11	2	2	2	13	2	2	0	true	13	510	256	10000	5000	5000	true	42	84	84	(mul (add x z) y)	(mul (add x z) y)
artifact_047	HELDOUT	0x4df0652a864f9434	12	2	2	9	2	2	2	12	2	2	0	true	14	810	149	10000	5000	5000	true	42	84	84	(mul (add x y) z)	(mul (add x y) z)
artifact_048	HELDOUT	0x8f08b4c668cd579c	8	2	2	7	2	2	2	8	2	2	0	true	11	416	145	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_049	HELDOUT	0x6f103dd637add984	6	0	0	3	0	0	0	6	0	0	0	true	1	19	160	10000	5000	5000	true	42	0	0	x	x
artifact_050	HELDOUT	0x9899fcc8c22a5e63	11	2	4	6	4	2	4	11	4	4	2	true	6	268	224	10000	5000	5000	true	42	84	168	(sub (mul x y) z)	(sub (mul (add (sub x y) y) y) z)
artifact_051	HELDOUT	0x9a1b6508c60a2182	10	2	2	6	2	2	2	10	2	2	0	true	13	510	236	10000	5000	5000	true	42	84	84	(mul (add x z) y)	(mul (add x z) y)
artifact_052	HELDOUT	0xa4decef89762409d	11	2	2	10	2	2	2	11	2	2	0	true	5	232	157	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_053	HELDOUT	0xc6c10d774ce42ae6	10	2	2	8	2	2	2	10	2	2	0	true	6	268	162	10000	5000	5000	true	42	84	84	(sub (mul x y) z)	(sub (mul x y) z)
artifact_054	HELDOUT	0x374780fd6371cd97	10	0	0	7	0	0	0	10	0	0	0	true	1	19	155	10000	5000	5000	true	42	0	0	x	x
artifact_055	HELDOUT	0x9f141dcaf77c7a07	9	2	2	8	2	2	2	9	2	2	0	true	13	510	148	10000	5000	5000	true	42	84	84	(mul (add x y) z)	(mul (add x y) z)
artifact_056	HELDOUT	0x0a6ef73956583d49	11	2	4	8	4	2	4	11	4	2	2	true	5	232	142	10000	5000	5000	true	42	84	168	(add (mul x x) y)	(add (mul (add (sub x y) y) x) y)
artifact_057	HELDOUT	0xba79f8482c7d7d7a	11	2	2	10	2	2	7	11	2	7	0	true	5	232	138	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_058	HELDOUT	0x867045e904c6697a	11	2	2	8	2	2	2	11	2	2	0	true	7	300	147	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_059	HELDOUT	0x86d44641cae7868e	8	2	2	6	2	2	2	8	2	2	0	true	11	416	147	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
