outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
55,mul_free,0x85B49F02DE582F3E,100000,24,50679,31.993164,32.066406,4096,233.000000,44.599609,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1082362,5600057,1613734
56,mul_free,0x85B49F02DE582F3E,100000,24,75042,32.007324,32.000000,4096,218.500000,44.426758,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1100625,5700058,1645176
57,mul_free,0x85B49F02DE582F3E,100000,24,53853,32.014893,31.968750,4096,253.375000,45.194824,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1120466,5800059,1673938
58,mul_free,0x85B49F02DE582F3E,100000,24,44565,31.994629,31.976563,4096,273.875000,44.140352,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1138475,5900060,1705956
59,mul_free,0x85B49F02DE582F3E,100000,24,34013,31.978516,31.960938,4096,268.750000,44.952344,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1157320,6000061,1736735
60,mul_free,0x85B49F02DE582F3E,100000,24,60071,31.991943,32.003906,4096,253.125000,45.399902,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1176219,6100062,1764103
61,mul_free,0x85B49F02DE582F3E,100000,24,0,32.015625,32.070313,4096,223.875000,45.992188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1194004,6200063,1793026
62,mul_free,0x85B49F02DE582F3E,100000,24,55077,31.991211,31.984375,4096,232.750000,46.333984,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1212489,6300064,1819639
63,mul_free,0x85B49F02DE582F3E,100000,24,55758,32.006104,31.984375,4096,248.875000,44.360840,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1230094,6400065,1850985
64,mul_free,0x85B49F02DE582F3E,100000,24,64656,31.984131,31.957031,4096,247.500000,44.626465,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1248421,6500066,1881577
65,mul_free,0x85B49F02DE582F3E,100000,24,55136,32.021973,32.007813,4096,250.375000,44.741211,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1267307,6600067,1911511
66,mul_free,0x85B49F02DE582F3E,100000,24,98382,31.991699,31.996094,4096,232.250000,45.897461,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1286277,6700068,1941188
67,mul_free,0x85B49F02DE582F3E,100000,24,29409,32.001465,31.914063,4096,255.125000,45.054414,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1305055,6800069,1971980
68,mul_free,0x85B49F02DE582F3E,100000,24,95261,32.046875,32.000000,4096,257.750000,46.003750,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1328117,6900070,1993964
69,mul_free,0x85B49F02DE582F3E,100000,24,98151,32.012695,32.078125,4096,226.125000,45.482422,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1347363,7000071,2022068
70,mul_free,0x85B49F02DE582F3E,100000,24,59404,32.026123,32.011719,4096,198.500000,45.680176,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1364948,7100072,2051246
71,mul_free,0x85B49F02DE582F3E,100000,24,49002,32.014160,31.988281,4096,208.875000,43.299805,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1383969,7200073,2085910
72,mul_free,0x85B49F02DE582F3E,100000,24,39276,31.989990,32.011719,4096,283.000000,45.561309,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1402247,7300074,2113094
73,mul_free,0x85B49F02DE582F3E,100000,24,44157,31.999023,31.984375,4096,232.375000,45.912109,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1420896,7400075,2140633
74,mul_free,0x85B49F02DE582F3E,100000,24,18218,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1444261,7500076,2162701
75,mul_free,0x85B49F02DE582F3E,100000,24,73285,32.009766,32.003906,4096,256.625000,44.366563,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1463290,7600077,2194543
76,mul_free,0x85B49F02DE582F3E,100000,24,86583,32.012939,32.050781,4096,220.625000,45.116699,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1480601,7700078,2222663
77,mul_free,0x85B49F02DE582F3E,100000,24,28921,32.023438,32.003906,4096,249.375000,44.246094,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1499512,7800079,2253775
78,mul_free,0x85B49F02DE582F3E,100000,24,60235,31.990234,31.972656,4096,251.125000,45.765625,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1517430,7900080,2281926
79,mul_free,0x85B49F02DE582F3E,100000,24,68204,32.000977,32.023438,4096,246.875000,44.373047,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1536016,8000081,2313753
80,mul_free,0x85B49F02DE582F3E,100000,24,85972,31.951416,31.980469,4096,248.875000,44.916504,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1555208,8100082,2342573
81,mul_free,0x85B49F02DE582F3E,100000,24,78155,31.996582,31.992188,4096,235.750000,45.426758,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1573804,8200083,2371871
82,mul_free,0x85B49F02DE582F3E,100000,24,84288,31.998779,32.000000,4096,246.500000,44.987793,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1592403,8300084,2402856
83,mul_free,0x85B49F02DE582F3E,100000,24,61693,31.999512,31.941406,4096,240.500000,45.202148,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1610591,8400085,2433188
84,mul_free,0x85B49F02DE582F3E,100000,24,87742,31.992432,31.972656,4096,225.750000,45.287598,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1630630,8500086,2460930
85,mul_free,0x85B49F02DE582F3E,100000,24,61183,31.990723,31.976563,4096,244.750000,44.790039,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1648858,8600087,2491707
86,mul_free,0x85B49F02DE582F3E,100000,24,0,32.015625,32.070313,4096,223.875000,45.992188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1669667,8700088,2521907
87,mul_free,0x85B49F02DE582F3E,100000,24,0,32.015625,32.070313,4096,223.875000,45.992188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1693224,8800089,2544019
88,mul_free,0x85B49F02DE582F3E,100000,24,82849,32.004395,31.980469,4096,246.000000,44.858398,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1712112,8900090,2575003
89,mul_free,0x85B49F02DE582F3E,100000,24,99344,31.998291,31.957031,4096,259.125000,45.226816,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1731195,9000091,2603239
90,mul_free,0x85B49F02DE582F3E,100000,24,9,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1752628,9100092,2634266
91,mul_free,0x85B49F02DE582F3E,100000,24,93820,32.006836,32.011719,4096,226.500000,44.873047,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1771931,9200093,2664261
92,mul_free,0x85B49F02DE582F3E,100000,24,48625,32.002441,31.968750,4096,242.750000,45.319336,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1791075,9300094,2693958
93,mul_free,0x85B49F02DE582F3E,100000,24,56338,31.997803,31.988281,4096,236.875000,44.919434,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1810199,9400095,2722529
94,mul_free,0x85B49F02DE582F3E,100000,24,43599,31.985840,32.023438,4096,262.000000,45.171211,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1829458,9500096,2751466
95,mul_free,0x85B49F02DE582F3E,100000,24,83262,32.004639,32.031250,4096,225.375000,44.297363,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1847428,9600097,2784154
96,mul_free,0x85B49F02DE582F3E,100000,24,45415,32.009033,31.992188,4096,248.500000,44.870605,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1866033,9700098,2815241
97,mul_free,0x85B49F02DE582F3E,100000,24,70877,32.004639,32.046875,4096,246.500000,44.219238,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1883644,9800099,2847486
98,mul_free,0x85B49F02DE582F3E,100000,24,75912,32.002930,32.062500,4096,242.250000,45.158203,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1902152,9900100,2877855
99,mul_free,0x85B49F02DE582F3E,100000,24,34904,31.985352,32.011719,4096,251.875000,44.294922,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1918858,10000101,2910903
100,mul_free,0x85B49F02DE582F3E,100000,24,62360,31.946533,32.003906,4096,221.125000,44.445801,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1937041,10100102,2941520
101,mul_free,0x85B49F02DE582F3E,100000,24,30,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1960946,10200103,2963908
102,mul_free,0x85B49F02DE582F3E,100000,24,91056,32.008057,31.996094,4096,254.875000,44.399902,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1979327,10300104,2995260
103,mul_free,0x85B49F02DE582F3E,100000,24,77281,32.031738,32.050781,4096,236.625000,45.428711,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1999154,10400105,3022369
104,mul_free,0x85B49F02DE582F3E,100000,24,58031,31.996826,32.019531,4096,261.125000,44.309355,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2018156,10500106,3053974
105,mul_free,0x85B49F02DE582F3E,100000,24,50106,32.037354,32.019531,4096,235.750000,45.028809,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2037693,10600107,3083560
106,mul_free,0x85B49F02DE582F3E,100000,24,2638,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2060923,10700108,3106216
107,mul_free,0x85B49F02DE582F3E,100000,24,45480,32.008301,31.968750,4096,247.875000,46.260742,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2079593,10800109,3132595
108,mul_free,0x85B49F02DE582F3E,100000,24,68930,31.994141,32.003906,4096,237.250000,44.921875,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2097279,10900110,3163749
109,mul_free,0x85B49F02DE582F3E,100000,24,71333,31.992920,32.000000,4096,239.125000,45.429199,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2117084,11000111,3191274
110,mul_free,0x85B49F02DE582F3E,100000,24,63859,31.975586,31.976563,4096,216.000000,43.638672,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2135043,11100112,3224387
111,mul_free,0x85B49F02DE582F3E,100000,24,61666,31.980957,32.023438,4096,247.625000,46.192383,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2155362,11200113,3246763
112,mul_free,0x85B49F02DE582F3E,100000,24,89995,32.050049,32.015625,4096,262.750000,44.843887,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2173285,11300114,3277806
113,mul_free,0x85B49F02DE582F3E,100000,24,78210,31.985596,32.011719,4096,261.625000,44.731113,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2189992,11400115,3308418
114,mul_free,0x85B49F02DE582F3E,100000,24,91131,31.996826,32.089844,4096,250.250000,45.019043,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2208317,11500116,3338615
115,mul_free,0x85B49F02DE582F3E,100000,24,9062,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2231675,11600117,3360322
116,mul_free,0x85B49F02DE582F3E,100000,24,70884,32.017334,31.957031,4096,214.750000,45.611816,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2250103,11700118,3389249
117,mul_free,0x85B49F02DE582F3E,100000,24,35654,31.976318,31.953125,4096,251.625000,44.528809,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2268665,11800119,3420912
118,mul_free,0x85B49F02DE582F3E,100000,24,39519,32.017578,31.980469,4096,252.375000,45.726563,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2289783,11900120,3447751
119,mul_free,0x85B49F02DE582F3E,100000,24,79421,31.948975,32.011719,4096,248.125000,45.431152,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2309278,12000121,3474383
120,mul_free,0x85B49F02DE582F3E,100000,24,70313,32.018555,31.988281,4096,252.500000,44.755859,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2326638,12100122,3505235
121,mul_free,0x85B49F02DE582F3E,100000,24,38509,31.981445,31.988281,4096,231.375000,45.255859,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2346620,12200123,3533038
122,mul_free,0x85B49F02DE582F3E,100000,24,58474,31.968750,31.949219,4096,229.750000,45.433594,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2366192,12300124,3560871
123,mul_free,0x85B49F02DE582F3E,100000,24,53732,31.996826,31.992188,4096,242.250000,44.929199,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2384427,12400125,3592137
124,mul_free,0x85B49F02DE582F3E,100000,24,90080,32.025635,32.007813,4096,227.875000,45.204590,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2404464,12500126,3619403
125,mul_free,0x85B49F02DE582F3E,100000,24,37571,31.974609,32.019531,4096,223.750000,44.648438,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2422365,12600127,3651144
126,mul_free,0x85B49F02DE582F3E,100000,24,38069,32.015625,31.949219,4096,223.625000,46.089844,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2443301,12700128,3675939
127,mul_free,0x85B49F02DE582F3E,100000,24,1394,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2466495,12800129,3697458
128,mul_free,0x85B49F02DE582F3E,100000,24,51325,32.020020,31.972656,4096,262.750000,46.085586,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2486872,12900130,3723447
129,mul_free,0x85B49F02DE582F3E,100000,24,79213,31.999023,31.988281,4096,250.250000,45.931641,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2504739,13000131,3752152
130,mul_free,0x85B49F02DE582F3E,100000,24,60797,32.008545,32.000000,4096,245.375000,45.414551,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2524625,13100132,3779544
131,mul_free,0x85B49F02DE582F3E,100000,24,0,32.015625,32.070313,4096,223.875000,45.992188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2546150,13200133,3807249
132,mul_free,0x85B49F02DE582F3E,100000,24,98986,31.978027,31.988281,4096,237.625000,44.221680,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2564488,13300134,3840022
133,mul_free,0x85B49F02DE582F3E,100000,24,67603,32.000000,32.011719,4096,223.750000,44.941406,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2582739,13400135,3870770
134,mul_free,0x85B49F02DE582F3E,100000,24,68666,32.017334,32.085938,4096,245.500000,45.396973,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2601207,13500136,3898902
135,mul_free,0x85B49F02DE582F3E,100000,24,82319,32.001709,32.003906,4096,247.250000,44.463379,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,2619197,13600137,3930278
