generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_used,mean_composite
94,-260.039063,1.0000,32.0078,1024,232.5000,163,-260.739189
95,-260.039063,1.0000,32.0078,1024,232.5000,163,-260.860190
96,-260.000000,1.0000,32.0000,1024,232.5000,162,-260.645142
97,-259.843750,1.0156,32.0000,1024,232.5000,164,-261.206660
98,-259.843750,1.0156,32.0000,1024,232.5000,164,-260.752405
99,-259.843750,1.0156,32.0000,1024,232.5000,164,-260.223186
100,-259.726563,1.0469,31.9609,1024,232.5000,163,-260.364434
101,-259.726563,1.0469,31.9609,1024,232.5000,163,-260.273438
102,-259.570313,1.0469,31.9922,1024,232.5000,163,-260.361045
103,-259.570313,1.0469,31.9922,1024,232.5000,163,-260.576416
104,-259.570313,1.0469,31.9922,1024,232.5000,163,-260.481045
105,-259.570313,1.0469,31.9922,1024,232.5000,163,-260.274761
106,-259.570313,1.0469,31.9922,1024,232.5000,163,-260.133724
107,-259.570313,1.0469,31.9922,1024,232.5000,163,-260.050886
108,-259.257813,1.0781,31.9922,1024,232.5000,165,-260.365479
109,-259.257813,1.0781,31.9922,1024,232.5000,165,-259.931641
110,-259.257813,1.0781,31.9922,1024,232.5000,165,-260.415503
111,-259.257813,1.0781,31.9922,1024,232.5000,165,-259.891411
112,-259.257813,1.0781,31.9922,1024,232.5000,165,-260.074686
113,-258.984375,1.1250,32.0469,1024,232.5000,165,-259.684906
114,-258.984375,1.1250,32.0469,1024,232.5000,165,-259.859268
115,-258.984375,1.1250,32.0469,1024,232.5000,165,-260.034326
116,-258.867188,1.1406,32.0547,1024,235.5000,166,-259.931772
117,-258.789063,1.1250,31.9922,1024,232.5000,165,-259.537108
118,-258.593750,1.1406,32.0000,1024,235.5000,165,-259.265747
119,-258.593750,1.1406,32.0000,1024,235.5000,165,-259.181328
120,-258.593750,1.1406,32.0000,1024,235.5000,165,-259.628877
121,-258.593750,1.1406,32.0000,1024,235.5000,165,-258.957520
122,-258.593750,1.1406,32.0000,1024,235.5000,165,-259.459437
123,-258.593750,1.1406,32.0000,1024,235.5000,165,-259.277686
124,-257.851563,1.2344,31.9609,1024,235.5000,166,-259.490664
125,-257.851563,1.2344,31.9609,1024,235.5000,166,-259.315830
126,-257.851563,1.2344,31.9609,1024,235.5000,166,-258.934766
127,-257.734375,1.2344,31.9844,1024,235.5000,166,-258.967842
128,-257.539063,1.2813,31.9297,1024,235.5000,166,-258.544463
129,-257.341563,1.2813,31.9922,1024,266.5000,166,-258.254121
130,-257.341563,1.2813,31.9922,1024,266.5000,166,-258.288326
131,-257.304688,1.2813,32.0234,1024,235.5000,166,-258.339419
132,-257.304688,1.2813,32.0234,1024,235.5000,166,-257.651152
133,-257.219844,1.2988,31.9844,1024,268.0000,167,-257.844176
134,-257.219844,1.2988,31.9844,1024,268.0000,167,-257.765986
135,-256.907344,1.3301,31.9844,1024,268.0000,167,-257.708892
136,-256.907344,1.3301,31.9844,1024,268.0000,167,-258.012664
137,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.698425
138,-256.601563,1.3438,32.0078,1024,238.5000,167,-258.180974
139,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.191523
140,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.517983
141,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.328999
142,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.233358
143,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.145996
144,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.572036
145,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.067446
146,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.296919
147,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.289292
148,-256.601563,1.3438,32.0078,1024,238.5000,167,-257.590400
149,-256.562500,1.3594,31.9688,1024,238.5000,169,-257.614141
150,-256.562500,1.3594,31.9688,1024,238.5000,169,-257.116504
151,-256.406250,1.3906,31.9375,1024,238.5000,169,-257.212251
152,-256.406250,1.3906,31.9375,1024,238.5000,169,-257.345365
153,-255.859375,1.4531,31.9219,1024,253.5000,170,-257.097322
154,-255.859375,1.4531,31.9219,1024,253.5000,170,-256.812905
155,-255.781250,1.4531,31.9375,1024,253.5000,170,-256.929565
156,-255.781250,1.4531,31.9375,1024,253.5000,170,-256.572646
157,-255.665938,1.4531,31.9766,1024,263.0000,170,-256.115142
158,-255.625000,1.4375,32.0000,1024,253.5000,170,-256.910734
159,-255.625000,1.4375,32.0000,1024,253.5000,170,-256.093427
160,-255.625000,1.4375,32.0000,1024,253.5000,170,-255.966219
161,-255.390625,1.4688,32.0156,1024,253.5000,171,-256.438018
162,-255.390625,1.4688,32.0156,1024,253.5000,171,-256.008706
163,-255.312500,1.4688,32.0000,1024,253.5000,171,-256.270602
164,-255.312500,1.4688,32.0000,1024,253.5000,171,-256.387153
165,-255.312500,1.4688,32.0000,1024,253.5000,171,-255.995277
166,-255.234375,1.4844,32.0156,1024,253.5000,171,-255.785225
167,-255.039063,1.5313,32.0703,1024,253.5000,171,-255.705934
168,-255.039063,1.5313,32.0703,1024,253.5000,171,-256.367036
169,-255.039063,1.5313,32.0703,1024,253.5000,171,-255.840122
170,-254.570313,1.5625,32.0391,1024,253.5000,171,-255.329160
171,-254.453125,1.5625,31.9844,1024,251.5000,171,-255.645938
172,-254.453125,1.5625,31.9844,1024,251.5000,171,-255.276726
173,-254.375000,1.6094,32.0938,1024,245.5000,172,-255.042158
174,-254.375000,1.6094,32.0938,1024,245.5000,172,-254.853516
175,-254.375000,1.6094,32.0938,1024,245.5000,172,-255.875532
176,-254.101563,1.6094,32.0391,1024,239.5000,173,-255.418474
177,-253.632813,1.6563,32.0391,1024,245.5000,172,-254.751135
178,-253.320313,1.6719,32.0078,1024,245.5000,172,-254.453418
179,-253.320313,1.6719,32.0078,1024,245.5000,172,-254.436978
180,-253.320313,1.6719,32.0078,1024,245.5000,172,-254.135864
181,-253.320313,1.6719,32.0078,1024,245.5000,172,-254.146700
182,-253.242188,1.6875,31.9766,1024,245.5000,174,-253.807573
183,-253.242188,1.6875,31.9766,1024,245.5000,174,-253.818247
184,-253.242188,1.6875,31.9766,1024,245.5000,174,-253.834241
185,-253.007813,1.7188,32.0391,1024,245.5000,174,-254.009878
186,-253.007813,1.7188,32.0391,1024,245.5000,174,-253.854170
187,-253.007813,1.7188,32.0391,1024,245.5000,174,-253.985765
188,-252.773438,1.7500,31.9453,1024,245.5000,174,-254.073535
189,-252.773438,1.7500,31.9453,1024,245.5000,174,-253.161709
190,-252.773438,1.7500,31.9453,1024,245.5000,174,-253.136196
191,-252.712188,1.8438,31.7891,1024,264.5000,175,-253.253628
192,-252.712188,1.8438,31.7891,1024,264.5000,175,-252.989390
193,-252.712188,1.8438,31.7891,1024,264.5000,175,-253.459316
194,-252.634063,1.7969,31.8984,1024,264.5000,174,-253.355308
195,-252.126250,1.8750,31.8438,1024,264.5000,175,-253.279375
196,-252.048125,1.8281,31.9531,1024,264.5000,174,-253.004160
197,-252.048125,1.8281,31.9531,1024,264.5000,174,-252.717388
198,-251.657500,1.9063,31.8750,1024,264.5000,174,-252.607186
199,-251.657500,1.9063,31.8750,1024,264.5000,174,-252.537285
200,-251.579375,1.8594,31.9844,1024,264.5000,173,-252.459305
201,-251.032500,1.9219,31.9688,1024,264.5000,174,-252.077764
202,-251.032500,1.9219,31.9688,1024,264.5000,174,-252.193853
203,-251.024375,1.9219,31.9844,1024,271.5000,173,-252.154844
204,-251.024375,1.9219,31.9844,1024,271.5000,173,-251.678561
205,-251.024375,1.9219,31.9844,1024,271.5000,173,-251.250630
206,-250.438438,1.9844,31.9766,1024,271.5000,174,-251.812074
207,-250.438438,1.9844,31.9766,1024,271.5000,174,-251.686283
208,-250.438438,1.9844,31.9766,1024,271.5000,174,-251.503167
209,-250.326250,1.9844,32.0000,1024,272.0000,176,-251.236055
210,-250.109063,2.0000,32.0078,1024,262.0000,174,-251.155142
211,-250.109063,2.0000,32.0078,1024,262.0000,174,-250.988892
212,-249.813438,2.0469,31.9766,1024,271.5000,174,-251.196875
213,-248.937188,2.1250,32.0234,1024,262.0000,175,-250.780146
214,-248.273125,2.1875,32.0156,1024,262.0000,175,-250.721074
215,-248.273125,2.1875,32.0156,1024,262.0000,175,-249.996692
216,-248.273125,2.1875,32.0156,1024,262.0000,175,-250.049307
217,-248.273125,2.1875,32.0156,1024,262.0000,175,-249.166292
218,-248.077813,2.2031,31.9922,1024,262.0000,176,-248.642524
219,-247.960625,2.2188,32.0156,1024,262.0000,177,-249.118423
220,-247.960625,2.2188,32.0156,1024,262.0000,177,-249.030034
221,-247.960625,2.2188,32.0156,1024,262.0000,177,-248.534966
222,-247.765313,2.2344,31.9922,1024,262.0000,177,-248.590259
223,-247.765313,2.2344,31.9922,1024,262.0000,177,-248.613955
224,-247.765313,2.2344,31.9922,1024,262.0000,177,-248.343621
225,-247.765313,2.2344,31.9922,1024,262.0000,177,-248.333955
226,-247.765313,2.2344,31.9922,1024,262.0000,177,-248.243608
227,-247.687188,2.2500,31.9766,1024,262.0000,175,-248.216429
228,-247.687188,2.2500,31.9766,1024,262.0000,175,-248.040782
229,-247.648125,2.2656,31.9531,1024,262.0000,176,-248.283257
230,-247.648125,2.2656,31.9531,1024,262.0000,176,-247.990815
231,-247.304688,2.2813,31.9766,1024,240.0000,177,-248.368335
232,-247.304688,2.2813,31.9766,1024,240.0000,177,-247.956332
233,-247.304688,2.2813,31.9766,1024,240.0000,177,-248.076432
234,-246.953125,2.3125,31.9844,1024,240.0000,177,-248.028770
235,-246.914063,2.3125,31.9922,1024,240.0000,177,-247.684502
236,-246.875000,2.3438,32.0625,1024,240.0000,178,-247.977554
237,-245.820313,2.4219,31.9922,1024,240.0000,178,-247.664194
238,-245.820313,2.4219,31.9922,1024,240.0000,178,-247.435751
239,-245.655938,2.4531,32.0234,1024,262.0000,177,-247.298550
240,-245.655938,2.4531,32.0234,1024,262.0000,177,-246.824884
241,-245.655938,2.4531,32.0234,1024,262.0000,177,-246.049912
242,-245.625000,2.4531,32.0313,1024,246.0000,177,-246.540417
243,-245.390625,2.4688,32.0156,1024,246.0000,177,-245.990752
244,-245.312500,2.5000,32.0625,1024,246.0000,177,-246.173716
245,-245.312500,2.5000,32.0625,1024,246.0000,177,-246.220972
246,-244.960938,2.5156,32.0234,1024,246.0000,178,-246.094056
247,-244.960938,2.5156,32.0234,1024,246.0000,178,-246.074687
248,-244.960938,2.5156,32.0234,1024,246.0000,178,-245.823290
249,-244.921875,2.5313,32.0469,1024,246.0000,178,-246.120985
250,-244.921875,2.5313,32.0469,1024,246.0000,178,-245.785654
251,-244.453125,2.5781,32.0469,1024,246.0000,179,-245.477373
252,-244.296875,2.5781,32.0156,1024,246.0000,179,-245.501704
253,-244.296875,2.5781,32.0156,1024,246.0000,179,-245.468794
254,-244.101563,2.5938,31.9922,1024,246.0000,179,-245.208308
255,-244.101563,2.5938,31.9922,1024,246.0000,179,-245.040242
256,-243.906250,2.6719,32.1250,1024,246.0000,181,-245.288389
257,-243.789063,2.6250,31.9922,1024,246.0000,178,-244.802900
258,-243.085938,2.7031,32.0234,1024,246.0000,181,-244.600308
259,-243.085938,2.7031,32.0234,1024,246.0000,181,-244.234663
260,-242.968750,2.7344,32.0625,1024,246.0000,181,-244.184570
261,-242.968750,2.7344,32.0625,1024,246.0000,181,-244.070875
262,-242.695313,2.7344,31.9922,1024,246.0000,181,-244.009771
263,-242.226563,2.7813,32.0078,1024,246.0000,180,-243.568115
264,-242.226563,2.7813,32.0078,1024,246.0000,180,-243.445305
265,-242.226563,2.7813,32.0078,1024,246.0000,180,-243.366498
266,-242.226563,2.7813,32.0078,1024,246.0000,180,-243.161799
267,-242.226563,2.7813,32.0078,1024,246.0000,180,-243.377148
268,-242.226563,2.7813,32.0078,1024,246.0000,180,-242.760010
269,-242.070313,2.7969,31.9922,1024,246.0000,180,-242.844712
270,-242.070313,2.7969,31.9922,1024,246.0000,180,-243.390674
271,-242.070313,2.7969,31.9922,1024,246.0000,180,-242.970732
272,-242.070313,2.7969,31.9922,1024,246.0000,180,-243.079565
273,-242.041016,2.8271,32.0625,1024,246.0000,180,-242.711207
274,-242.041016,2.8271,32.0625,1024,246.0000,180,-242.805499
275,-241.923828,2.8428,32.0703,1024,246.0000,184,-242.534943
276,-241.416016,2.8740,32.0313,1024,246.0000,179,-242.527190
277,-241.416016,2.8740,32.0313,1024,246.0000,179,-242.823131
278,-241.416016,2.8740,32.0313,1024,246.0000,179,-242.638154
279,-241.298828,2.8896,32.0391,1024,246.0000,185,-242.168914
280,-241.181641,2.8896,31.9844,1024,246.0000,180,-241.966927
281,-240.712891,2.9365,32.0156,1024,249.0000,181,-242.248296
282,-240.712891,2.9365,32.0156,1024,249.0000,181,-241.853923
283,-240.361328,2.9678,32.0078,1024,249.0000,186,-241.311188
284,-240.361328,2.9678,32.0078,1024,249.0000,186,-241.443823
285,-240.361328,2.9678,32.0078,1024,249.0000,186,-241.494351
286,-240.361328,2.9678,32.0078,1024,249.0000,186,-241.478728
287,-240.361328,2.9678,32.0078,1024,249.0000,186,-241.494628
288,-240.361328,2.9678,32.0078,1024,249.0000,186,-240.978394
289,-240.322266,2.9678,32.0000,1024,243.5000,186,-240.822296
290,-240.322266,2.9678,32.0000,1024,243.5000,186,-241.161538
291,-240.322266,2.9678,32.0000,1024,243.5000,186,-241.239459
292,-240.322266,2.9678,32.0000,1024,243.5000,186,-241.498951
293,-240.205078,2.9834,31.9922,1024,243.5000,187,-241.244105
294,-240.087891,2.9990,32.0156,1024,243.5000,186,-240.906840
295,-240.087891,2.9990,32.0156,1024,243.5000,186,-241.095747
296,-239.384766,3.0771,32.0313,1024,243.5000,187,-241.204005
297,-239.384766,3.0771,32.0313,1024,243.5000,187,-240.852888
298,-239.345703,3.0928,32.0547,1024,243.5000,187,-240.839348
299,-239.023438,3.1250,32.0547,1024,243.5000,188,-240.061504
300,-239.023438,3.1250,32.0547,1024,243.5000,188,-240.089668
301,-238.828125,3.1406,32.0469,1024,249.5000,189,-240.052478
302,-238.320313,3.1719,32.0078,1024,243.5000,187,-240.089298
303,-238.320313,3.1719,32.0078,1024,243.5000,187,-239.934020
304,-238.320313,3.1719,32.0078,1024,243.5000,187,-239.538474
305,-238.320313,3.1719,32.0078,1024,243.5000,187,-239.693290
306,-238.320313,3.1719,32.0078,1024,243.5000,187,-239.058787
307,-238.320313,3.1719,32.0078,1024,243.5000,187,-239.366461
308,-238.164063,3.2031,32.0391,1024,217.0000,187,-238.821106
309,-238.164063,3.2031,32.0391,1024,217.0000,187,-238.874098
310,-238.164063,3.2031,32.0391,1024,217.0000,187,-238.760337
311,-238.164063,3.2031,32.0391,1024,217.0000,187,-238.999963
312,-238.125000,3.1875,32.0000,1024,238.5000,187,-238.695938
313,-237.656250,3.2500,32.0313,1024,217.0000,187,-238.662004
314,-237.656250,3.2500,32.0313,1024,217.0000,187,-238.902876
315,-237.656250,3.2500,32.0313,1024,217.0000,187,-238.738254
316,-237.480469,3.2520,32.0000,1024,217.0000,188,-238.724333
317,-237.480469,3.2520,32.0000,1024,217.0000,188,-238.628948
318,-236.953125,3.3438,32.0781,1024,217.0000,188,-238.423157
319,-236.757813,3.3438,32.0391,1024,217.0000,189,-238.514379
320,-236.757813,3.3438,32.0391,1024,217.0000,189,-238.350417
321,-236.640625,3.3594,32.0469,1024,217.0000,190,-238.018904
322,-236.640625,3.3594,32.0469,1024,217.0000,190,-237.321167
323,-236.640625,3.3594,32.0469,1024,217.0000,190,-238.083727
324,-235.468750,3.5000,32.0938,1024,243.5000,190,-237.351230
325,-235.468750,3.5000,32.0938,1024,243.5000,190,-237.487793
326,-235.273438,3.5000,32.0547,1024,243.5000,189,-237.218323
327,-235.273438,3.5000,32.0547,1024,243.5000,189,-236.406246
328,-235.273438,3.5000,32.0547,1024,243.5000,189,-236.299547
329,-235.273438,3.5000,32.0547,1024,243.5000,189,-235.940094
330,-235.195313,3.4844,32.0078,1024,243.5000,191,-235.831250
331,-235.156250,3.5000,32.0313,1024,243.5000,192,-236.131068
332,-234.726563,3.5313,32.0078,1024,243.5000,191,-235.916223
333,-234.726563,3.5313,32.0078,1024,243.5000,191,-235.833282
334,-234.726563,3.5313,32.0078,1024,243.5000,191,-235.833379
335,-234.726563,3.5313,32.0078,1024,243.5000,191,-235.707437
336,-234.726563,3.5313,32.0078,1024,243.5000,191,-235.498881
337,-234.726563,3.5313,32.0078,1024,243.5000,191,-235.581056
338,-234.414063,3.5625,31.9922,1024,243.5000,193,-235.668540
339,-234.414063,3.5625,31.9922,1024,243.5000,193,-235.579224
340,-234.414063,3.5625,31.9922,1024,243.5000,193,-235.412921
341,-234.414063,3.5625,31.9922,1024,243.5000,193,-235.203693
342,-234.414063,3.5625,31.9922,1024,243.5000,193,-235.149277
343,-234.023438,3.6250,32.0547,1024,243.5000,195,-235.438232
344,-234.023438,3.6250,32.0547,1024,243.5000,195,-235.436866
345,-234.023438,3.6250,32.0547,1024,243.5000,195,-235.437710
346,-233.281250,3.6875,31.9688,1024,243.5000,194,-235.000508
347,-233.203125,3.6875,32.0156,1024,243.5000,194,-234.576807
348,-233.164063,3.7188,31.9297,1024,243.5000,196,-234.228668
349,-232.929688,3.7188,31.9766,1024,243.5000,195,-234.427321
350,-230.898438,3.9375,31.9453,1024,243.5000,197,-233.664703
351,-230.898438,3.9375,31.9453,1024,243.5000,197,-233.808409
352,-229.882813,4.0313,32.0391,1024,243.5000,197,-232.648687
353,-228.671875,4.1367,32.0078,1024,243.5000,198,-231.876343
354,-228.671875,4.1367,32.0078,1024,243.5000,198,-230.800148
355,-228.671875,4.1367,32.0078,1024,243.5000,198,-230.288444
356,-228.671875,4.1367,32.0078,1024,243.5000,198,-229.668579
357,-228.671875,4.1367,32.0078,1024,243.5000,198,-229.491119
358,-228.671875,4.1367,32.0078,1024,243.5000,198,-229.875031
359,-227.812500,4.2305,31.9766,1024,252.5000,197,-229.543156
360,-227.812500,4.2305,31.9766,1024,252.5000,197,-229.674312
361,-227.812500,4.2305,31.9766,1024,252.5000,197,-229.218291
362,-227.812500,4.2305,31.9766,1024,252.5000,197,-229.608654
363,-227.812500,4.2305,31.9766,1024,252.5000,197,-228.543053
364,-227.812500,4.2305,31.9766,1024,252.5000,197,-228.566328
365,-227.812500,4.2305,31.9766,1024,252.5000,197,-229.609868
366,-227.265625,4.2930,32.0391,1024,252.5000,197,-228.648584
367,-227.265625,4.2930,32.0391,1024,252.5000,197,-229.855695
368,-227.226563,4.2930,31.9688,1024,252.5000,198,-229.647727
369,-227.226563,4.2930,31.9688,1024,252.5000,198,-228.549116
370,-227.109375,4.2930,32.0078,1024,252.5000,197,-228.473708
371,-226.992188,4.3086,31.9844,1024,252.5000,197,-228.517806
372,-226.679688,4.3555,32.0469,1024,252.5000,197,-227.923911
373,-226.601563,4.3398,32.0000,1024,252.5000,198,-227.874065
374,-226.406250,4.3711,32.0234,1024,252.5000,197,-228.000331
375,-226.406250,4.3711,32.0234,1024,252.5000,197,-228.075293
376,-226.406250,4.3711,32.0234,1024,252.5000,197,-227.728762
377,-225.703125,4.4648,31.9297,1024,252.5000,197,-227.712515
378,-225.703125,4.4648,31.9297,1024,252.5000,197,-227.209473
379,-225.703125,4.4648,31.9297,1024,252.5000,197,-227.623826
380,-225.703125,4.4648,31.9297,1024,252.5000,197,-227.191274
381,-224.960938,4.5430,31.9219,1024,252.5000,198,-226.682369
382,-224.960938,4.5430,31.9219,1024,252.5000,198,-226.492806
383,-224.687500,4.5430,32.0234,1024,252.5000,198,-226.243766
384,-224.687500,4.5430,32.0234,1024,252.5000,198,-226.212916
385,-224.492188,4.5586,32.0156,1024,239.5000,198,-226.150552
386,-224.492188,4.5586,32.0156,1024,239.5000,198,-225.231832
387,-224.414063,4.5898,31.9375,1024,252.5000,200,-225.257350
388,-224.296875,4.6055,31.9297,1024,239.5000,198,-225.883516
389,-224.296875,4.6055,31.9297,1024,239.5000,198,-226.053853
390,-224.257813,4.5781,31.9922,1024,239.5000,198,-225.975175
391,-222.539063,4.7813,32.0703,1024,239.5000,198,-225.171033
392,-222.539063,4.7813,32.0703,1024,239.5000,198,-225.299541
393,-222.343750,4.7969,32.0625,1024,239.5000,198,-224.823521
394,-221.289063,4.8906,31.9609,1024,239.5000,200,-224.036479
395,-221.289063,4.8906,31.9609,1024,239.5000,200,-223.309106
396,-221.074219,4.9160,31.9531,1024,239.5000,198,-222.993596
397,-221.074219,4.9160,31.9531,1024,239.5000,198,-222.536359
398,-220.585938,4.9531,32.0234,1024,239.5000,200,-222.362366
399,-220.585938,4.9531,32.0234,1024,239.5000,200,-221.883831
400,-220.410156,4.9629,31.9922,1024,239.5000,201,-222.573555
401,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.918300
402,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.777146
403,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.456228
404,-220.410156,4.9629,31.9922,1024,239.5000,201,-222.344442
405,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.363040
406,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.437769
407,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.561819
408,-220.410156,4.9629,31.9922,1024,239.5000,201,-221.345239
409,-220.292969,4.9785,31.9844,1024,239.5000,201,-221.700178
