generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_min_pb,best_max_pb,best_used,mean_composite
146,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.632969
147,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.901152
148,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.861987
149,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.372847
150,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.527368
151,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.675796
152,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.860151
153,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.671011
154,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.655518
155,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.961577
156,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.847925
157,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.798477
158,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.586572
159,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.783115
160,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.788101
161,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.667671
162,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.747305
163,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.716177
164,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.139229
165,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.014092
166,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.913315
167,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.617222
168,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.013589
169,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.725122
170,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.911987
